chaudhary_country_num,chaudhary_country,land_use_type,intensity,cf_mean,cf_lo,cf_hi
1,ARUBA,pasture,minimal,8.680421729310163e-13,7.27653502797855e-13,1.0326653651601765e-12
1,ARUBA,pasture,light,8.933966562425078e-13,7.456379162598783e-13,1.0557310961094733e-12
1,ARUBA,pasture,intense,9.158338187149332e-13,7.518064460397512e-13,1.0862504368153115e-12
1,ARUBA,crop,minimal,8.39820578686605e-13,6.79238064578911e-13,1.0144409867219914e-12
1,ARUBA,crop,light,8.803162531936494e-13,7.001520047310645e-13,1.0616271216835376e-12
1,ARUBA,crop,intense,8.87254838859149e-13,7.130397197131811e-13,1.0623350309023612e-12
2,ANTIGUA_AND_BARBUDA,pasture,minimal,5.007012565331455e-12,3.904747075943265e-12,6.357405367777671e-12
2,ANTIGUA_AND_BARBUDA,pasture,light,5.2941023184587696e-12,4.135038720985578e-12,6.63749491569546e-12
2,ANTIGUA_AND_BARBUDA,pasture,intense,5.5474740887107e-12,4.213618266454321e-12,7.006992047071403e-12
2,ANTIGUA_AND_BARBUDA,crop,minimal,4.866439979579383e-12,3.6485191352204754e-12,6.280426877943499e-12
2,ANTIGUA_AND_BARBUDA,crop,light,5.276950736261741e-12,3.856960166979799e-12,6.798430354582461e-12
2,ANTIGUA_AND_BARBUDA,crop,intense,5.347221726084938e-12,3.989244911426893e-12,6.806200345941791e-12
3,AFGHANISTAN,pasture,minimal,3.219870315714528e-14,2.333029939049698e-14,4.481419899074827e-14
3,AFGHANISTAN,pasture,light,3.308814818456934e-14,2.4262194535239175e-14,4.5494361527876013e-14
3,AFGHANISTAN,pasture,intense,3.374562603549444e-14,2.455619810908616e-14,4.617542078433147e-14
3,AFGHANISTAN,crop,minimal,3.060840242952971e-14,2.0152071787979013e-14,4.4132550993622746e-14
3,AFGHANISTAN,crop,light,3.2359515233678945e-14,2.1551954487620455e-14,4.556632104241559e-14
3,AFGHANISTAN,crop,intense,3.2618354847142874e-14,2.235157131667386e-14,4.558364479771081e-14
4,ALGERIA,pasture,minimal,1.525039108408365e-14,9.921938189297431e-15,2.239892991871965e-14
4,ALGERIA,pasture,light,1.6092406716782574e-14,1.0925074219474174e-14,2.2958363567748796e-14
4,ALGERIA,pasture,intense,1.671066692789592e-14,1.1240032904611367e-14,2.351474103925939e-14
4,ALGERIA,crop,minimal,1.52811408863644e-14,9.643430376211691e-15,2.2462309015557745e-14
4,ALGERIA,crop,light,1.6306513537075297e-14,1.0467723009109084e-14,2.329332077016571e-14
4,ALGERIA,crop,intense,1.6458837934493938e-14,1.0938533191526672e-14,2.330346646248116e-14
5,AZERBAIJAN,pasture,minimal,1.3948937603413347e-13,9.208823662400497e-14,2.0050669375057377e-13
5,AZERBAIJAN,pasture,light,1.500212467739606e-13,1.0355134641252759e-13,2.0915844634516197e-13
5,AZERBAIJAN,pasture,intense,1.5888410111403782e-13,1.0741584285194705e-13,2.198395894888576e-13
5,AZERBAIJAN,crop,minimal,1.3435852868761684e-13,8.34443892471429e-14,1.971778316506814e-13
5,AZERBAIJAN,crop,light,1.493553579050917e-13,9.363955763898502e-14,2.1308119108663776e-13
5,AZERBAIJAN,crop,intense,1.518270538921302e-13,9.981189214931384e-14,2.133093753586166e-13
6,ALBANIA,pasture,minimal,1.5095071538736714e-13,6.03125017487048e-14,2.8446288078379207e-13
6,ALBANIA,pasture,light,1.713436833985846e-13,8.105770630528193e-14,2.9851829284242636e-13
6,ALBANIA,pasture,intense,1.8587118851882077e-13,8.75023734198511e-14,3.11423098921747e-13
6,ALBANIA,crop,minimal,1.6297012914753936e-13,7.237315626704344e-14,2.9215557166931254e-13
6,ALBANIA,crop,light,1.832167966926944e-13,8.563716832430301e-14,3.0932350825937554e-13
6,ALBANIA,crop,intense,1.8613771528934135e-13,9.313271807350609e-14,3.0951638106990036e-13
7,ARMENIA,pasture,minimal,1.7606941016577337e-13,1.1478457792278585e-13,2.498377486424391e-13
7,ARMENIA,pasture,light,1.9214839206268948e-13,1.333804427878001e-13,2.623072342838259e-13
7,ARMENIA,pasture,intense,2.0561522278748698e-13,1.3961014232987844e-13,2.777311409992233e-13
7,ARMENIA,crop,minimal,1.72234002286798e-13,1.0892007451230875e-13,2.463853204510711e-13
7,ARMENIA,crop,light,1.9348617373531037e-13,1.237443010600663e-13,2.6854755294073845e-13
7,ARMENIA,crop,intense,1.970072630281805e-13,1.327305630924349e-13,2.688682682922822e-13
8,ANDORRA,pasture,minimal,2.1446175568389345e-13,1.0553323348171352e-13,3.4601382191820175e-13
8,ANDORRA,pasture,light,2.576451060983483e-13,1.493992219545228e-13,3.847227468326839e-13
8,ANDORRA,pasture,intense,2.96546804208216e-13,1.647139513211085e-13,4.3698548807273514e-13
8,ANDORRA,crop,minimal,2.3168408499598274e-13,1.2418663660220351e-13,3.590700013071573e-13
8,ANDORRA,crop,light,2.835684823063525e-13,1.550683431895379e-13,4.223923030147922e-13
8,ANDORRA,crop,intense,2.926095402050311e-13,1.7441634375418996e-13,4.233609802509024e-13
9,ANGOLA,pasture,minimal,9.248397414853504e-14,6.945809785233519e-14,1.276539114721882e-13
9,ANGOLA,pasture,light,9.327005282633656e-14,7.037524722180833e-14,1.2820842508222154e-13
9,ANGOLA,pasture,intense,9.383459936778354e-14,7.065955195834921e-14,1.287194590342544e-13
9,ANGOLA,crop,minimal,8.987948578823464e-14,6.2983201928047e-14,1.268235582944381e-13
9,ANGOLA,crop,light,9.200483894020559e-14,6.517671163513785e-14,1.281869517767435e-13
9,ANGOLA,crop,intense,9.231085331538175e-14,6.641376650210181e-14,1.282022240499806e-13
10,AMERICAN_SAMOA,pasture,minimal,9.11305887302852e-12,7.020004220746164e-12,1.1306797898765119e-11
10,AMERICAN_SAMOA,pasture,light,9.755749960178161e-12,7.711408745663031e-12,1.1835648170301608e-11
10,AMERICAN_SAMOA,pasture,intense,1.0322936551579081e-11,7.94727054624491e-12,1.2533320714117516e-11
10,AMERICAN_SAMOA,crop,minimal,9.112180947368777e-12,6.918046738479301e-12,1.133464761801521e-11
10,AMERICAN_SAMOA,crop,light,9.945843344850549e-12,7.46075748866431e-12,1.224684176730485e-11
10,AMERICAN_SAMOA,crop,intense,1.0088777871577628e-11,7.793867201039932e-12,1.2260556472252937e-11
11,ARGENTINA,pasture,minimal,1.1091379851708035e-13,8.986658468136587e-14,1.3956614770653349e-13
11,ARGENTINA,pasture,light,1.1199722378406448e-13,9.127512296436057e-14,1.4030307766853572e-13
11,ARGENTINA,pasture,intense,1.1283806922698988e-13,9.172733282467542e-14,1.4112062443250325e-13
11,ARGENTINA,crop,minimal,1.1119588872629438e-13,9.00667502550884e-14,1.397220521338432e-13
11,ARGENTINA,crop,light,1.1241248703877736e-13,9.106649987908487e-14,1.4081448476502714e-13
11,ARGENTINA,crop,intense,1.1260342214248881e-13,9.165225277622909e-14,1.4082919588971811e-13
12,AUSTRALIA,pasture,minimal,8.707290308330708e-14,6.625572491158109e-14,1.1586543090454413e-13
12,AUSTRALIA,pasture,light,9.023146356140889e-14,6.976178244612184e-14,1.1838084355994872e-13
12,AUSTRALIA,pasture,intense,9.275491549107423e-14,7.09088791626423e-14,1.2129784283658704e-13
12,AUSTRALIA,crop,minimal,8.594945611392618e-14,6.34088182585966e-14,1.152948072921312e-13
12,AUSTRALIA,crop,light,9.01757016077939e-14,6.653716591482849e-14,1.1955889072956404e-13
12,AUSTRALIA,crop,intense,9.08510931631268e-14,6.839114252313861e-14,1.1961799836792487e-13
13,AUSTRIA,pasture,minimal,5.1400157998458986e-14,3.103439236968169e-14,7.614614097292612e-14
13,AUSTRIA,pasture,light,5.817902649013571e-14,3.795188740401778e-14,8.2246273845919e-14
13,AUSTRIA,pasture,intense,6.428669165867109e-14,4.0368544216402854e-14,9.048185902154607e-14
13,AUSTRIA,crop,minimal,5.301407768721804e-14,3.264505283796258e-14,7.739008796229232e-14
13,AUSTRIA,crop,light,6.14543810629671e-14,3.768957225851179e-14,8.766232232015956e-14
13,AUSTRIA,crop,intense,6.291922866762634e-14,4.085103301574355e-14,8.781832832545089e-14
14,ANGUILLA,pasture,minimal,4.084271081741308e-12,3.301542323696149e-12,4.918773375968484e-12
14,ANGUILLA,pasture,light,4.258496128642198e-12,3.419668438931866e-12,5.078860525725689e-12
14,ANGUILLA,pasture,intense,4.412260747553964e-12,3.4599810094183044e-12,5.290048377948612e-12
14,ANGUILLA,crop,minimal,3.904181550288365e-12,3.001202525063789e-12,4.800643942845447e-12
14,ANGUILLA,crop,light,4.178967649071377e-12,3.134277572308247e-12,5.124904189890323e-12
14,ANGUILLA,crop,intense,4.225963525476136e-12,3.217775823629856e-12,5.1297597727391914e-12
15,ANTARCTICA,pasture,minimal,0.0,0.0,0.0
15,ANTARCTICA,pasture,light,0.0,0.0,0.0
15,ANTARCTICA,pasture,intense,0.0,0.0,0.0
15,ANTARCTICA,crop,minimal,0.0,0.0,0.0
15,ANTARCTICA,crop,light,0.0,0.0,0.0
15,ANTARCTICA,crop,intense,0.0,0.0,0.0
16,BAHRAIN,pasture,minimal,1.2250341882795071e-14,8.147670709837488e-15,1.7998525495323512e-14
16,BAHRAIN,pasture,light,1.2786198737680693e-14,8.837105148093589e-15,1.832070682452615e-14
16,BAHRAIN,pasture,intense,1.3164102987740834e-14,9.050166483805982e-15,1.86098860529467e-14
16,BAHRAIN,crop,minimal,1.222917399927323e-14,7.784821416794695e-15,1.806189339161246e-14
16,BAHRAIN,crop,light,1.2912154797620673e-14,8.403964856665954e-15,1.8525025647609167e-14
16,BAHRAIN,crop,intense,1.3009525255927878e-14,8.752069007162017e-15,1.8530090202930616e-14
17,BARBADOS,pasture,minimal,3.806332934338042e-12,3.0700961791103916e-12,4.575685753231012e-12
17,BARBADOS,pasture,light,3.969423267331387e-12,3.174418647754753e-12,4.724406345961544e-12
17,BARBADOS,pasture,intense,4.1133605454959915e-12,3.210021008738092e-12,4.920599494123247e-12
17,BARBADOS,crop,minimal,3.618362294173354e-12,2.7555644549481227e-12,4.451106361837581e-12
17,BARBADOS,crop,light,3.8808221211490114e-12,2.8827423790249466e-12,4.757985552336192e-12
17,BARBADOS,crop,intense,3.9257057276959284e-12,2.9608260787101855e-12,4.762579987610241e-12
18,BOTSWANA,pasture,minimal,5.269845000265916e-14,4.115138525704999e-14,6.89944154786225e-14
18,BOTSWANA,pasture,light,5.3195668208633616e-14,4.1809040206708823e-14,6.931747889271514e-14
18,BOTSWANA,pasture,intense,5.355340640116397e-14,4.20123280194957e-14,6.960744836322786e-14
18,BOTSWANA,crop,minimal,5.0966357907341113e-14,3.681922637444891e-14,6.847117953579616e-14
18,BOTSWANA,crop,light,5.237389511649079e-14,3.834095133792088e-14,6.931340549343846e-14
18,BOTSWANA,crop,intense,5.257612894729184e-14,3.9196758052118844e-14,6.932254209537706e-14
19,BERMUDA,pasture,minimal,0.0,0.0,0.0
19,BERMUDA,pasture,light,0.0,0.0,0.0
19,BERMUDA,pasture,intense,0.0,0.0,0.0
19,BERMUDA,crop,minimal,0.0,0.0,0.0
19,BERMUDA,crop,light,0.0,0.0,0.0
19,BERMUDA,crop,intense,0.0,0.0,0.0
20,BELGIUM,pasture,minimal,2.0049667829438304e-14,1.433890575703988e-14,2.6406269190312675e-14
20,BELGIUM,pasture,light,2.145471502240208e-14,1.5976675870811305e-14,2.7567351726512444e-14
20,BELGIUM,pasture,intense,2.2720783771491145e-14,1.6549028526661953e-14,2.913480823946587e-14
20,BELGIUM,crop,minimal,1.725014593829381e-14,1.1164956807915825e-14,2.403858943098863e-14
20,BELGIUM,crop,light,1.978918524962774e-14,1.282465667201434e-14,2.6930769481087838e-14
20,BELGIUM,crop,intense,2.0228404400375437e-14,1.386499015835812e-14,2.6974376558407642e-14
21,BAHAMAS__THE,pasture,minimal,1.2630720539416073e-12,9.584693565428287e-13,1.6459361976801724e-12
21,BAHAMAS__THE,pasture,light,1.3500784904661493e-12,1.0240133506588551e-12,1.7330888494684807e-12
21,BAHAMAS__THE,pasture,intense,1.428234959743013e-12,1.0463741703608826e-12,1.8480622119124e-12
21,BAHAMAS__THE,crop,minimal,1.2834741951518585e-12,9.528639180257572e-13,1.6707666277843732e-12
21,BAHAMAS__THE,crop,light,1.390468576391263e-12,1.0036977527400862e-12,1.8133966413472273e-12
21,BAHAMAS__THE,crop,intense,1.409269937920823e-12,1.0348996288743423e-12,1.8155417568310287e-12
22,BANGLADESH,pasture,minimal,1.2940301703513086e-13,1.0347139543681395e-13,1.6342360494730397e-13
22,BANGLADESH,pasture,light,1.3362958515154616e-13,1.0799462907342333e-13,1.6753079312615127e-13
22,BANGLADESH,pasture,intense,1.3743600627526272e-13,1.0957402553062639e-13,1.7307384331408613e-13
22,BANGLADESH,crop,minimal,9.854961541706322e-14,6.522457228747394e-14,1.391217014807645e-13
22,BANGLADESH,crop,light,1.1174496800900233e-13,7.363794584263767e-14,1.5508133625924162e-13
22,BANGLADESH,crop,intense,1.1404304232089782e-13,7.891036547114427e-14,1.5532283988775068e-13
23,BELIZE,pasture,minimal,7.627611884000191e-13,5.996957792163013e-13,1.0251140714329187e-12
23,BELIZE,pasture,light,8.0336413437497e-13,6.369152860380826e-13,1.0698372261313478e-12
23,BELIZE,pasture,intense,8.39940455800851e-13,6.49908871415235e-13,1.1302207508214178e-12
23,BELIZE,crop,minimal,7.664383137254111e-13,5.901062615303267e-13,1.0356945320914384e-12
23,BELIZE,crop,light,8.183426349643377e-13,6.196352355726224e-13,1.110474690321516e-12
