original_name,polity_code,start_year,end_year
Afghanistan,AFG--1888,1800,1888
Afghanistan,AFG-1919-,1961,2025
Angola,AGO-1975-,1975,2025
Albania,ALB-1913-,1913,2025
United Arab Emirates,ARE-1971-,1971,2025
Argentina,ARG--1899,1800,1899
Argentina,ARG-1902-,1961,2025
Armenia,ARM-1991-,1991,2025
Austria-Hungary,AUH--1908,1800,1908
Australia,AUS-1901-,1961,2025
Australia Commonwealth,AUS-1901-,1901,1938
Austria,AUT-1919-,1919,2025
Azerbaijan,AZE-1991-,1991,2025
Burundi,BDI-1962-,1962,2025
Belgium,BEL--,1831,2025
Benin,BEN-1960-,1961,2025
Burkina Faso,BFA-1960-,1961,2025
Bangladesh,BGD-1971-,1971,2025
Bulgaria,BGR--1913,1878,1913
Bulgaria,BGR-1940-,1961,2025
Bahrain,BHR-1971-,1971,2025
Bahamas,BHS-1973-,1973,2025
Bosnia and Herzegovina,BIH-1992-,1992,2025
Belarus,BLR-1991-,1991,2025
Belize,BLZ-1981-,1981,2025
Bolivia,BOL--1903,1825,1903
Bolivia (Plurinational State of),BOL-1938-,1961,2025
Brazil,BRA--1903,1800,1903
Brazil,BRA-1909-,1961,2025
Barbados,BRB-1966-,1966,2025
Brunei Darussalam,BRN-1984-,1984,2025
Bhutan,BTN-1949-,1949,2025
Botswana,BWA-1966-,1966,2025
Central African Republic,CAF-1960-,1961,2025
Canada,CAN--1948,1866,1938
Canada,CAN-1948-,1961,2025
Switzerland,CHE--,1800,2025
Chile,CHL--1899,1810,1899
Chile,CHL-1902-,1961,2025
Côte d'Ivoire,CIV-1960-,1961,2025
Cameroon,CMR-1961-,1961,2025
"Congo, Democratic Republic of the",COD-1960-,1970,2025
Democratic Republic of the Congo,COD-1960-,1961,2025
Congo,COG-1960-,1961,2025
Colombia,COL--1903,1800,1903
Colombia,COL-1922-,1961,2025
Comoros,COM-1975-,1975,2025
Cabo Verde,CPV-1975-,1975,2025
Costa Rica,CRI--,1800,2025
Cuba,CUB-1902-,1902,2025
Cyprus,CYP-1960-,1960,2025
Czechia,CZE-1993-,1993,2025
Germany,DEU-1990-,1990,2025
Djibouti,DJI-1977-,1977,2025
Denmark,DNK--1920,1800,1920
Denmark,DNK-1920-,1961,2025
Dominican Republic,DOM--,1800,2025
Algeria,DZA-1962-,1962,2025
Ecuador,ECU--1942,1800,1938
Ecuador,ECU-1942-,1961,2025
Egypt,EGY-1979-,1979,2025
Eritrea,ERI-1993-,1993,2025
Spain,ESP--,1800,2025
Estonia,EST-1918-1940,1918,1938
Estonia,EST-1991-,1991,2025
Ethiopia,ETH-1993-,1993,2025
Russia/USSR,F228--1905,1800,1905
USSR,F228-1945-1991,1961,1991
North Yemen,F246-1918-1990,1918,1938
Yemen (old),F246-1918-1990,1970,1990
Yemen Ar Rp,F246-1918-1990,1961,1989
Democratic Yemen,F247-1967-1990,1970,1990
Yemen Dem,F247-1967-1990,1967,1989
Socialist Federal Republic of Yugoslavia,F248-1991-1992,1991,1992
Yugoslav SFR,F248-1991-1992,1991,1991
China,F351-1950-,1961,2025
Czechoslovakia,F51-1918-1938,1918,1937
Czechoslovakia,F51-1947-1992,1961,1992
German Democratic Republic,F77-1949-1990,1970,1990
Germany Nl,F77-1949-1990,1961,1989
Federal Republic of Germany,F78-1949-1990,1970,1990
Germany Fr,F78-1949-1990,1961,1989
Finland,FIN-1917-1940,1917,1938
Finland,FIN-1940-,1961,2025
Fiji,FJI-1970-,1970,2025
France,FRA--1919,1800,1919
France,FRA-1919-,1961,2025
Gabon,GAB-1960-,1961,2025
United Kingdom,GBR--1921,1800,1921
United Kingdom of Great Britain and Northern Ireland,GBR-1921-,1961,2025
Georgia,GEO-1991-,1991,2025
Ghana,GHA-1957-,1961,2025
Guinea,GIN-1958-,1961,2025
Gambia,GMB-1965-,1965,2025
Guinea-Bissau,GNB-1974-,1974,2025
Equatorial Guinea,GNQ-1968-,1968,2025
Greece,GRC-1919-,1961,2025
Guatemala,GTM--,1821,2025
Guyana,GUY-1966-,1966,2025
Honduras,HND--,1800,2025
Croatia,HRV-1992-,1992,2025
Haiti,HTI--,1800,2025
Hungary,HUN-1947-,1961,2025
Indonesia,IDN-2002-,2002,2025
India,IND-1949-,1961,2025
