original_name,source,common_name
Afghanistan,m49,Afghanistan
Albania,m49,Albania
Antarctica,m49,Antarctica
Algeria,m49,Algeria
American Samoa,m49,American Samoa
Andorra,m49,Andorra
Angola,m49,Angola
Antigua and Barbuda,m49,Antigua and Barbuda
Azerbaijan,m49,Azerbaijan
Argentina,m49,Argentina
Australia,m49,Australia
Austria,m49,Austria
Bahamas,m49,Bahamas
Bahrain,m49,Bahrain
Bangladesh,m49,Bangladesh
Armenia,m49,Armenia
Barbados,m49,Barbados
Belgium,m49,Belgium
Bermuda,m49,Bermuda
Bhutan,m49,Bhutan
Bolivia (Plurinational State of),m49,Bolivia (Plurinational State of)
Bosnia and Herzegovina,m49,Bosnia and Herzegovina
Botswana,m49,Botswana
Bouvet Island,m49,Bouvet Island
Brazil,m49,Brazil
Belize,m49,Belize
British Indian Ocean Territory,m49,British Indian Ocean Territory
Solomon Islands,m49,Solomon Islands
Virgin Islands (British),m49,Virgin Islands (British)
Brunei Darussalam,m49,Brunei Darussalam
Bulgaria,m49,Bulgaria
Myanmar,m49,Myanmar
Burundi,m49,Burundi
Belarus,m49,Belarus
Cambodia,m49,Cambodia
Cameroon,m49,Cameroon
Canada,m49,Canada
Cabo Verde,m49,Cabo Verde
Cayman Islands,m49,Cayman Islands
Central African Republic,m49,Central African Republic
Sri Lanka,m49,Sri Lanka
Chad,m49,Chad
Chile,m49,Chile
China,m49,China
"Taiwan, Province of China",m49,"Taiwan, Province of China"
Christmas Island,m49,Christmas Island
Cocos (Keeling) Islands,m49,Cocos (Keeling) Islands
Colombia,m49,Colombia
Comoros,m49,Comoros
Mayotte,m49,Mayotte
Congo,m49,Congo
"Congo, Democratic Republic of the",m49,"Congo, Democratic Republic of the"
Cook Islands,m49,Cook Islands
Costa Rica,m49,Costa Rica
Croatia,m49,Croatia
Cuba,m49,Cuba
Cyprus,m49,Cyprus
Sub-Saharan Africa,m49,Sub-Saharan Africa
Czechia,m49,Czechia
Benin,m49,Benin
Denmark,m49,Denmark
Dominica,m49,Dominica
Dominican Republic,m49,Dominican Republic
Ecuador,m49,Ecuador
El Salvador,m49,El Salvador
Equatorial Guinea,m49,Equatorial Guinea
Ethiopia,m49,Ethiopia
Eritrea,m49,Eritrea
Estonia,m49,Estonia
Faroe Islands,m49,Faroe Islands
Falkland Islands (Malvinas),m49,Falkland Islands (Malvinas)
South Georgia and the South Sandwich Islands,m49,South Georgia and the South Sandwich Islands
Fiji,m49,Fiji
Finland,m49,Finland
Åland Islands,m49,Åland Islands
France,m49,France
French Guiana,m49,French Guiana
French Polynesia,m49,French Polynesia
French Southern and Antarctic Territories,m49,French Southern and Antarctic Territories
Djibouti,m49,Djibouti
Gabon,m49,Gabon
Georgia,m49,Georgia
Gambia,m49,Gambia
"Palestine, State of",m49,"Palestine, State of"
Germany,m49,Germany
Ghana,m49,Ghana
Gibraltar,m49,Gibraltar
Kiribati,m49,Kiribati
Greece,m49,Greece
Greenland,m49,Greenland
Grenada,m49,Grenada
Guadeloupe,m49,Guadeloupe
Guam,m49,Guam
Guatemala,m49,Guatemala
Guinea,m49,Guinea
Guyana,m49,Guyana
Haiti,m49,Haiti
Heard Island and McDonald Islands,m49,Heard Island and McDonald Islands
Holy See,m49,Holy See
Honduras,m49,Honduras
Hong Kong,m49,Hong Kong
Hungary,m49,Hungary
Iceland,m49,Iceland
India,m49,India
Indonesia,m49,Indonesia
"Iran, Islamic Republic of",m49,"Iran, Islamic Republic of"
Iraq,m49,Iraq
Ireland,m49,Ireland
Israel,m49,Israel
Italy,m49,Italy
Côte d'Ivoire,m49,Côte d'Ivoire
Jamaica,m49,Jamaica
Japan,m49,Japan
Kazakhstan,m49,Kazakhstan
Jordan,m49,Jordan
Kenya,m49,Kenya
"Korea, Democratic People's Republic of",m49,"Korea, Democratic People's Republic of"
"Korea, Republic of",m49,"Korea, Republic of"
Kuwait,m49,Kuwait
Kyrgyzstan,m49,Kyrgyzstan
Lao People's Democratic Republic,m49,Lao People's Democratic Republic
Lebanon,m49,Lebanon
Lesotho,m49,Lesotho
Latvia,m49,Latvia
Liberia,m49,Liberia
Libya,m49,Libya
Liechtenstein,m49,Liechtenstein
Lithuania,m49,Lithuania
Luxembourg,m49,Luxembourg
Macao,m49,Macao
Madagascar,m49,Madagascar
Malawi,m49,Malawi
Malaysia,m49,Malaysia
Maldives,m49,Maldives
Mali,m49,Mali
Malta,m49,Malta
Martinique,m49,Martinique
Mauritania,m49,Mauritania
Mauritius,m49,Mauritius
Mexico,m49,Mexico
Monaco,m49,Monaco
Mongolia,m49,Mongolia
Republic of Moldova,m49,Republic of Moldova
Montenegro,m49,Montenegro
Montserrat,m49,Montserrat
Morocco,m49,Morocco
Mozambique,m49,Mozambique
Oman,m49,Oman
Namibia,m49,Namibia
Nauru,m49,Nauru
Nepal,m49,Nepal
"Netherlands, Kingdom of the",m49,"Netherlands, Kingdom of the"
Curaçao,m49,Curaçao
Aruba,m49,Aruba
Sint Maarten (Dutch part),m49,Sint Maarten (Dutch part)
"Bonaire, Sint Eustatius and Saba",m49,"Bonaire, Sint Eustatius and Saba"
New Caledonia,m49,New Caledonia
Vanuatu,m49,Vanuatu
New Zealand,m49,New Zealand
Nicaragua,m49,Nicaragua
Niger,m49,Niger
Nigeria,m49,Nigeria
Niue,m49,Niue
Norfolk Island,m49,Norfolk Island
Norway,m49,Norway
Northern Mariana Islands,m49,Northern Mariana Islands
United States Minor Outlying Islands,m49,United States Minor Outlying Islands
