polity_name,start_year,end_year,area
Afghanistan,NA,1888,809279.314857614
Afghanistan,1919,NA,642119.498616103
Albania,1913,NA,28618.632455793
Algeria,1962,NA,2320939.14815272
Angola,1975,NA,1252154.42577192
Argentina,NA,1899,2778367.18993487
Argentina,1899,1902,2825758.46588691
Argentina,1902,NA,2781189.02509019
Armenia,1991,NA,29630.2849882815
Australia,1901,NA,7701437.38777602
Austria,1918,1919,211324.340907065
Austria,1919,NA,83711.480536295
Austria-Hungary,NA,1908,622422.068943414
Austria-Hungary,1908,1918,673852.235567093
Azerbaijan,1991,NA,85854.144808397
Bahamas,1973,NA,12075.545749211
Bahrain,1971,NA,629.964706827596
Bangladesh,1971,NA,138163.73719408
Barbados,1966,NA,443.725480050514
Belarus (Byelorussia),1991,NA,206843.421964279
Belgium,NA,NA,30532.9448796002
Belize,1981,NA,22165.4297691128
Benin,1960,NA,116665.787265363
Bhutan,1949,NA,39905.5839452086
Bolivia,NA,1903,1325090.57018536
Bolivia,1903,1909,1199171.90488456
Bolivia,1909,1938,1195848.45572904
Bolivia,1938,NA,1090253.52561393
Bosnia-Herzegovina,1992,NA,51430.183425684
Botswana,1966,NA,579806.799509129
Brazil,NA,1903,8343539.51509648
Brazil,1903,1909,8469458.18039728
Brazil,1909,NA,8504404.45996164
Brunei,1984,NA,5754.00977759651
Bulgaria,NA,1913,92999.7887774986
Bulgaria,1913,1918,111364.674843759
Bulgaria,1918,1919,119036.879693438
Bulgaria,1919,1940,103159.237675162
Bulgaria,1940,NA,110831.442524841
Burkina Faso (Upper Volta),1960,NA,273395.094440436
Burundi,1962,NA,27308.4933361716
Cambodia (Kampuchea),1953,NA,182448.124309294
Cameroon,1960,1961,424902.682802897
Cameroon,1961,NA,466762.625789189
Canada,NA,1948,9503973.40063897
Canada,1948,NA,9900802.08739336
Cape Verde,1975,NA,4011.3476345342
Central African Republic,1960,NA,621294.298789313
Chad,1960,NA,1276367.15320869
Chile,NA,1899,746240.34256543
Chile,1899,1902,698849.066613477
Chile,1902,NA,743418.507410177
China,NA,1895,11140470.0008163
China,1895,1912,11104397.3569032
China,1913,1914,9217169.73807547
China,1914,1921,9052733.97724508
China,1921,1945,7493923.78263826
China,1945,1947,7529996.42655135
China,1947,1949,7591077.1729876
China,1949,1950,7555004.52907451
China,1950,NA,9367457.93735388
Colombia,NA,1903,1172518.51942876
Colombia,1903,1922,1098099.19193874
Colombia,1922,NA,1140104.09785402
Comoros,1975,NA,1707.78114133236
Congo,1960,NA,345558.374026815
"Congo, Democratic Republic of (Zaire)",1960,NA,2336828.60448501
Costa Rica,NA,NA,51263.3416362547
Cote D'Ivoire,1960,NA,322671.943173249
Croatia,1992,NA,55709.3096961529
Cuba,1902,NA,109388.467441318
Cyprus,1960,NA,9128.95635410267
Czech Republic,1993,NA,78490.3435893634
Czechoslovakia,1918,1938,139946.249030099
Czechoslovakia,1938,1945,100498.024942224
Czechoslovakia,1945,1947,111519.533518387
Czechoslovakia,1947,1992,127266.727246091
Denmark,NA,1920,38496.2718276968
Denmark,1920,NA,42428.4143409003
Djibouti,1977,NA,21517.3724379058
Dominican Republic,NA,NA,48462.7020623179
East Timor,2002,NA,15086.8187059516
Ecuador,NA,1942,343298.738250458
Ecuador,1942,NA,256416.841107036
Egypt,1922,1925,1520071.67947741
Egypt,1925,1967,1000195.72116416
Egypt,1967,1979,939556.743028683
Egypt,1979,NA,1000195.72116416
El Salvador,NA,NA,20632.5772143888
Equatorial Guinea,1968,NA,27041.3869968257
Eritrea,1993,NA,121325.291579504
Estonia,1918,1940,49033.5367633816
Estonia,1991,NA,45668.0856602338
Ethiopia,NA,1889,281318.590340969
Ethiopia,1889,1897,267127.06114935
Ethiopia,1897,1902,943105.275147825
Ethiopia,1902,1907,994942.024700361
Ethiopia,1907,1952,1132247.91748742
Ethiopia,1952,1993,1253573.20906701
Ethiopia,1993,NA,1132247.91748742
Fiji,1970,NA,18090.4750954544
Finland,1917,1940,386285.966514341
Finland,1940,NA,333112.572555041
France,NA,1919,530949.11453872
France,1919,NA,546635.059129154
Gabon,1960,NA,261849.484831891
Gambia,1965,NA,10762.4513592543
Georgia,1991,NA,69848.1578679754
German Democratic Republic,1949,1990,108829.094443954
German Federal Republic,1949,1990,246796.524280629
German Federal Republic,1990,NA,355625.61294616
Germany (Prussia),NA,1919,538094.010000548
Germany (Prussia),1919,1920,473012.477067268
Germany (Prussia),1920,1938,469080.334775468
Germany (Prussia),1938,1945,494810.302334121
Ghana,1957,NA,240056.149148469
Greece,NA,1913,63710.8620547128
Greece,1913,1919,121598.785974799
Greece,1919,NA,129804.210742471
Guatemala,NA,NA,109412.828521409
Guinea,1958,NA,246059.454283705
Guinea-Bissau,1974,NA,33371.8820545385
Guyana,1966,NA,211506.963977607
Haiti,NA,NA,27219.8656574403
Honduras,NA,NA,112632.22695701
Hungary,1918,1919,269757.579209241
Hungary,1919,1920,257046.091574996
Hungary,1920,1938,92737.3964195819
Hungary,1938,1947,108484.590147282
Hungary,1947,NA,92737.3964195819
Iceland,1944,NA,102217.946624026
India,1947,1949,3053738.68745849
India,1949,NA,3159619.17669663
Indonesia,1945,1949,1885553.69883243
Indonesia,1949,1969,1473383.78428481
Indonesia,1969,1976,1885553.69883243
Indonesia,1976,2002,1900641.42345699
Indonesia,2002,NA,1885553.69881429
Iran (Persia),NA,NA,1622521.2147141
Iraq,1932,NA,436397.479158248
Ireland,1921,NA,69293.8948917279
Israel,1948,1967,20736.734886908
Israel,1967,1979,88737.5885368855
Israel,1979,NA,28098.399187061
Italy/Sardinia,NA,1919,284187.360862238
Italy/Sardinia,1919,NA,299546.010334552
Jamaica,1962,NA,11062.6627416984
Japan,NA,NA,370776.333174647
Jordan,1946,NA,89339.9265552844
Kazakhstan,1991,NA,2715091.84173948
Kenya,1963,NA,584495.084280953
Korea,NA,1910,219243.441391312
"Korea, People's Republic of",1948,NA,122070.63463029
"Korea, Republic of",1948,NA,97173.3205510489
Kosovo,2008,NA,10719.2585764106
Kuwait,1961,NA,16771.9459683215
Kyrgyz Republic,1991,NA,199287.099746979
Laos,1954,NA,230623.65790306
Latvia,1918,1940,65641.8201281472
Latvia,1991,NA,64325.9480170079
Lebanon,1944,NA,10212.4229704268
Lesotho,1966,NA,30553.1713786855
Liberia,NA,NA,96414.83524839
Libya,1951,NA,1620295.91841937
Lithuania,1918,1920,83501.3645065988
Lithuania,1920,1940,55600.4243972234
