country_name,start_year,end_year,status,owner,gwcode
Aden,1937,1962,colony,200,681
Afghanistan,1888,1893,protectorate,200,700
Afghanistan,1893,1919,protectorate,200,700
Alaska,1886,1959,colony,2,3
Algeria,1886,1901,colony,220,615
Algeria,1901,1902,colony,220,615
Algeria,1902,1919,colony,220,615
Algeria,1919,1962,colony,220,615
Angola,1886,1890,colony,235,540
Angola,1890,1891,colony,235,540
Angola,1891,1905,colony,235,540
Angola,1905,1975,colony,235,540
Bahamas,1886,1973,colony,200,31
Barbados,1886,1966,colony,200,53
Belize,1886,1970,colony,200,80
Belize,1970,1981,colony,200,80
Benin,1895,1897,colony,220,434
Benin,1897,1898,colony,220,434
Benin,1898,1960,colony,220,434
Bhutan,1886,1947,protectorate,200,760
Bhutan,1947,1948,protectorate,750,760
Bokhara,1886,1920,protectorate,365,7020
Bosnia,1886,1908,occupied,300,3461
Botswana,1886,1890,protectorate,200,571
Botswana,1890,1895,protectorate,200,571
Botswana,1895,1966,protectorate,200,571
British Bechuanaland,1886,1890,colony,200,5612
British Bechuanaland,1890,1895,colony,200,5612
British Cameroons,1919,1922,occupied,200,472
British Cameroons,1922,1961,mandate,200,472
British Somaliland (Somaliland Republic),1886,1897,colony,200,521
British Somaliland (Somaliland Republic),1897,1960,colony,200,521
British Togoland,1922,1955,mandate,200,462
Brunei,1888,1983,protectorate,200,835
Burkina Faso (Upper Volta),1919,1932,colony,220,439
Burkina Faso (Upper Volta),1947,1960,colony,220,439
Cambodia (Kampuchea),1886,1893,colony,220,811
Cambodia (Kampuchea),1893,1904,colony,220,811
Cambodia (Kampuchea),1904,1907,colony,220,811
Cambodia (Kampuchea),1907,1953,colony,220,811
Cameroon,1919,1922,occupied,220,471
Cameroon,1922,1959,mandate,220,471
Cape Colony,1886,1895,colony,200,561
Cape Colony,1895,1910,colony,200,561
Cape Verde,1886,1975,colony,235,402
Central African Republic,1906,1912,colony,220,482
Central African Republic,1912,1919,colony,220,482
Central African Republic,1919,1960,colony,220,482
Chad,1900,1912,occupied,220,483
Chad,1912,1919,occupied,220,483
Chad,1919,1920,occupied,220,483
Chad,1920,1960,colony,220,483
Comoros,1946,1975,colony,220,581
Congo,1886,1898,colony,220,484
Congo,1898,1900,colony,220,484
Congo,1900,1906,colony,220,484
Congo,1906,1912,colony,220,484
Congo,1912,1919,colony,220,484
Congo,1919,1960,colony,220,484
"Congo, Democratic Republic of (Zaire)",1886,1891,colony,211,490
"Congo, Democratic Republic of (Zaire)",1891,1891,colony,211,490
"Congo, Democratic Republic of (Zaire)",1891,1894,colony,211,490
"Congo, Democratic Republic of (Zaire)",1894,1908,colony,211,490
"Congo, Democratic Republic of (Zaire)",1908,1910,colony,211,490
"Congo, Democratic Republic of (Zaire)",1910,1960,colony,211,490
Cote D'Ivoire,1889,1893,protectorate,220,437
Cote D'Ivoire,1893,1900,colony,220,437
Cote D'Ivoire,1900,1902,colony,220,437
Cote D'Ivoire,1902,1932,colony,220,437
Cote D'Ivoire,1932,1933,colony,220,437
Cote D'Ivoire,1933,1947,colony,220,437
Cote D'Ivoire,1947,1960,colony,220,437
Cuba,1886,1898,colony,230,40
Cuba,1898,1902,occupied,2,40
Cyprus,1914,1960,colony,200,352
Danzig,1919,1938,mandate,0,291
Djibouti,1886,1900,colony,220,522
Djibouti,1900,1977,colony,220,522
East Aden Protectorate,1937,1962,protectorate,200,6812
East Timor,1886,1976,colony,235,860
Egypt,1886,1899,colony,200,651
Egypt,1899,1914,colony,200,651
Egypt,1914,1922,protectorate,200,651
Equatorial Guinea,1886,1900,colony,230,411
Equatorial Guinea,1900,1968,colony,230,411
Eritrea,1886,1889,colony,325,531
Eritrea,1889,1900,colony,325,531
Eritrea,1900,1941,colony,325,531
Eritrea,1941,1952,occupied,200,531
Federated Malay States,1896,1909,colony,200,821
Federated Malay States,1909,1946,colony,200,821
Federation of Rhodesia and Nyasaland,1953,1964,colony,200,550
Federation of South Arabia,1962,1967,colony,200,6801
Fiji,1886,1970,colony,200,950
French Guyana,1886,1930,colony,220,120
French Guyana,1930,1946,colony,220,120
French Guyana,1946,2019,colony,220,120
French Polynesia,1903,2019,colony,220,960
French West Africa,1895,1898,colony,220,430
French West Africa,1898,1902,colony,220,430
French West Africa,1902,1904,colony,220,430
Gabon,1886,1903,protectorate,220,481
Gabon,1903,1906,colony,220,481
Gabon,1906,1912,colony,220,481
Gabon,1912,1919,colony,220,481
Gabon,1919,1960,colony,220,481
Gambia,1889,1965,colony,200,420
Gaza,1948,1967,occupied,651,6511
German Democratic Republic,1945,1949,occupied,365,265
German Federal Republic,1945,1949,occupied,2,260
German Solomon Islands,1886,1899,protectorate,255,9401
German Togoland,1886,1886,colony,255,460
German Togoland,1887,1888,colony,255,460
German Togoland,1888,1896,colony,255,460
German Togoland,1897,1897,colony,255,460
German Togoland,1897,1897,colony,255,460
German Togoland,1897,1914,colony,255,460
German Togoland,1914,1919,occupied,200,460
German Togoland,1919,1922,occupied,200,460
Ghana,1886,1888,colony,200,452
Ghana,1888,1898,colony,200,452
Ghana,1898,1956,colony,200,452
Ghana,1956,1957,colony,200,452
Guadeloupe,1886,2019,colony,220,65
Guinea,1894,1958,colony,220,438
Guinea-Bissau,1886,1886,colony,235,404
Guinea-Bissau,1886,1942,colony,235,404
Guinea-Bissau,1942,1974,colony,235,404
Guyana,1886,1966,colony,200,110
Haiti,1915,1934,occupied,2,41
Hawaii,1898,1959,colony,2,4
