polity_name,start_year,end_year,population,notes
Algeria,1831,1938,5579,1800-1830 Ottoman Empire
Angola,1816,1938,2676,NA
Basutoland,1884,1938,362,present-day Lesotho
Bechuanaland Protectorate,1885,1938,204,present-day Botswana
Belgian Congo,1885,1938,8396,NA
British Bechuanaland,1885,1895,NA,1896-1938 annexed to  South Africa
British Cameroon,1914,1938,561,"population in 1921; Before 1914 part of German Kameroon, then divided between Nigeria and Cameroon; estimate jointly with Nigeria"
British East Africa,1895,1938,7008,Present day Kenya and Uganda
British Protectorate (British Somaliland),1884,1938,360,NA
Canary Islands,1800,1938,448,NA
Cameroon (Kamerun),1884,1938,3002,"German colony until 1914, French mandate thereafter"
CapoVerde,1800,1938,144,NA
Ceuta Y Melilla,1800,1938,71,NA
Egypt,1800,1938,12113,NA
Eritrea,1882,1938,788,NA
Ethiopia,1800,1938,18434,Since 1936 Italian colony
French Equatorial Africa,1910,1938,3423,"Includes present-day Central African republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910)"
French Somaliland,1887,1938,75,NA
French West Africa,1895,1938,12062,"Includes present-day Mauritania, Dahomey (or Benin), French Guinea, Ivory Coast (protectorate since mid 19th century, colony 1889), Mali, Niger  Senegal (colony since mid 19th century), French Sudan, Upper Volta (now Burkina Faso), Niger and Togo (independent polity as German West Africa  until 1914)"
Gambia,1800,1938,177,NA
German East Africa (Tanganyika),1884,1938,4799,After 1919   British mandate; present-day  Tanzania
German South West Africa,1884,1938,239,After 1919 South African mandate; present day Namibia
German West Africa,1884,1914,788,After 1919 part of  French West Africa; present-day Togo
Gold Coast,1843,1938,3125,1821-1843 and  1866-1874 part of Sierra Leone; present-day Ghana
Guinea Bisau (Portuguese Guinea),1879,1938,304,Present-day Guinea Bissau
Italian Libia Cyrenaica (Lybia),1911,1938,571,1800-1910 Ottoman Empire
Italian Somaliland,1908,1938,800,NA
Liberia,1847,1938,496,NA
Madagascar,1882,1938,2694,NA
Mauritius,1800,1938,380,NA
Mayotte and Noissi-be,1843,1914,NA,1914-1938 annexed to Madagascar; estimated jointly with Magadascar
Morocco (French),1911,1938,5596,NA
Mozambique,1816,1938,4080,NA
Nigeria,1861,1938,19614,"Includes Lagos (separate colony 1861-1906), Southern Nigeria (protectorate 1899-1914) and Northern Nigeria (protectorate 1900-1914)"
Nyasaland Protectorate (Malawi),1891,1938,1859,present day Malawi
Orange Free State,1848,1900,NA,After 1900 South Africa; jointly estimated South Africa
Reunion,1816,1938,175,NA
Rhodesia,1890,1938,2913,"Includes Southern Rhodesia (colony 1901 - present-day Zimbabwe), North-Western  Rhodesia (protectorate 1890- present-day Zambia) and North Eastern Rhodesia (protectorate  ca 1900 - present-day Zambia)"
Rwanda and Burundi,1919,1938,2979,Until 1918 part of German East Africa; thereafter of British East Africa
Sao Tome and Principe,1800,1938,60,NA
Seychelles,1903,1938,24,1816-1903 belonged to  Mauritius
Sierra Leone,1800,1938,1169,NA
South Africa,1828,1938,6128,"includes Cape Good Hope (since 1828), Natal (since 1897)"
Spanish Guinea,1858,1938,119,present-day Equatorial Guinea
St. Helena,1800,1938,4,NA
Sudan (Anglo-Egyptian),1882,1938,7760,Until 1881 formally  belonged to Egypt
Swaziland,1894,1938,135,NA
Transvaal,1856,1902,NA,After 1900 South Africa; jointly estimated South Africa
Tunisia,1881,1938,2187,NA
Zanzibar,1800,1938,199,British protectorate 1890; present-day Tanzania
Argentina,1800,1938,7615,until 1811 Spanish colony (Viceroyalty Plata)
Bahamas,1800,1938,55,NA
Barbados,1800,1938,168,NA
Bermuda,1800,1938,19,NA
Bolivia,1825,1938,1802,until 1825 Spanish colony (Viceroyalty de la Plata)
Brazil,1800,1938,26158,NA
British Guiana,1800,1938,309,"Including Berbice, Demerara and Essequebio (independent colonies 1802-1831); now Guyana"
British Honduras (Belize),1800,1938,41,"quasi independent  until 1862, then British colony. Present-day Belize"
Canada,1866,1938,7852,"Sum of Canada (Ports of Quebec and Montreal), Nova Scotia and Cape Breton, New Brunswick and Prince Edward Island from 1827-1867."
British Columbia,1858,1866,NA,Joint estimate with Canada
Chile,1810,1938,3680,Until 1810 Spanish colony (viceroyalty de Peru)
Colombia,1800,1938,5817,until 1811 spanish colony (Viceroyalty New Granada)
Costa Rica,1800,1938,372,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Cuba,1800,1938,2431,NA
Danish Virgin Islands,1800,1938,27,NA
Dominican Republic,1800,1938,741,NA
Dutch Guayana,1800,1938,114,present-day Suriname
Dutch West Indies (Netherland Antilles),1800,1938,57,"Islands Aruba, Bonaire and Curacao and minor ones"
Ecuador,1800,1938,1689,NA
El Salvador,1821,1938,2025,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Falkland Islands,1833,1938,3,1816-1833 Argentina
French Guiana,1800,1938,48,NA
Grenada,1800,1833,67,British Windward colony after 1833
Guadeloupe,1800,1938,170,NA
Guatemala,1821,1938,2025,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Haiti,1800,1938,1746,NA
Honduras,1800,1938,631,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Jamaica,1800,1938,837,Including Cayman islands
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",1800,1938,86,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another"
Lower Quebec,1800,1866,NA,Joint estimate with Canada
Martinique,1800,1938,187,NA
Mexico,1800,1938,16125,NA
New Brunswick,1800,1866,NA,Joint estimate with Canada
Newfoundland,1816,1938,244,NA
Nicaragua,1800,1938,698,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America
Nova Scotia  Cape Breton Isl.,1800,1866,NA,Joint estimate with Canada
Ontario,1800,1866,NA,Joint estimate with Canada
Panama,1906,1938,348,until 1821 Spanish colony; until 1905 part of Colombia
Paraguay,1811,1938,713,NA
Peru,1825,1938,4006,until 1824 Spanish colony (viceroyalty of Peru)
Prince Edward Island,1800,1866,NA,Joint estimate with Canada
Puerto Rico,1800,1938,2431,since 1901 trade of Porto Rico is included in the United States  statistics.
St. Lucía,1800,1838,49,British Windward colony after 1833
St Martin and St Barthélemy,1816,1878,2,population 1870; 1878-1938 part of Guadaloupe
St Pierre & Miquelon,1800,1938,4,NA
St. Vincent,1800,1833,42,British Windward colony after 1833
Trinidad and Tobago,1800,1938,340,Tobago independent colony until 1889
Turks and Caicos Islands,1800,1938,NA,NA
United States,1800,1938,97225,NA
Vancouver´s Island,1849,1866,NA,Joint estimate with Canada
Uruguay,1828,1938,1189,until 1814 Spanish colony (Viceroyalty Rio de la Plata); 1816-1825 Brazil;
