m49_name,m49_code,start_year,end_year,notes,is_old
Afghanistan,004,1982,NA,Current ISO 3166-1 country,FALSE
Albania,008,1982,NA,Current ISO 3166-1 country,FALSE
Antarctica,010,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Algeria,012,1982,NA,Current ISO 3166-1 country,FALSE
American Samoa,016,1982,NA,Current ISO 3166-1 country,FALSE
Andorra,020,1982,NA,Current ISO 3166-1 country,FALSE
Angola,024,1982,NA,Current ISO 3166-1 country,FALSE
Antigua and Barbuda,028,1982,NA,Current ISO 3166-1 country,FALSE
Azerbaijan,031,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Argentina,032,1982,NA,Current ISO 3166-1 country,FALSE
Australia,036,1982,NA,Current ISO 3166-1 country,FALSE
Austria,040,1982,NA,Current ISO 3166-1 country,FALSE
Bahamas,044,1982,NA,Current ISO 3166-1 country,FALSE
Bahrain,048,1982,NA,Current ISO 3166-1 country,FALSE
Bangladesh,050,1982,NA,Current ISO 3166-1 country,FALSE
Armenia,051,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Barbados,052,1982,NA,Current ISO 3166-1 country,FALSE
Belgium,056,1982,NA,Current ISO 3166-1 country,FALSE
Bermuda,060,1982,NA,Current ISO 3166-1 country,FALSE
Bhutan,064,1982,NA,Current ISO 3166-1 country,FALSE
Bolivia (Plurinational State of),068,1982,NA,Current ISO 3166-1 country,FALSE
Bosnia and Herzegovina,070,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Botswana,072,1982,NA,Current ISO 3166-1 country,FALSE
Bouvet Island,074,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Brazil,076,1982,NA,Current ISO 3166-1 country,FALSE
Belize,084,1982,NA,Current ISO 3166-1 country,FALSE
British Indian Ocean Territory,086,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Solomon Islands,090,1982,NA,Current ISO 3166-1 country,FALSE
Virgin Islands (British),092,1982,NA,Current ISO 3166-1 country,FALSE
Brunei Darussalam,096,1982,NA,Current ISO 3166-1 country,FALSE
Bulgaria,100,1982,NA,Current ISO 3166-1 country,FALSE
Myanmar,104,1982,NA,Current ISO 3166-1 country,FALSE
Burundi,108,1982,NA,Current ISO 3166-1 country,FALSE
Belarus,112,1982,NA,Current ISO 3166-1 country,FALSE
Cambodia,116,1982,NA,Current ISO 3166-1 country,FALSE
Cameroon,120,1982,NA,Current ISO 3166-1 country,FALSE
Canada,124,1982,NA,Current ISO 3166-1 country,FALSE
Cabo Verde,132,1982,NA,Current ISO 3166-1 country,FALSE
Cayman Islands,136,1982,NA,Current ISO 3166-1 country,FALSE
Central African Republic,140,1982,NA,Current ISO 3166-1 country,FALSE
Sri Lanka,144,1982,NA,Current ISO 3166-1 country,FALSE
Chad,148,1982,NA,Current ISO 3166-1 country,FALSE
Chile,152,1982,NA,Current ISO 3166-1 country,FALSE
China,156,1982,NA,Current ISO 3166-1 country,FALSE
"Taiwan, Province of China",158,1982,NA,Current ISO 3166-1 country,FALSE
Christmas Island,162,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Cocos (Keeling) Islands,166,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Colombia,170,1982,NA,Current ISO 3166-1 country,FALSE
Comoros,174,1982,NA,Current ISO 3166-1 country,FALSE
Mayotte,175,2002,NA,Issued a numerical code in 2002,FALSE
Congo,178,1982,NA,Current ISO 3166-1 country,FALSE
"Congo, Democratic Republic of the",180,1982,NA,Current ISO 3166-1 country,FALSE
Cook Islands,184,1982,NA,Current ISO 3166-1 country,FALSE
Costa Rica,188,1982,NA,Current ISO 3166-1 country,FALSE
Croatia,191,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Cuba,192,1982,NA,Current ISO 3166-1 country,FALSE
Cyprus,196,1982,NA,Current ISO 3166-1 country,FALSE
Sub-Saharan Africa,202,2017,NA,M49 regional grouping only,FALSE
Czechia,203,1993,NA,Formerly part of Czechoslovakia (numerical code 200),FALSE
Benin,204,1982,NA,Current ISO 3166-1 country,FALSE
Denmark,208,1982,NA,Current ISO 3166-1 country,FALSE
Dominica,212,1982,NA,Current ISO 3166-1 country,FALSE
Dominican Republic,214,1982,NA,Current ISO 3166-1 country,FALSE
Ecuador,218,1982,NA,Current ISO 3166-1 country,FALSE
El Salvador,222,1982,NA,Current ISO 3166-1 country,FALSE
Equatorial Guinea,226,1982,NA,Current ISO 3166-1 country,FALSE
Ethiopia,231,1993,NA,Formerly part of Ethiopia (numerical code 230),FALSE
Eritrea,232,1993,NA,Formerly part of Ethiopia (numerical code 230),FALSE
Estonia,233,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Faroe Islands,234,1982,NA,Current ISO 3166-1 country,FALSE
Falkland Islands (Malvinas),238,1982,NA,Current ISO 3166-1 country,FALSE
South Georgia and the South Sandwich Islands,239,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Fiji,242,1982,NA,Current ISO 3166-1 country,FALSE
Finland,246,1982,NA,Current ISO 3166-1 country,FALSE
Åland Islands,248,2003,NA,Issued a numerical code in 2003,FALSE
France,250,1982,NA,Current ISO 3166-1 country,FALSE
French Guiana,254,1982,NA,Current ISO 3166-1 country,FALSE
French Polynesia,258,1982,NA,Current ISO 3166-1 country,FALSE
French Southern and Antarctic Territories,260,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Djibouti,262,1982,NA,Current ISO 3166-1 country,FALSE
Gabon,266,1982,NA,Current ISO 3166-1 country,FALSE
Georgia,268,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Gambia,270,1982,NA,Current ISO 3166-1 country,FALSE
"Palestine, State of",275,1999,NA,Issued a numerical code in 1999. Later renamed to State of Palestine,FALSE
Germany,276,1990,NA,Unified from Federal Republic of Germany and German Democratic Republic,FALSE
Ghana,288,1982,NA,Current ISO 3166-1 country,FALSE
Gibraltar,292,1982,NA,Current ISO 3166-1 country,FALSE
Kiribati,296,1982,NA,Current ISO 3166-1 country,FALSE
Greece,300,1982,NA,Current ISO 3166-1 country,FALSE
Greenland,304,1982,NA,Current ISO 3166-1 country,FALSE
Grenada,308,1982,NA,Current ISO 3166-1 country,FALSE
Guadeloupe,312,1982,NA,Current ISO 3166-1 country,FALSE
Guam,316,1982,NA,Current ISO 3166-1 country,FALSE
Guatemala,320,1982,NA,Current ISO 3166-1 country,FALSE
Guinea,324,1982,NA,Current ISO 3166-1 country,FALSE
Guyana,328,1982,NA,Current ISO 3166-1 country,FALSE
Haiti,332,1982,NA,Current ISO 3166-1 country,FALSE
Heard Island and McDonald Islands,334,1982,NA,Re-introduced from ISO-3166 numerical code list,FALSE
Holy See,336,1982,NA,Current ISO 3166-1 country,FALSE
Honduras,340,1982,NA,Current ISO 3166-1 country,FALSE
Hong Kong,344,1982,NA,Current ISO 3166-1 country,FALSE
Hungary,348,1982,NA,Current ISO 3166-1 country,FALSE
Iceland,352,1982,NA,Current ISO 3166-1 country,FALSE
India,356,1982,NA,Current ISO 3166-1 country,FALSE
Indonesia,360,1982,NA,Current ISO 3166-1 country,FALSE
"Iran, Islamic Republic of",364,1982,NA,Current ISO 3166-1 country,FALSE
Iraq,368,1982,NA,Current ISO 3166-1 country,FALSE
Ireland,372,1982,NA,Current ISO 3166-1 country,FALSE
Israel,376,1982,NA,Current ISO 3166-1 country,FALSE
Italy,380,1982,NA,Current ISO 3166-1 country,FALSE
Côte d'Ivoire,384,1982,NA,Current ISO 3166-1 country,FALSE
Jamaica,388,1982,NA,Current ISO 3166-1 country,FALSE
Japan,392,1982,NA,Current ISO 3166-1 country,FALSE
Kazakhstan,398,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Jordan,400,1982,NA,Current ISO 3166-1 country,FALSE
Kenya,404,1982,NA,Current ISO 3166-1 country,FALSE
"Korea, Democratic People's Republic of",408,1982,NA,Current ISO 3166-1 country,FALSE
"Korea, Republic of",410,1982,NA,Current ISO 3166-1 country,FALSE
Kuwait,414,1982,NA,Current ISO 3166-1 country,FALSE
Kyrgyzstan,417,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Lao People's Democratic Republic,418,1982,NA,Current ISO 3166-1 country,FALSE
Lebanon,422,1982,NA,Current ISO 3166-1 country,FALSE
Lesotho,426,1982,NA,Current ISO 3166-1 country,FALSE
Latvia,428,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Liberia,430,1982,NA,Current ISO 3166-1 country,FALSE
Libya,434,1982,NA,Current ISO 3166-1 country,FALSE
Liechtenstein,438,1982,NA,Current ISO 3166-1 country,FALSE
Lithuania,440,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Luxembourg,442,1982,NA,Current ISO 3166-1 country,FALSE
Macao,446,1982,NA,Current ISO 3166-1 country,FALSE
Madagascar,450,1982,NA,Current ISO 3166-1 country,FALSE
Malawi,454,1982,NA,Current ISO 3166-1 country,FALSE
Malaysia,458,1982,NA,Current ISO 3166-1 country,FALSE
Maldives,462,1982,NA,Current ISO 3166-1 country,FALSE
Mali,466,1982,NA,Current ISO 3166-1 country,FALSE
Malta,470,1982,NA,Current ISO 3166-1 country,FALSE
Martinique,474,1982,NA,Current ISO 3166-1 country,FALSE
Mauritania,478,1982,NA,Current ISO 3166-1 country,FALSE
Mauritius,480,1982,NA,Current ISO 3166-1 country,FALSE
Mexico,484,1982,NA,Current ISO 3166-1 country,FALSE
Monaco,492,1982,NA,Current ISO 3166-1 country,FALSE
Mongolia,496,1982,NA,Current ISO 3166-1 country,FALSE
Republic of Moldova,498,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Montenegro,499,2006,NA,Formerly part of Serbia and Montenegro (numerical code 891),FALSE
Montserrat,500,1982,NA,Current ISO 3166-1 country,FALSE
Morocco,504,1982,NA,Current ISO 3166-1 country,FALSE
Mozambique,508,1982,NA,Current ISO 3166-1 country,FALSE
Oman,512,1982,NA,Current ISO 3166-1 country,FALSE
Namibia,516,1982,NA,Current ISO 3166-1 country,FALSE
Nauru,520,1982,NA,Current ISO 3166-1 country,FALSE
Nepal,524,1982,NA,Current ISO 3166-1 country,FALSE
"Netherlands, Kingdom of the",528,1982,NA,Current ISO 3166-1 country,FALSE
Curaçao,531,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
Aruba,533,1986,NA,Formerly included in Netherlands Antilles,FALSE
Sint Maarten (Dutch part),534,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
"Bonaire, Sint Eustatius and Saba",535,2010,NA,Formerly part of the Netherlands Antilles (numerical code 530),FALSE
New Caledonia,540,1982,NA,Current ISO 3166-1 country,FALSE
Vanuatu,548,1982,NA,Current ISO 3166-1 country,FALSE
New Zealand,554,1982,NA,Current ISO 3166-1 country,FALSE
Nicaragua,558,1982,NA,Current ISO 3166-1 country,FALSE
Niger,562,1982,NA,Current ISO 3166-1 country,FALSE
Nigeria,566,1982,NA,Current ISO 3166-1 country,FALSE
Niue,570,1982,NA,Current ISO 3166-1 country,FALSE
