polity_name,polity_code
Abu Dhabi,ABU-1800-2025
Aden,ADE-1839-2025
Afghanistan,AFG-1800-2025
Afghanistan (to 1888),AFG-1800-1888
Africa,X06-1800-2025
Ajman,AJM-1800-2025
Albania,ALB-1913-2025
Algeria,DZA-1831-2025
American Samoa,ASM-1900-2025
Americas,X21-1800-2025
Andorra,AND-1800-2025
Angola,AGO-1816-2025
Anguilla,AIA-1800-2025
Annex I countries,F5848-1800-2025
Antarctic Region,F5600-1800-2025
Antarctica,ATA-1800-2025
Antigua and Barbuda,ATG-1800-2025
Argentina,ARG-1800-2025
Argentina (1899-1902),ARG-1899-1902
Argentina (to 1899),ARG-1800-1899
Armenia,ARM-1991-2025
Aruba,ABW-1986-2025
Asia,F5300-1800-2025
Australia,AUS-1901-2025
Australia and New Zealand,F5501-1800-2025
Austria,AUT-1918-2025
Austria (1918-1919),AUS-1918-1919
Austria-Hungary,AUS-1800-1918
Austria-Hungary (1908-1918),AUS-1908-1918
Austria-Hungary (to 1908),AUS-1800-1908
Azerbaijan,AZE-1991-2025
Badakhshan,BAD-1800-1873
Bahamas,BHS-1800-2025
Bahrain,BHR-1800-2025
Bangladesh,BGD-1800-2025
Barbados,BRB-1800-2025
Basutoland,BAS-1884-2025
Bechuanaland Protectorate,BEC-1885-2025
Belarus,BLR-1992-2025
Belgian Congo,BEL-1885-2025
Belgium,BEL-1831-2025
Belgium-Luxembourg,F15-1800-1999
Belize,BLZ-1800-2025
Benin,BEN-1800-2025
Bermuda,BMU-1800-2025
Bhutan,BTN-1800-2025
Bolivia,BOL-1825-2025
Bolivia (1903-1909),BOL-1903-1909
Bolivia (1909-1938),BOL-1909-1938
Bolivia (to 1903),BOL-1800-1903
"Bonaire, Sint Eustatius and Saba",BES-2010-2025
Bonin island,BON-1846-1873
Bosnia and Herzegovina,BIH-1992-2025
Botswana,BWA-1800-2025
Bouvet Island,BVT-1800-2025
Brazil,BRA-1800-2025
Brazil (1903-1909),BRA-1903-1909
Brazil (to 1903),BRA-1800-1903
British Bechuanaland,BRI-1885-1895
British Cameroon,BRI-1914-2025
British Columbia,BRI-1858-1866
British East Africa,BRI-1895-2025
British Indian Ocean Territory,IOT-1800-2025
British Malaya,BRI-1922-2025
British New Guinea,BNG-1884-2025
British Protectorate (British Somaliland),BSO-1884-2025
British Virgin Islands,VGB-1800-2025
British settlement Oceania,BRI-1839-2025
Brunei (greater),BRG-1816-1888
Brunei Darussalam,BRN-1888-2025
Bukhara,BUK-1800-1920
Bulgaria,BGR-1878-2025
