original_name,polity_name,polity_code
Afghanistan,Afghanistan,AFG-1919-2025
Afghanistan (to 1888),Afghanistan (to 1888),AFG-1800-1888
Albania,Albania,ALB-1913-2025
Algeria,Algeria,DZA-1831-2025
Angola,Angola,AGO-1816-2025
Argentina,Argentina,ARG-1902-2025
Argentina (1899-1902),Argentina (1899-1902),ARG-1899-1902
Argentina (to 1899),Argentina (to 1899),ARG-1800-1899
Armenia,Armenia,ARM-1991-2025
Australia,Australia,AUS-1901-2025
Austria,Austria,AUT-1918-2025
Austria (1918-1919),Austria (1918-1919),AUT-1918-1919
Austria-Hungary (1908-1918),Austria-Hungary (1908-1918),AUH-1908-1918
Austria-Hungary (to 1908),Austria-Hungary (to 1908),AUH-1800-1908
Azerbaijan,Azerbaijan,AZE-1991-2025
Bahamas,Bahamas,BHS-1800-2025
Bahrain,Bahrain,BHR-1800-2025
Bangladesh,Bangladesh,BGD-1971-2025
Barbados,Barbados,BRB-1800-2025
Belarus (Byelorussia),Belarus,BLR-1991-2025
Belgium,Belgium,BEL-1831-2025
Belize,Belize,BLZ-1800-2025
Benin,Benin,BEN-1960-2025
Bhutan,Bhutan,BTN-1800-2025
Bolivia,Bolivia,BOL-1938-2025
Bolivia (1903-1909),Bolivia (1903-1909),BOL-1903-1909
Bolivia (1909-1938),Bolivia (1909-1938),BOL-1909-1938
Bolivia (to 1903),Bolivia (to 1903),BOL-1825-1903
Bosnia-Herzegovina,Bosnia and Herzegovina,BIH-1992-2025
Botswana,Botswana,BWA-1966-2025
Brazil,Brazil,BRA-1909-2025
Brazil (1903-1909),Brazil (1903-1909),BRA-1903-1909
Brazil (to 1903),Brazil (to 1903),BRA-1800-1903
Brunei,Brunei Darussalam,BRN-1888-2025
Bulgaria,Bulgaria,BGR-1940-2025
Bulgaria (1913-1918),Bulgaria (1913-1918),BGR-1913-1918
Bulgaria (1918-1919),Bulgaria (1918-1919),BGR-1918-1919
Bulgaria (1919-1940),Bulgaria (1919-1940),BGR-1919-1940
Bulgaria (to 1913),Bulgaria (to 1913),BGR-1878-1913
Burkina Faso (Upper Volta),Burkina Faso,BFA-1960-2025
Burundi,Burundi,BDI-1962-2025
Cambodia (Kampuchea),Cambodia,KHM-1953-2025
Cameroon,Cameroon,CMR-1961-2025
Cameroon (1960-1961),Cameroon (1960-1961),CMR-1960-1961
Canada,Canada,CAN-1948-2025
Canada (to 1948),Canada (to 1948),CAN-1866-1948
Cape Verde,Cabo Verde,CPV-1800-2025
Central African Republic,Central African Republic,CAF-1960-2025
Chad,Chad,TCD-1960-2025
Chile,Chile,CHL-1902-2025
Chile (1899-1902),Chile (1899-1902),CHL-1899-1902
Chile (to 1899),Chile (to 1899),CHL-1810-1899
China,China,F351-1950-2025
China (1895-1912),China (1895-1912),CHN-1895-1912
China (1913-1914),China (1913-1914),CHN-1913-1914
China (1914-1921),China (1914-1921),CHN-1914-1921
China (1921-1945),China (1921-1945),CHN-1921-1945
China (1945-1947),China (1945-1947),CHN-1945-1947
China (1947-1949),China (1947-1949),CHN-1947-1949
