"Crop_name","ISO","Continent","Manure_N_Mg"
"abaca","AFG","ASI",0
"abaca","AGO","AFR",0
"abaca","ALB","EUR",0
"abaca","ARE","ASI",0
"abaca","ARG","LAM",0
"abaca","ARM","ASI",0
"abaca","ATG","LAM",0
"abaca","AUS","OCE",0
"abaca","AUT","EU",0
"abaca","AZE","ASI",0
"abaca","BDI","AFR",0
"abaca","BEL","EU",0
"abaca","BEN","AFR",0
"abaca","BFA","AFR",0
"abaca","BGD","ASI",0
"abaca","BGR","EU",0
"abaca","BHR","ASI",0
"abaca","BHS","LAM",0
"abaca","BIH","EUR",0
"abaca","BLR","EUR",0
"abaca","BLZ","LAM",0
"abaca","BOL","LAM",0
"abaca","BRA","LAM",0
"abaca","BRB","LAM",0
"abaca","BRN","ASI",0
"abaca","BWA","AFR",0
"abaca","CAF","AFR",0
"abaca","CAN","NAM",0
"abaca","CHE","EUR",0
"abaca","CHL","LAM",0
"abaca","CHN","ASI",0
"abaca","CIV","AFR",0
"abaca","CMR","AFR",0
"abaca","COD","AFR",0
"abaca","COG","AFR",0
"abaca","COL","LAM",0
"abaca","CPV","AFR",0
"abaca","CRI","LAM",7.32030975900596
"abaca","CUB","LAM",0
"abaca","CYP","EU",0
"abaca","CZE","EU",0
"abaca","DEU","EU",0
"abaca","DJI","AFR",0
"abaca","DMA","LAM",0
"abaca","DNK","EU",0
"abaca","DOM","LAM",0
"abaca","DZA","AFR",0
"abaca","ECU","LAM",547.956887686124
"abaca","EGY","AFR",0
"abaca","ERI","AFR",0
"abaca","ESP","EU",0
"abaca","EST","EU",0
"abaca","ETH","AFR",0
"abaca","FIN","EU",0
"abaca","FJI","OCE",0
"abaca","FRA","EU",0
"abaca","GAB","AFR",0
"abaca","GBR","EU",0
"abaca","GEO","ASI",0
"abaca","GHA","AFR",0
"abaca","GIN","AFR",0
"abaca","GMB","AFR",0
"abaca","GNB","AFR",0
"abaca","GRC","EU",0
"abaca","GRD","LAM",0
"abaca","GTM","LAM",0
"abaca","GUY","LAM",0
"abaca","HND","LAM",0
"abaca","HRV","EU",0
"abaca","HTI","LAM",0
"abaca","HUN","EU",0
"abaca","IDN","ASI",0
"abaca","IND","ASI",0
"abaca","IRL","EU",0
"abaca","IRN","ASI",0
"abaca","IRQ","ASI",0
"abaca","ISL","EUR",0
"abaca","ISR","ASI",0
"abaca","ITA","EU",0
"abaca","JAM","LAM",0
"abaca","JOR","ASI",0
"abaca","JPN","ASI",0
"abaca","KAZ","ASI",0
"abaca","KEN","AFR",0
"abaca","KGZ","ASI",0
"abaca","KHM","ASI",0
"abaca","KIR","OCE",0
"abaca","KNA","LAM",0
"abaca","KOR","ASI",0
"abaca","KWT","ASI",0
"abaca","LAO","ASI",0
"abaca","LBN","ASI",0
"abaca","LBR","AFR",0
"abaca","LBY","AFR",0
"abaca","LCA","LAM",0
"abaca","LKA","ASI",0
"abaca","LSO","AFR",0
"abaca","LTU","EU",0
"abaca","LUX","EU",0
"abaca","LVA","EU",0
"abaca","MAR","AFR",0
"abaca","MDA","EUR",0
"abaca","MDG","AFR",0
"abaca","MDV","ASI",0
"abaca","MEX","LAM",0
"abaca","MKD","EUR",0
"abaca","MLI","AFR",0
"abaca","MLT","EU",0
"abaca","MMR","ASI",0
"abaca","MNE","EUR",0
"abaca","MNG","ASI",0
"abaca","MOZ","AFR",0
"abaca","MRT","AFR",0
"abaca","MUS","AFR",0
"abaca","MWI","AFR",0
"abaca","MYS","ASI",0
"abaca","NAM","AFR",0
"abaca","NCL","OCE",0
"abaca","NER","AFR",0
"abaca","NGA","AFR",0
"abaca","NIC","LAM",0
"abaca","NLD","EU",0
"abaca","NOR","EUR",0
"abaca","NPL","ASI",0
"abaca","NZL","OCE",0
"abaca","OMN","ASI",0
"abaca","PAK","ASI",0
"abaca","PAN","LAM",0
"abaca","PER","LAM",0.544590307675389
"abaca","PHL","ASI",2160.92759272495
"abaca","PNG","OCE",0
"abaca","POL","EU",0
"abaca","PRI","LAM",0
"abaca","PRK","ASI",0
"abaca","PRT","EU",0
"abaca","PRY","LAM",0
"abaca","PYF","OCE",0
"abaca","QAT","ASI",0
"abaca","ROU","EU",0
"abaca","RoW","ROW",14.4933737911049
"abaca","RUS","ASI",0
"abaca","RWA","AFR",0
"abaca","SAU","ASI",0
"abaca","SDN","AFR",0
"abaca","SEN","AFR",0
"abaca","SGP","ASI",0
"abaca","SLB","OCE",0
"abaca","SLE","AFR",0
"abaca","SLV","LAM",0
"abaca","SOM","AFR",0
"abaca","SRB","EUR",0
"abaca","SSD","AFR",0
"abaca","STP","AFR",0
"abaca","SUR","LAM",0
"abaca","SVK","EU",0
"abaca","SVN","EU",0
"abaca","SWE","EU",0
"abaca","SWZ","AFR",0
"abaca","SYR","ASI",0
"abaca","TCD","AFR",0
"abaca","TGO","AFR",0
"abaca","THA","ASI",0
"abaca","TJK","ASI",0
"abaca","TKM","ASI",0
"abaca","TLS","ASI",0
"abaca","TTO","LAM",0
"abaca","TUN","AFR",0
"abaca","TUR","EUR",0
"abaca","TWN","ASI",0
"abaca","TZA","AFR",0
"abaca","UGA","AFR",0
"abaca","UKR","EUR",0
"abaca","URY","LAM",0
"abaca","USA","NAM",0
"abaca","UZB","ASI",0
"abaca","VCT","LAM",0
"abaca","VEN","LAM",0
"abaca","VNM","ASI",0
"abaca","VUT","OCE",0
"abaca","WSM","OCE",0
"abaca","YEM","ASI",0
"abaca","ZAF","AFR",0
"abaca","ZMB","AFR",0
"abaca","ZWE","AFR",0
"agave","AFG","ASI",0
"agave","AGO","AFR",0
"agave","ALB","EUR",0
"agave","ARE","ASI",0
"agave","ARG","LAM",0
"agave","ARM","ASI",0
"agave","ATG","LAM",0
"agave","AUS","OCE",0
