Country,year,grass_share
Afghanistan,1961,0
Afghanistan,1962,0
Afghanistan,1963,0
Afghanistan,1964,0
Afghanistan,1965,0
Afghanistan,1966,0
Afghanistan,1967,0
Afghanistan,1968,0
Afghanistan,1969,0
Afghanistan,1970,0
Afghanistan,1971,0
Afghanistan,1972,0
Afghanistan,1973,0
Afghanistan,1974,0
Afghanistan,1975,0
Afghanistan,1976,0
Afghanistan,1977,0
Afghanistan,1978,0
Afghanistan,1979,0
Afghanistan,1980,0
Afghanistan,1981,0
Afghanistan,1982,0
Afghanistan,1983,0
Afghanistan,1984,0
Afghanistan,1985,0
Afghanistan,1986,0
Afghanistan,1987,0
Afghanistan,1988,0
Afghanistan,1989,0
Afghanistan,1990,0
Afghanistan,1991,0
Afghanistan,1992,0
Afghanistan,1993,0
Afghanistan,1994,0
Afghanistan,1995,0
Afghanistan,1996,0
Afghanistan,1997,0
Afghanistan,1998,0
Afghanistan,1999,0
Afghanistan,2000,0
Afghanistan,2001,0
Afghanistan,2002,0
Afghanistan,2003,0
Afghanistan,2004,0
Afghanistan,2005,0
Afghanistan,2006,0
Afghanistan,2007,0
Afghanistan,2008,0
Afghanistan,2009,0
Albania,1961,0
Albania,1962,0
Albania,1963,0
Albania,1964,0
Albania,1965,0
Albania,1966,0
Albania,1967,0
Albania,1968,0
Albania,1969,0
Albania,1970,0
Albania,1971,0
Albania,1972,0
Albania,1973,0
Albania,1974,0
Albania,1975,0
Albania,1976,0
Albania,1977,0
Albania,1978,0
Albania,1979,0
Albania,1980,0
Albania,1981,0
Albania,1982,0
Albania,1983,0
Albania,1984,0
Albania,1985,0
Albania,1986,0
Albania,1987,0
Albania,1988,0
Albania,1989,0
Albania,1990,0
Albania,1991,0
Albania,1992,0
Albania,1993,0
Albania,1994,0
Albania,1995,0
Albania,1996,0
Albania,1997,0
Albania,1998,0
Albania,1999,0
Albania,2000,0
Albania,2001,0
Albania,2002,0
Albania,2003,0
Albania,2004,0
Albania,2005,0
Albania,2006,0
Albania,2007,0
Albania,2008,0
Albania,2009,0
Algeria,1961,0
Algeria,1962,0
Algeria,1963,0
Algeria,1964,0
Algeria,1965,0
Algeria,1966,0
Algeria,1967,0
Algeria,1968,0
Algeria,1969,0
Algeria,1970,0
Algeria,1971,0
Algeria,1972,0
Algeria,1973,0
Algeria,1974,0
Algeria,1975,0
Algeria,1976,0
Algeria,1977,0
Algeria,1978,0
Algeria,1979,0
Algeria,1980,0
Algeria,1981,0
Algeria,1982,0
Algeria,1983,0
Algeria,1984,0
Algeria,1985,0
Algeria,1986,0
Algeria,1987,0
Algeria,1988,0
Algeria,1989,0
Algeria,1990,0
Algeria,1991,0
Algeria,1992,0
Algeria,1993,0
Algeria,1994,0
Algeria,1995,0
Algeria,1996,0
Algeria,1997,0
Algeria,1998,0
Algeria,1999,0
Algeria,2000,0
Algeria,2001,0
Algeria,2002,0
Algeria,2003,0
Algeria,2004,0
Algeria,2005,0
Algeria,2006,0
Algeria,2007,0
Algeria,2008,0
Algeria,2009,0
Angola,1961,0
Angola,1962,0
Angola,1963,0
Angola,1964,0
Angola,1965,0
Angola,1966,0
Angola,1967,0
Angola,1968,0
Angola,1969,0
Angola,1970,0
Angola,1971,0
Angola,1972,0
Angola,1973,0
Angola,1974,0
Angola,1975,0
Angola,1976,0
Angola,1977,0
Angola,1978,0
Angola,1979,0
Angola,1980,0
Angola,1981,0
Angola,1982,0
Angola,1983,0
Angola,1984,0
Angola,1985,0
Angola,1986,0
Angola,1987,0
Angola,1988,0
Angola,1989,0
Angola,1990,0
Angola,1991,0
Angola,1992,0
Angola,1993,0
Angola,1994,0
Angola,1995,0
Angola,1996,0
Angola,1997,0
Angola,1998,0
Angola,1999,0
Angola,2000,0
Angola,2001,0
Angola,2002,0
Angola,2003,0
Angola,2004,0
Angola,2005,0
Angola,2006,0
Angola,2007,0
Angola,2008,0
Angola,2009,0
Argentina,1961,0
Argentina,1962,0
Argentina,1963,0
Argentina,1964,0
Argentina,1965,0
Argentina,1966,0
Argentina,1967,0
Argentina,1968,0
Argentina,1969,0
Argentina,1970,0
Argentina,1971,0
Argentina,1972,0
Argentina,1973,0
Argentina,1974,0
Argentina,1975,0
Argentina,1976,0
Argentina,1977,0
Argentina,1978,0
Argentina,1979,0
Argentina,1980,0
Argentina,1981,0
Argentina,1982,0
Argentina,1983,0
Argentina,1984,0
Argentina,1985,0
Argentina,1986,0
Argentina,1987,0
Argentina,1988,0
Argentina,1989,0
Argentina,1990,0
Argentina,1991,0
Argentina,1992,0
Argentina,1993,0
Argentina,1994,0
Argentina,1995,0
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0
Argentina,1999,0.004
Argentina,2000,0.009000000000000001
Argentina,2001,0.013000000000000001
Argentina,2002,0.018000000000000002
Argentina,2003,0.022000000000000002
Argentina,2004,0.026000000000000002
Argentina,2005,0.031
Argentina,2006,0.035
Argentina,2007,0.032
Argentina,2008,0.032
Argentina,2009,0.032
Australia,1961,0
Australia,1962,0.002
Australia,1963,0.003
Australia,1964,0.005
Australia,1965,0.006
Australia,1966,0.008
Australia,1967,0.01
Australia,1968,0.011000000000000001
Australia,1969,0.013000000000000001
Australia,1970,0.013999999999999999
Australia,1971,0.016
Australia,1972,0.018000000000000002
Australia,1973,0.019
Australia,1974,0.021
Australia,1975,0.023
Australia,1976,0.024
Australia,1977,0.026000000000000002
Australia,1978,0.027000000000000003
Australia,1979,0.028999999999999998
Australia,1980,0.031
Australia,1981,0.032
Australia,1982,0.034
Australia,1983,0.035
Australia,1984,0.037000000000000005
Australia,1985,0.039
Australia,1986,0.04
Australia,1987,0.042
Australia,1988,0.043
Australia,1989,0.045
Australia,1990,0.045
Australia,1991,0.048
Australia,1992,0.05
Australia,1993,0.053
Australia,1994,0.055
Australia,1995,0.057999999999999996
Australia,1996,0.06
Australia,1997,0.063
Australia,1998,0.065
Australia,1999,0.068
Australia,2000,0.07
Australia,2001,0.07200000000000001
Australia,2002,0.075
Australia,2003,0.077
Australia,2004,0.08
Australia,2005,0.08199999999999999
Australia,2006,0.085
Australia,2007,0.085
Australia,2008,0.085
Australia,2009,0.085
Austria,1961,0
Austria,1962,0.004
Austria,1963,0.009000000000000001
Austria,1964,0.013000000000000001
Austria,1965,0.018000000000000002
Austria,1966,0.022000000000000002
Austria,1967,0.027000000000000003
Austria,1968,0.031
Austria,1969,0.036000000000000004
Austria,1970,0.04
Austria,1971,0.045
Austria,1972,0.049
Austria,1973,0.054000000000000006
Austria,1974,0.057999999999999996
Austria,1975,0.063
Austria,1976,0.067
Austria,1977,0.07200000000000001
Austria,1978,0.076
Austria,1979,0.081
Austria,1980,0.085
Austria,1981,0.09
Austria,1982,0.094
Austria,1983,0.099
Austria,1984,0.10300000000000001
Austria,1985,0.10800000000000001
Austria,1986,0.11199999999999999
Austria,1987,0.11699999999999999
Austria,1988,0.121
Austria,1989,0.126
Austria,1990,0.13
Austria,1991,0.124
Austria,1992,0.11900000000000001
Austria,1993,0.113
Austria,1994,0.10800000000000001
Austria,1995,0.102
Austria,1996,0.09699999999999999
