fert_type,climate,mf,source
Synthetic,MED,1.00,"Cayuela et al., 2017"
Solid,MED,0.38,"Cayuela et al., 2017"
Liquid,MED,1.70,"Cayuela et al., 2017"
Recycling,MED,NA,"Cayuela et al., 2017, solid organic fertilizers"
Excreta_cattle_monog,MED,0.20,"IPCC, 2019, dry areas"
Excreta_other,MED,0.30,"IPCC, 2019, dry areas"
SOM,MED,NA,"Cayuela et al., 2017, solid organic fertilizers"
Urban,MED,NA,"Cayuela et al., 2017, solid organic fertilizers"
Synthetic,ATL,1.60,"IPCC, 2019, wet areas, synthetic"
Solid,ATL,0.60,"IPCC, 2019, wet areas, other N inputs"
Liquid,ATL,0.60,"IPCC, 2019, wet areas, other N inputs"
Recycling,ATL,0.60,"IPCC, 2019, wet areas, other N inputs"
Excreta_cattle_monog,ATL,0.60,"IPCC, 2019, wet areas"
Excreta_other,ATL,0.30,"IPCC, 2019, wet areas"
SOM,ATL,0.60,"IPCC, 2019, wet areas, other N inputs"
Urban,ATL,0.60,"IPCC, 2019, wet areas, other N inputs"
