manure_type,delay_bin,delay_hours,factor
pig_slurry,<2 h,2,0.14705882
cattle_slurry,<2 h,2,0.21052632
FYM,<2 h,2,0.1183432
poultry_manure,<2 h,2,0.04716981
pig_slurry,2-4 h,4,0.25641026
cattle_slurry,2-4 h,4,0.34782609
FYM,2-4 h,4,0.21164021
poultry_manure,2-4 h,4,0.09009009
pig_slurry,4-6 h,6,0.34090909
cattle_slurry,4-6 h,6,0.44444444
FYM,4-6 h,6,0.28708134
poultry_manure,4-6 h,6,0.12931034
pig_slurry,6-12 h,12,0.50847458
cattle_slurry,6-12 h,12,0.61538462
FYM,6-12 h,12,0.44609665
poultry_manure,6-12 h,12,0.22900763
pig_slurry,12-24 h,24,0.6741573
cattle_slurry,12-24 h,24,0.76190476
FYM,12-24 h,24,0.61696658
poultry_manure,12-24 h,24,0.37267081
pig_slurry,1-2 days,48,0.80536913
cattle_slurry,1-2 days,48,0.86486486
FYM,1-2 days,48,0.76311606
poultry_manure,1-2 days,48,0.54298643
pig_slurry,3-5 days,120,0.9118541
cattle_slurry,3-5 days,120,0.94117647
FYM,3-5 days,120,0.88954781
poultry_manure,3-5 days,120,0.74812968
pig_slurry,6-12 days,288,0.96128171
cattle_slurry,6-12 days,288,0.97461929
FYM,6-12 days,288,0.95080885
poultry_manure,6-12 days,288,0.87697929
pig_slurry,>12 days,10000,0.99884134
cattle_slurry,>12 days,10000,0.99925056
FYM,>12 days,10000,0.99851222
poultry_manure,>12 days,10000,0.99597626
pig_slurry,No incorporation,,1
cattle_slurry,No incorporation,,1
FYM,No incorporation,,1
poultry_manure,No incorporation,,1
