fertiliser,soil_type,rate_bin,factor
AN,calcareous,0-30,1
CAN,calcareous,0-30,1
Urea,calcareous,0-30,0.4
AN,non-calcareous,0-30,1
CAN,non-calcareous,0-30,1
Urea,non-calcareous,0-30,0.4
AS,calcareous,0-30,0.4
AS,non-calcareous,0-30,1
AN,calcareous,30-60,1
CAN,calcareous,30-60,1
Urea,calcareous,30-60,0.45285
AN,non-calcareous,30-60,1
CAN,non-calcareous,30-60,1
Urea,non-calcareous,30-60,0.45285
AS,calcareous,30-60,0.45285
AS,non-calcareous,30-60,1
AN,calcareous,60-90,1
CAN,calcareous,60-90,1
Urea,calcareous,60-90,0.55875
AN,non-calcareous,60-90,1
CAN,non-calcareous,60-90,1
Urea,non-calcareous,60-90,0.55875
AS,calcareous,60-90,0.55875
AS,non-calcareous,60-90,1
AN,calcareous,90-120,1
CAN,calcareous,90-120,1
Urea,calcareous,90-120,0.66465
AN,non-calcareous,90-120,1
CAN,non-calcareous,90-120,1
Urea,non-calcareous,90-120,0.66465
AS,calcareous,90-120,0.66465
AS,non-calcareous,90-120,1
AN,calcareous,120-150,1
CAN,calcareous,120-150,1
Urea,calcareous,120-150,0.77055
AN,non-calcareous,120-150,1
CAN,non-calcareous,120-150,1
Urea,non-calcareous,120-150,0.77055
AS,calcareous,120-150,0.77055
AS,non-calcareous,120-150,1
AN,calcareous,150-180,1
CAN,calcareous,150-180,1
Urea,calcareous,150-180,0.87645
AN,non-calcareous,150-180,1
CAN,non-calcareous,150-180,1
Urea,non-calcareous,150-180,0.87645
AS,calcareous,150-180,0.87645
AS,non-calcareous,150-180,1
AN,calcareous,180-200,1
CAN,calcareous,180-200,1
Urea,calcareous,180-200,0.9647
AN,non-calcareous,180-200,1
CAN,non-calcareous,180-200,1
Urea,non-calcareous,180-200,0.9647
AS,calcareous,180-200,0.9647
AS,non-calcareous,180-200,1
AN,calcareous,>200,1
CAN,calcareous,>200,1
Urea,calcareous,>200,1
AN,non-calcareous,>200,1
CAN,non-calcareous,>200,1
Urea,non-calcareous,>200,1
AS,calcareous,>200,1
AS,non-calcareous,>200,1
