species,manure_stream,inorganic_n_fraction,source
Sheep,Excreta,0.55,Van Soest (1994)
Sheep,Solid,0.2,Rotz (2004)
Goats,Excreta,0.55,Van Soest (1994)
Goats,Solid,0.2,Rotz (2004)
Poultry,Excreta,0.7,Nahm (2003)
Poultry,Liquid,0.6,Smith and Frost (2000); Chambers et al. (1999)
Poultry,Solid,0.325,Nicholson et al. (1996); Nahm (2005)
Cattle,Excreta,0.65,Van Soest (1994)
Cattle,Liquid,0.6,Nahm (2005); Martinez and Burton (2003)
Cattle,Solid,0.225,Chambers et al. (2000); Nicholson et al. (1996)
Pigs,Excreta,0.6,Canh et al. (1997)
Pigs,Liquid,0.7,Sommer et al. (2004); Burton and Turner (2003)
Pigs,Solid,0.275,Burton and Turner (2003); Smith and Frost (2000)
Horses,Excreta,0.4,Wheeler et al. (2011)
Horses,Solid,0.15,Wheeler et al. (2011); Gungor-Demirci and Demirer (2004)
Donkeys_mules,Excreta,0.4,Wheeler et al. (2011)
Donkeys_mules,Solid,0.15,Wheeler et al. (2011); Gungor-Demirci and Demirer (2004)
Rabbits,Excreta,0.35,Lebas (1975)
Rabbits,Solid,0.15,Lebas (2004)
