fert_cat,tillage,som_content,climate_cat,drainage_rate,denit_share,climate
Synthetic,Tillage,Low,Semiarid,Very_high,0.02,MED
Synthetic,Tillage,Medium,Semiarid,Very_high,0.03,MED
Synthetic,Tillage,High,Semiarid,Very_high,0.04,MED
Synthetic,No_tillage,Low,Semiarid,Very_high,0.03,MED
Synthetic,No_tillage,Medium,Semiarid,Very_high,0.04,MED
Synthetic,No_tillage,High,Semiarid,Very_high,0.06,MED
Manure,Not_specified,Low,Semiarid,Very_high,0.04,MED
Manure,Not_specified,Medium,Semiarid,Very_high,0.06,MED
Manure,Not_specified,High,Semiarid,Very_high,0.08,MED
Synthetic,Tillage,Low,Semiarid,High,0.03,MED
Synthetic,Tillage,Medium,Semiarid,High,0.04,MED
Synthetic,Tillage,High,Semiarid,High,0.06,MED
Synthetic,No_tillage,Low,Semiarid,High,0.04,MED
Synthetic,No_tillage,Medium,Semiarid,High,0.06,MED
Synthetic,No_tillage,High,Semiarid,High,0.1,MED
Manure,Not_specified,Low,Semiarid,High,0.06,MED
Manure,Not_specified,Medium,Semiarid,High,0.08,MED
Manure,Not_specified,High,Semiarid,High,0.12,MED
Synthetic,Tillage,Low,Semiarid,Medium,0.04,MED
Synthetic,Tillage,Medium,Semiarid,Medium,0.06,MED
Synthetic,Tillage,High,Semiarid,Medium,0.1,MED
Synthetic,No_tillage,Low,Semiarid,Medium,0.06,MED
Synthetic,No_tillage,Medium,Semiarid,Medium,0.1,MED
Synthetic,No_tillage,High,Semiarid,Medium,0.15,MED
Manure,Not_specified,Low,Semiarid,Medium,0.08,MED
Manure,Not_specified,Medium,Semiarid,Medium,0.12,MED
Manure,Not_specified,High,Semiarid,Medium,0.2,MED
Synthetic,Tillage,Low,Semiarid,Low,0.06,MED
Synthetic,Tillage,Medium,Semiarid,Low,0.1,MED
Synthetic,Tillage,High,Semiarid,Low,0.15,MED
Synthetic,No_tillage,Low,Semiarid,Low,0.1,MED
Synthetic,No_tillage,Medium,Semiarid,Low,0.15,MED
Synthetic,No_tillage,High,Semiarid,Low,0.25,MED
Manure,Not_specified,Low,Semiarid,Low,0.12,MED
Manure,Not_specified,Medium,Semiarid,Low,0.2,MED
Manure,Not_specified,High,Semiarid,Low,0.3,MED
Synthetic,Tillage,Low,Semiarid,Very_low,0.1,MED
Synthetic,Tillage,Medium,Semiarid,Very_low,0.15,MED
Synthetic,Tillage,High,Semiarid,Very_low,0.25,MED
Synthetic,No_tillage,Low,Semiarid,Very_low,0.1,MED
Synthetic,No_tillage,Medium,Semiarid,Very_low,0.15,MED
Synthetic,No_tillage,High,Semiarid,Very_low,0.25,MED
Manure,Not_specified,Low,Semiarid,Very_low,0.2,MED
Manure,Not_specified,Medium,Semiarid,Very_low,0.3,MED
Manure,Not_specified,High,Semiarid,Very_low,0.5,MED
Synthetic,Tillage,Low,Semiarid,None,1,MED
Synthetic,Tillage,Medium,Semiarid,None,1,MED
Synthetic,Tillage,High,Semiarid,None,1,MED
Synthetic,No_tillage,Low,Semiarid,None,1,MED
Synthetic,No_tillage,Medium,Semiarid,None,1,MED
Synthetic,No_tillage,High,Semiarid,None,1,MED
Manure,Not_specified,Low,Semiarid,None,1,MED
Manure,Not_specified,Medium,Semiarid,None,1,MED
Manure,Not_specified,High,Semiarid,None,1,MED
Synthetic,Tillage,Low,Humid,Very_high,0.04,ATL
Synthetic,Tillage,Medium,Humid,Very_high,0.09,ATL
Synthetic,Tillage,High,Humid,Very_high,0.12,ATL
Synthetic,No_tillage,Low,Humid,Very_high,0.09,ATL
Synthetic,No_tillage,Medium,Humid,Very_high,0.16,ATL
Synthetic,No_tillage,High,Humid,Very_high,0.2,ATL
Manure,Not_specified,Low,Humid,Very_high,0.08,ATL
Manure,Not_specified,Medium,Humid,Very_high,0.18,ATL
Manure,Not_specified,High,Humid,Very_high,0.24,ATL
Synthetic,Tillage,Low,Humid,High,0.09,ATL
Synthetic,Tillage,Medium,Humid,High,0.16,ATL
Synthetic,Tillage,High,Humid,High,0.2,ATL
Synthetic,No_tillage,Low,Humid,High,0.14,ATL
Synthetic,No_tillage,Medium,Humid,High,0.2,ATL
Synthetic,No_tillage,High,Humid,High,0.25,ATL
Manure,Not_specified,Low,Humid,High,0.18,ATL
Manure,Not_specified,Medium,Humid,High,0.32,ATL
Manure,Not_specified,High,Humid,High,0.4,ATL
Synthetic,Tillage,Low,Humid,Medium,0.14,ATL
Synthetic,Tillage,Medium,Humid,Medium,0.2,ATL
Synthetic,Tillage,High,Humid,Medium,0.25,ATL
Synthetic,No_tillage,Low,Humid,Medium,0.2,ATL
Synthetic,No_tillage,Medium,Humid,Medium,0.25,ATL
Synthetic,No_tillage,High,Humid,Medium,0.35,ATL
Manure,Not_specified,Low,Humid,Medium,0.28,ATL
Manure,Not_specified,Medium,Humid,Medium,0.4,ATL
Manure,Not_specified,High,Humid,Medium,0.5,ATL
Synthetic,Tillage,Low,Humid,Low,0.2,ATL
Synthetic,Tillage,Medium,Humid,Low,0.25,ATL
Synthetic,Tillage,High,Humid,Low,0.35,ATL
Synthetic,No_tillage,Low,Humid,Low,0.3,ATL
Synthetic,No_tillage,Medium,Humid,Low,0.45,ATL
Synthetic,No_tillage,High,Humid,Low,0.55,ATL
Manure,Not_specified,Low,Humid,Low,0.4,ATL
Manure,Not_specified,Medium,Humid,Low,0.5,ATL
Manure,Not_specified,High,Humid,Low,0.7,ATL
Synthetic,Tillage,Low,Humid,Very_low,0.3,ATL
Synthetic,Tillage,Medium,Humid,Very_low,0.45,ATL
Synthetic,Tillage,High,Humid,Very_low,0.55,ATL
Synthetic,No_tillage,Low,Humid,Very_low,0.3,ATL
Synthetic,No_tillage,Medium,Humid,Very_low,0.45,ATL
Synthetic,No_tillage,High,Humid,Very_low,0.55,ATL
Manure,Not_specified,Low,Humid,Very_low,0.6,ATL
Manure,Not_specified,Medium,Humid,Very_low,0.9,ATL
Manure,Not_specified,High,Humid,Very_low,0.95,ATL
Synthetic,Tillage,Low,Semiarid,None,1,ATL
Synthetic,Tillage,Medium,Semiarid,None,1,ATL
Synthetic,Tillage,High,Semiarid,None,1,ATL
Synthetic,No_tillage,Low,Semiarid,None,1,ATL
Synthetic,No_tillage,Medium,Semiarid,None,1,ATL
Synthetic,No_tillage,High,Semiarid,None,1,ATL
Manure,Not_specified,Low,Semiarid,None,1,ATL
Manure,Not_specified,Medium,Semiarid,None,1,ATL
Manure,Not_specified,High,Semiarid,None,1,ATL
