constant,value,description
a_cn_min_cn,15.00,"Input C:N below which the C:N leaching attenuation A_CN is zero."
a_cn_span,120.00,"C:N span above the minimum needed to reach the A_CN cap for cropland and natural non-cropland."
a_cn_span_other,60.00,"Steeper C:N span for the Other land-use class (rocky outcrops, urban edges, riparian, abandoned)."
a_cn_max,0.98,"Maximum C:N leaching attenuation (forest woody-litter anchor)."
ef5_no3_to_n2o,0.011,"IPCC 2019 Table 11.3 (p. 11.26) EF5: fraction of leached NO3-N emitted as indirect N2O-N."
ef4_nh3_to_n2o_atl,0.014,"IPCC 2019 Table 11.3 (p. 11.26) EF4, wet climate: NH3-N + NOx-N volatilised to indirect N2O-N, used on Atlantic rows (whep#1234)."
ef4_nh3_to_n2o_aggregated,0.010,"IPCC 2019 Table 11.3 (p. 11.26) EF4, aggregated (climate-independent) default."
ef4_nh3_to_n2o_legacy,0.016,"Legacy Atlantic value: IPCC 2019 Table 11.1 (p. 11.13) EF1 for synthetic fertiliser in wet climates, a direct-N2O factor, mis-cited as Table 11.3 EF4 (whep#1234)."
nh3_frac_synthetic,0.11,"IPCC 2019 Table 11.3 (p. 11.26) FracGASF, aggregated: NH3-N + NOx-N volatilisation fraction for synthetic fertiliser."
nh3_frac_organic,0.21,"IPCC 2019 Table 11.3 (p. 11.26) FracGASM: NH3-N + NOx-N volatilisation fraction for organic N inputs and grazing excreta."
