land_use,months_from_peak,soil_cover
cropland,-5,0.05
cropland,-4,0.05
cropland,-3,0.05
cropland,-2,0.15
cropland,-1,0.55
cropland,0,0.95
cropland,1,0.75
cropland,2,0.30
cropland,3,0.05
cropland,4,0.05
cropland,5,0.05
cropland,6,0.05
grassland,-5,0.85
grassland,-4,0.85
grassland,-3,0.85
grassland,-2,0.85
grassland,-1,0.85
grassland,0,0.85
grassland,1,0.85
grassland,2,0.85
grassland,3,0.85
grassland,4,0.85
grassland,5,0.85
grassland,6,0.85
natural,-5,0.85
natural,-4,0.85
natural,-3,0.85
natural,-2,0.85
natural,-1,0.85
natural,0,0.85
natural,1,0.85
natural,2,0.85
natural,3,0.85
natural,4,0.85
natural,5,0.85
natural,6,0.85
