fert_type,climate,irrig_cat,no3_red
Synthetic,MED,Rainfed,0.20
Synthetic,MED,Irrigated,0.40
Synthetic,ATL,Rainfed,0.50
Synthetic,ATL,Irrigated,0.60
SOM,MED,Rainfed,0.20
SOM,MED,Irrigated,0.40
SOM,ATL,Rainfed,0.50
SOM,ATL,Irrigated,0.60
Deposition,MED,Rainfed,0.20
Deposition,MED,Irrigated,0.40
Deposition,ATL,Rainfed,0.50
Deposition,ATL,Irrigated,0.60
Solid,MED,Rainfed,0.35
Solid,MED,Irrigated,0.60
Solid,ATL,Rainfed,0.65
Solid,ATL,Irrigated,0.70
Excreta_cattle_monog,MED,Rainfed,0.40
Excreta_cattle_monog,MED,Irrigated,0.65
Excreta_cattle_monog,ATL,Rainfed,0.70
Excreta_cattle_monog,ATL,Irrigated,0.75
Excreta_other,MED,Rainfed,0.40
Excreta_other,MED,Irrigated,0.65
Excreta_other,ATL,Rainfed,0.70
Excreta_other,ATL,Irrigated,0.75
Liquid,MED,Rainfed,0.40
Liquid,MED,Irrigated,0.65
Liquid,ATL,Rainfed,0.70
Liquid,ATL,Irrigated,0.75
Urban,MED,Rainfed,0.40
Urban,MED,Irrigated,0.65
Urban,ATL,Rainfed,0.70
Urban,ATL,Irrigated,0.75
BNF,MED,Rainfed,0.35
BNF,MED,Irrigated,0.55
BNF,ATL,Rainfed,0.65
BNF,ATL,Irrigated,0.70
