"item_prod_code","item_prod_name","cft_name","cft_lpjml","luh2_type"
15,"Wheat","temperate_cereals","temperate_cereals","c3ann"
27,"Rice","rice","rice","c3ann"
44,"Barley","temperate_cereals","temperate_cereals","c3ann"
56,"Maize (corn)","maize","maize","c4ann"
71,"Rye","temperate_cereals","temperate_cereals","c3ann"
75,"Oats","temperate_cereals","temperate_cereals","c3ann"
79,"Millet","tropical_cereals","tropical_cereals","c4ann"
83,"Sorghum","tropical_cereals","tropical_cereals","c4ann"
89,"Buckwheat","temperate_cereals","temperate_cereals","c3ann"
92,"Quinoa","temperate_cereals","temperate_cereals","c3ann"
94,"Fonio","tropical_cereals","tropical_cereals","c4ann"
97,"Triticale","temperate_cereals","temperate_cereals","c3ann"
101,"Canary seed","temperate_cereals","temperate_cereals","c3ann"
103,"Mixed grain","temperate_cereals","temperate_cereals","c3ann"
108,"Cereals n.e.c.","temperate_cereals","temperate_cereals","c3ann"
116,"Potatoes","temperate_roots","temperate_roots","c3ann"
122,"Sweet potatoes","tropical_roots","tropical_roots","c3ann"
125,"Cassava, fresh","tropical_roots","tropical_roots","c3ann"
135,"Yautia","tropical_roots","tropical_roots","c3ann"
136,"Taro","tropical_roots","tropical_roots","c3ann"
137,"Yams","tropical_roots","tropical_roots","c3ann"
156,"Sugar cane","sugarcane","sugarcane","c4ann"
157,"Sugar beet","temperate_roots","temperate_roots","c3ann"
176,"Beans, dry","pulses","pulses","c3nfx"
181,"Broad beans and horse beans, dry","pulses","pulses","c3nfx"
187,"Peas, dry","pulses","pulses","c3nfx"
191,"Chick peas, dry","pulses","pulses","c3nfx"
195,"Cow peas, dry","pulses","pulses","c3nfx"
197,"Pigeon peas, dry","pulses","pulses","c3nfx"
201,"Lentils, dry","pulses","pulses","c3nfx"
203,"Bambara beans, dry","pulses","pulses","c3nfx"
205,"Vetches","pulses","pulses","c3nfx"
210,"Lupins","pulses","pulses","c3nfx"
211,"Other pulses n.e.c.","pulses","pulses","c3nfx"
216,"Brazil nuts, in shell","nuts_tropical","others","c3per"
217,"Cashew nuts, in shell","nuts_tropical","others","c3per"
220,"Chestnuts, in shell","nuts_temperate","others","c3per"
221,"Almonds, in shell","nuts_temperate","others","c3per"
222,"Walnuts, in shell","nuts_temperate","others","c3per"
223,"Pistachios, in shell","nuts_temperate","others","c3per"
224,"Kola nuts","nuts_tropical","others","c3per"
225,"Hazelnuts, in shell","nuts_temperate","others","c3per"
226,"Areca nuts","nuts_tropical","others","c3per"
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","nuts_temperate","others","c3per"
236,"Soya beans","oil_crops_soybean","oil_crops_soybean","c3nfx"
242,"Groundnuts, excluding shelled","oil_crops_groundnut","oil_crops_groundnut","c3nfx"
249,"Coconuts, in shell","oil_crops_coconut","others","c3per"
254,"Oil palm fruit","oil_crops_oilpalm","others","c3per"
260,"Olives","oil_crops_olives","others","c3per"
263,"Karite nuts (sheanuts)","nuts_tropical","others","c3per"
265,"Castor oil seeds","oil_crops_other","others","c3ann"
267,"Sunflower seed","oil_crops_sunflower","oil_crops_sunflower","c3ann"
270,"Rape or colza seed","oil_crops_rapeseed","oil_crops_rapeseed","c3ann"
