item_prod_code,item_prod_name,name_biomass,name_biomass_code,equiv,category,bg_biomass_dm_kg_ha,root_shoot_ratio,product_dm_kgfm,residue_dm_kgfm,conventional_dm_kg_ha,organic_dm_kg_ha,gross_energy_product_edible_portion_mj_kgfm,gross_energy_product_residue_mj_kgfm,gross_energy_product_mj_kgfm,gross_energy_residue_mj_kg,product_kg_aerial_biomass_kg,residue_kg_aerial_biomass_fm_kg,residue_kg_product_fm_kg,carcass_to_live_weight,edible_portion,nitrogen_n_kgfm,lipids_g_kgfm,carbohydrates_g_kgfm,calcium_mg_kgfm,vitamin_a_microg_kgfm,edible_dm_kgfm,edible_c_kgfm,edible_n_kgfm,edible_p_kgfm,edible_k_kgfm,non_edible_dm_kgfm,non_edible_c_kgfm,non_edible_n_kgfm,non_edible_p_kgfm,non_edible_k_kgfm,product_n_kgdm,product_p_kgdm,product_k_kgdm,product_c_kgdm,residue_n_kgdm,residue_p_kgdm,residue_k_kgdm,residue_c_kgdm,residue_humified_c_kgc,dm_mg_m3,root_c_kgdm,root_humified_c_kgc,root_mass_c_kgdm,rhizodeposit_mass_c_kgdm,residue_c_n_ratio,root_n_kgdm,gross_energy_roots_mj_kgdm,rhizodeposit_n_kgn_krootn,fiber_g_kgfm,saturated_fatty_acids_g_kgfm,monounsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_n3_g_kgfm,iron_mg_kgfm,zinc_mg_kgfm,magnesium_mg_kgfm,cadmium_microg_kgfm,vitamin_b12_microg_kgfm,vitamin_d_microg_kgfm,folate_microg_kgfm,vitamin_c_mg_kgfm,vitamin_e_mg_kgfm,flavonoids_mg_kgfm,carotenoids_mg_kgfm
75,Oats,Oats,75,Wheat,"Cereals, other",1500,0.25,0.8673333333333333,0.907,232.075,873.3382333333333,,,15.176,15.9385296,0.4121750158528852,0.5878249841471148,1.426153846153846,,1,0.013414755555555559,71,598,796,0,,,,,,,,,,,0.01546666666666667,0.003666666666666667,0.004,0.46,0.007,0.0007633587786259543,0.01199563794983642,0.4720666666666666,0.1153466666666667,,1.0603,0.1782459207459208,0.461,0.5993,,0.01048974846755443,17.5728,1,106,12,22,25,0,47.2,39.7,1770,33.4,0,0,560,0,7,200,3
44,Barley,Barley,44,Wheat,Barley,1543.952291626907,0.2101117854410646,0.885,0.8640000000000001,232.075,873.3382333333333,,,15.626,15.1828992,0.4537303075401399,0.5462696924598601,1.203952399436164,,1,0.016480821268153638,12.081911262798636,805.4607508532423,151.02389078498294,0,,,,,,,,,,,0.01862239691316795,0.003787278736067418,0.004456936557556556,0.46,0.007,0.0007633587786259543,0.01199563794983642,0.4467,0.1153466666666667,,1.127,0.1782459207459208,0.49,0.637,,0.012273433725765266,17.5728,1,148,3,2,7,0,60,33,910,33.4,0,0,500,100,2,600,5
27,Rice,Rice,27,,Rice,1500,0.22,0.8640000000000001,0.91,232.075,873.3382333333333,,,15.176,15.991248,0.4545454545454546,0.5454545454545454,1.2,,1,0.011889908256880738,9,860,100,0,,,,,,,,,,,0.01376146788990826,0.001146788990825688,0.001376146788990826,0.46,0.007,0.0007633587786259543,0.01199563794983642,0.4005357142857143,0.1153466666666667,,0.5598,0.1782459207459208,0.311,0.2488,,0.010073394495412846,17.5728,0.8,18.5,2.1,2.3,3.2,0,5,2,130,33.4,0,0,200,0,3,300,0
79,Millet,Millet,79,Maize,"Cereals, other",2000,0.25,0.8805,0.9,232.075,873.3382333333333,,,15.1238,15.81552,0.45,0.55,1.222222222222222,,1,0.013579852148171855,27.579466357308583,776.3109048723898,122.57540603248259,0,,,,,,,,,,,0.01542288716430648,0.003255460436834947,0.003832839960530176,0.46,0.007,0.0007633587786259543,0.01199563794983642,0.4279285714285715,0.1153466666666667,,0.896,0.1782459207459208,0.448,0.448,,0.010790299223937917,17.5728,0.9,70,6.1,9.8,17.5,0,39,30,1300,33.4,0,0,384,0,8.100000000000001,900,3
71,Rye,Rye,71,,"Cereals, other",2000,0.22,0.8759999999999999,0.924,232.075,873.3382333333333,,,14.137,16.2372672,0.4347826086956521,0.5652173913043479,1.3,,1,0.013670313901345288,19.3,597,270,0,,,,,,,,,,,0.01560538116591928,0.003363228699551569,0.004484304932735426,0.46,0.005,0.0007633587786259543,0.01199563794983642,0.47424,0.1153466666666667,,0.9752,0.1782459207459208,0.424,0.5512,,0.00961103528953012,17.5728,1,146,2.9,3,11,0,26.7,37.3,1210,33.4,0,0,600,0,18.7,300,3.5
83,Sorghum,Sorghum,83,Maize,"Cereals, other",2000,0.19,0.865,0.87,232.075,873.3382333333333,,,15.98288,15.288336,0.3723449268003722,0.6276550731996278,1.685681818181818,,1,0.01616,27.093967517401392,762.6450116009281,120.41763341067285,0,,,,,,,,,,,0.01868208092485549,0.003448275862068965,0.004022988505747126,0.46,0.007,0.0007633587786259543,0.01199563794983642,0.45564,0.1153466666666667,,0.928,0.1782459207459208,0.464,0.464,,0.011349763566841342,17.5728,0.9,70,6.1,9.8,17.5,0,39,30,1300,33.4,0,0,384,0,8.100000000000001,900,3
15,Wheat,Wheat,15,,Wheat,2028.668387096774,0.2034094314170659,0.879,0.8665,232.075,873.3382333333333,,,15.2268312,15.2268312,0.4234795088948853,0.5765204911051147,1.361389344692512,,1,0.018951324393104402,12,800,150,0,,,,,,,,,,,0.02156009601035768,0.003514448039735382,0.004012652621694751,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4579974999999999,0.1153466666666667,,1.0672,0.1782459207459208,0.464,0.6032,,0.012543260177535124,17.5728,1,10,3.7,2.7,11,0,33,41,1470,33.4,0,0,490,0,14,325,5.5
56,Maize (corn),Maize,56,,Maize,2000,0.22,0.862,0.8809999999999999,232.075,873.3382333333333,,,14.4384,15.4816368,0.515103215021576,0.484896784978424,0.9413584905660377,,1,0.012479999999999996,27,760,120,0,,,,,,,,,,,0.01447795823665893,0.003062645011600928,0.003642691415313225,0.44,0.00592,0.0007633587786259543,0.01199563794983642,0.4338388888888889,0.1153466666666667,,0.9064,0.1782459207459208,0.412,0.4944,,0.010328231801723391,17.5728,1,27,1.3,2.4,4.2,0,7,3,300,33.4,0,0,300,60,4,600,37.5
97,Triticale,Triticale,97,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,1,105,3,2,8,0,26,25,1100,33.4,0,0,740,0,9,250,3.5
101,Canary seed,Canary grass,101,Wheat,"Cereals, other",2000,0.2208803042145326,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.6463818,0.45,0.55,1.222222222222222,,1,0.016023208345896902,11.91240045506257,794.1600303375046,148.90500568828213,0,,,,,,,,,,,0.01836295484201727,0.003656131147489822,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.01199563794983642,0.4576131147540984,0.1153466666666667,,0.721765,0.1782459207459208,0.4374333333333333,0.2843316666666667,,0.011519329678907772,17.5728,0.7,130,7.1,12,32.9,0,0,30,1200,33.4,0,0,550,0,6,300,3
