"name_bnf","coefficient","stored_value","unit","denominator","evidence_class","registry_source_note","source_id","source_identity_status","source_title","source_year","source_venue","source_doi","source_context","publication_locator","reported_value","reported_unit","transformation","derivation_parent","derivation_formula","verification_result","verification_rationale","authority_caveat","next_resolution_condition"
"Alfalfa","ndfa","0.7","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","70","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Beans","ndfa","0.4","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Herridge et al., 2008","herridge_2008","exact","Global inputs of biological nitrogen fixation in agricultural systems","2008","Plant and Soil 311:1-18","10.1007/s11104-008-9668-3","","Primary article, PDF p. 7, Table 2, experiments %Ndfa average","40","percent","reported percent / 100","","","matched","Used the experiments-average column: common bean 40%; soybean/groundnut 68%.","",""
"Clover","ndfa","0.86","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","86","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Fava bean","ndfa","0.75","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","75","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Green leguminous","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","68","percent","reported percent / 100","","","matched","Table S1-2 directly reports overall %Ndfa 68 for Green leguminous and Other pulses, and 57 for soybean (the soybean row specifies F < 10 kg N ha-1 yr-1).","",""
"Groundnuts, with shell","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Herridge et al., 2008","herridge_2008","exact","Global inputs of biological nitrogen fixation in agricultural systems","2008","Plant and Soil 311:1-18","10.1007/s11104-008-9668-3","","Primary article, PDF p. 7, Table 2, experiments %Ndfa average","68","percent","reported percent / 100","","","matched","Used the experiments-average column: common bean 40%; soybean/groundnut 68%.","",""
"Lentils","ndfa","0.66","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","66","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Other pulses","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","68","percent","reported percent / 100","","","matched","Table S1-2 directly reports overall %Ndfa 68 for Green leguminous and Other pulses, and 57 for soybean (the soybean row specifies F < 10 kg N ha-1 yr-1).","",""
"Pea","ndfa","0.71","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","71","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Soyabeans","ndfa","0.57","dimensionless","shoot-plant N; fraction derived from atmospheric N2","source_asserted","Lassaletta et al., 2014, based on Salvagiotti et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","57","percent","reported percent / 100","","","matched","Table S1-2 directly reports overall %Ndfa 68 for Green leguminous and Other pulses, and 57 for soybean (the soybean row specifies F < 10 kg N ha-1 yr-1).","",""
"Fodder, other","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","derivation_asserted","Based on share of green leguminous","whep_bnf_row_copy","internal exact row-copy derivation","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","Green leguminous","stored_value = parent stored_value","exact_derivation_match","The registry row declares it is based on the share of Green leguminous, and all three process coefficients are exact row copies. This verifies the arithmetic only; the parent's scientific uncertainty is inherited.","The parent coefficients are source-backed by Lassaletta ERL Supplement Table S1-2.",""
"Mixed swards","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","genuinely_unresolved","Luscher et al. 2014; Suter et al. 2015; Nyfeler et al. 2011","luscher_2014; suter_2015; nyfeler_2011","exact | exact | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Nitrogen yield advantage from grass-legume mixtures is robust over a wide range of legume proportions and environmental conditions | Grass-legume mixtures can yield more nitrogen than legume pure stands due to mutual stimulation of nitrogen uptake from symbiotic and non-symbiotic sources","2014 | 2015 | 2011","","10.1111/gfs.12124 | 10.1111/gcb.12880 | 10.1016/j.agee.2010.11.022","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The three papers concern grass-legume mixtures and response across legume proportions, but no explicit four-coefficient derivation for 0.68/0.45/1.4/0.25 was located. Published optimal/probed proportions are not a universal stand share.","No value-level authority is established; the stored value is retained without endorsement.","Specify the target sward population and write a reproducible parameter derivation from primary tables/data."
"Meadows","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","genuinely_unresolved","Luscher et al. 2014; Ledgard et al. 2001; Roscher et al. 2011","luscher_2014; ledgard_2001_ambiguous; roscher_2011","exact | ambiguous: at least two Ledgard 2001 papers | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Candidate A: Nitrogen fixation by white clover in pastures grazed by dairy cows; candidate B: Nitrogen cycling in low input legume-based agriculture | N2 fixation and performance of 12 legume species in a 6-year grassland biodiversity experiment","2014 | 2001 | 2011","","10.1111/gfs.12124 | 10.1023/A:1004833804002 | 10.1023/A:1004810620983 | 10.1007/s11104-010-0647-0","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The composite citation does not identify a single meadow estimand or formula. Ledgard 2001 is bibliographically ambiguous, and Roscher's biodiversity experiment is not a direct universal-meadow coefficient source.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Ledgard identity and define a meadow population plus an explicit aggregation/transfer rule."
