item_prod_code,item_prod_name,residue_item_cbs_code
15,Wheat,2105
27,Rice,2105
44,Barley,2105
51,"Beer of barley, malted",2106
56,Maize (corn),2105
60,Oil of maize,2106
71,Rye,2105
75,Oats,2105
79,Millet,2105
83,Sorghum,2105
89,Buckwheat,2105
92,Quinoa,2105
94,Fonio,2106
97,Triticale,2105
101,Canary seed,2105
103,Mixed grain,2105
108,Cereals n.e.c.,2105
116,Potatoes,2106
122,Sweet potatoes,2106
125,"Cassava, fresh",2106
135,Yautia,2106
136,Taro,2106
137,Yams,2106
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2106
156,Sugar cane,2106
157,Sugar beet,2106
161,Other sugar crops n.e.c.,2106
162,Raw cane or beet sugar (centrifugal only),2106
165,Molasses,2106
176,"Beans, dry",2106
181,"Broad beans and horse beans, dry",2106
187,"Peas, dry",2106
191,"Chick peas, dry",2106
195,"Cow peas, dry",2106
197,"Pigeon peas, dry",2106
201,"Lentils, dry",2106
203,"Bambara beans, dry",2106
205,Vetches,2106
210,Lupins,2106
211,Other pulses n.e.c.,2106
216,"Brazil nuts, in shell",2106
217,"Cashew nuts, in shell",2106
220,"Chestnuts, in shell",2106
221,"Almonds, in shell",2106
222,"Walnuts, in shell",2106
223,"Pistachios, in shell",2106
224,Kola nuts,2106
225,"Hazelnuts, in shell",2106
226,Areca nuts,2106
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2106
236,Soya beans,2106
237,Soya bean oil,2106
242,"Groundnuts, excluding shelled",2106
244,Groundnut oil,2106
248,Coconuts,2106
249,"Coconuts, in shell",2106
252,Coconut oil,2106
254,Oil palm fruit,2106
256,Palm kernels,2106
257,Palm oil,2106
258,Oil of palm kernel,2106
260,Olives,2106
261,Olive oil,2106
263,Karite nuts (sheanuts),2106
265,Castor oil seeds,2106
267,Sunflower seed,2106
268,"Sunflower-seed oil, crude",2106
270,Rape or colza seed,2106
271,"Rapeseed or canola oil, crude",2106
275,Tung nuts,2106
