region,loss_group,step,loss_pct
europe,cereals,distribution,2
europe,cereals,consumption,25
europe,roots_tubers,distribution,7
europe,roots_tubers,consumption,17
europe,oilseeds_pulses,distribution,1
europe,oilseeds_pulses,consumption,4
europe,fruits_vegetables,distribution,10
europe,fruits_vegetables,consumption,19
europe,meat,distribution,4
europe,meat,consumption,11
europe,fish_seafood,distribution,9
europe,fish_seafood,consumption,11
europe,milk,distribution,0.5
europe,milk,consumption,7
north_america_oceania,cereals,distribution,2
north_america_oceania,cereals,consumption,27
north_america_oceania,roots_tubers,distribution,7
north_america_oceania,roots_tubers,consumption,30
north_america_oceania,oilseeds_pulses,distribution,1
north_america_oceania,oilseeds_pulses,consumption,4
north_america_oceania,fruits_vegetables,distribution,12
north_america_oceania,fruits_vegetables,consumption,28
north_america_oceania,meat,distribution,4
north_america_oceania,meat,consumption,11
north_america_oceania,fish_seafood,distribution,9
north_america_oceania,fish_seafood,consumption,33
north_america_oceania,milk,distribution,0.5
north_america_oceania,milk,consumption,15
industrialized_asia,cereals,distribution,2
industrialized_asia,cereals,consumption,20
industrialized_asia,roots_tubers,distribution,9
industrialized_asia,roots_tubers,consumption,10
industrialized_asia,oilseeds_pulses,distribution,1
industrialized_asia,oilseeds_pulses,consumption,4
industrialized_asia,fruits_vegetables,distribution,8
industrialized_asia,fruits_vegetables,consumption,15
industrialized_asia,meat,distribution,6
industrialized_asia,meat,consumption,8
industrialized_asia,fish_seafood,distribution,11
industrialized_asia,fish_seafood,consumption,8
industrialized_asia,milk,distribution,0.5
industrialized_asia,milk,consumption,5
sub_saharan_africa,cereals,distribution,2
sub_saharan_africa,cereals,consumption,1
sub_saharan_africa,roots_tubers,distribution,5
sub_saharan_africa,roots_tubers,consumption,2
sub_saharan_africa,oilseeds_pulses,distribution,2
sub_saharan_africa,oilseeds_pulses,consumption,1
sub_saharan_africa,fruits_vegetables,distribution,17
sub_saharan_africa,fruits_vegetables,consumption,5
sub_saharan_africa,meat,distribution,7
sub_saharan_africa,meat,consumption,2
sub_saharan_africa,fish_seafood,distribution,15
sub_saharan_africa,fish_seafood,consumption,2
sub_saharan_africa,milk,distribution,10
sub_saharan_africa,milk,consumption,0.1
north_africa_west_central_asia,cereals,distribution,4
north_africa_west_central_asia,cereals,consumption,12
north_africa_west_central_asia,roots_tubers,distribution,4
north_africa_west_central_asia,roots_tubers,consumption,6
north_africa_west_central_asia,oilseeds_pulses,distribution,2
north_africa_west_central_asia,oilseeds_pulses,consumption,2
north_africa_west_central_asia,fruits_vegetables,distribution,15
north_africa_west_central_asia,fruits_vegetables,consumption,12
north_africa_west_central_asia,meat,distribution,5
north_africa_west_central_asia,meat,consumption,8
north_africa_west_central_asia,fish_seafood,distribution,10
north_africa_west_central_asia,fish_seafood,consumption,4
north_africa_west_central_asia,milk,distribution,8
north_africa_west_central_asia,milk,consumption,2
south_southeast_asia,cereals,distribution,2
south_southeast_asia,cereals,consumption,3
south_southeast_asia,roots_tubers,distribution,11
south_southeast_asia,roots_tubers,consumption,3
south_southeast_asia,oilseeds_pulses,distribution,2
south_southeast_asia,oilseeds_pulses,consumption,1
south_southeast_asia,fruits_vegetables,distribution,10
south_southeast_asia,fruits_vegetables,consumption,7
south_southeast_asia,meat,distribution,7
south_southeast_asia,meat,consumption,4
south_southeast_asia,fish_seafood,distribution,15
south_southeast_asia,fish_seafood,consumption,2
south_southeast_asia,milk,distribution,10
south_southeast_asia,milk,consumption,1
latin_america,cereals,distribution,4
latin_america,cereals,consumption,10
latin_america,roots_tubers,distribution,3
latin_america,roots_tubers,consumption,4
latin_america,oilseeds_pulses,distribution,2
latin_america,oilseeds_pulses,consumption,2
latin_america,fruits_vegetables,distribution,12
latin_america,fruits_vegetables,consumption,10
latin_america,meat,distribution,5
latin_america,meat,consumption,6
latin_america,fish_seafood,distribution,10
latin_america,fish_seafood,consumption,4
latin_america,milk,distribution,8
latin_america,milk,consumption,4
