item_prod_code,item_prod_name,name_biomass,ipcc_crop,crop_group
15,Wheat,Wheat,Wheat,Wheat
44,Barley,Barley,Barley,Wheat
56,Maize (corn),Maize,Maize,Maize
27,Rice,Rice,Rice,Rice
75,Oats,Oats,Oats,Wheat
79,Millet,Millet,Millet,Sorghum_millet
83,Sorghum,Sorghum,Sorghum,Sorghum_millet
71,Rye,Rye,Rye,Wheat
97,Triticale,Triticale,Other_cereals,Wheat
101,Canary seed,Canary grass,Other_cereals,Wheat
89,Buckwheat,Cereals nes,Other_cereals,Wheat
92,Quinoa,Cereals nes,Other_cereals,Wheat
103,Mixed grain,Cereals nes,Other_cereals,Wheat
108,Cereals n.e.c.,Cereals nes,Other_cereals,Wheat
236,Soya beans,Soyabeans,Soybeans,Legumes
176,"Beans, dry",Beans,Dry_beans,Legumes
181,"Broad beans and horse beans, dry",Fava bean,Dry_beans,Legumes
191,"Chick peas, dry",Chickpea,Chickpeas,Legumes
201,"Lentils, dry",Lentils,Lentils,Legumes
187,"Peas, dry",Pea,Peas,Legumes
210,Lupins,Lupin,Pulses_other,Legumes
205,Vetches,Vetch,Pulses_other,Legumes
195,"Cow peas, dry",Pulses nes,Pulses_other,Legumes
197,"Pigeon peas, dry",Pulses nes,Pulses_other,Legumes
203,"Bambara beans, dry",Pulses nes,Pulses_other,Legumes
211,Other pulses n.e.c.,Pulses nes,Pulses_other,Legumes
423,String beans,Pulses nes,Pulses_other,Legumes
242,"Groundnuts, excluding shelled","Groundnuts, with shell",Groundnuts,Legumes
270,Rape or colza seed,Rape,Rapeseed,Oilseeds
267,Sunflower seed,Sunflower seed,Sunflower,Oilseeds
280,Safflower seed,Safflower,Other_oilseeds,Oilseeds
329,Cotton seed,Cottonseed,Cotton,Other
333,Linseed,Linseed,Other_oilseeds,Oilseeds
265,Castor oil seeds,"Oilcrops, other",Other_oilseeds,Oilseeds
277,Jojoba seeds,"Oilcrops, other",Other_oilseeds,Oilseeds
289,Sesame seed,"Oilcrops, other",Other_oilseeds,Oilseeds
299,Melonseed,"Oilcrops, other",Other_oilseeds,Oilseeds
305,Tallowtree seed,"Oilcrops, other",Other_oilseeds,Oilseeds
311,Kapokseed in shell,"Oilcrops, other",Other_oilseeds,Oilseeds
339,"Other oil seeds, n.e.c.","Oilcrops, other",Other_oilseeds,Oilseeds
336,Hempseed,Hemp seed,Other_oilseeds,Oilseeds
254,Oil palm fruit,Oil palm,Permanent_crops,Other
256,Palm kernels,Oil palm,Permanent_crops,Other
116,Potatoes,Potato,Potatoes,Root_tuber
122,Sweet potatoes,Sweet potato,Sweet_potatoes,Root_tuber
125,"Cassava, fresh",Cassava,Cassava,Root_tuber
94,Fonio,"Roots, other",Other_roots,Root_tuber
135,Yautia,"Roots, other",Other_roots,Root_tuber
136,Taro,"Roots, other",Other_roots,Root_tuber
137,Yams,"Roots, other",Other_roots,Root_tuber
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots, other",Other_roots,Root_tuber
459,Chicory roots,Chicory roots,Other_roots,Root_tuber
157,Sugar beet,Sugar beet,Sugar_beet,Root_tuber
