ipcc_crop,slope_ag,intercept_ag_dm_t_ha,rs_ratio_ipcc,n_ag_residue,n_bg_residue,source
Wheat,1.51,0.52,0.23,0.006,0.009,IPCC 2019 Tab.11.2
Barley,0.98,0.59,0.22,0.007,0.014,IPCC 2006 Tab.11.2
Maize,1.03,0.61,0.22,0.006,0.007,IPCC 2006 Tab.11.2
Rice,0.95,2.46,0.16,0.007,0.009,IPCC 2019 Tab.11.2
Oats,0.91,0.89,0.25,0.007,0.008,IPCC 2006 Tab.11.2
Millet,1.43,0.14,0.22,0.007,0.009,IPCC 2019 Tab.11.2
Sorghum,0.88,1.33,0.19,0.007,0.006,IPCC 2019 Tab.11.2
Rye,1.09,0.88,0.22,0.005,0.011,IPCC 2019 Tab.11.2
Other_cereals,1.09,0.88,0.24,0.006,0.009,IPCC 2019 Tab.11.2 (grain generic)
Soybeans,0.93,1.35,0.19,0.008,0.008,IPCC 2019 Tab.11.2
Dry_beans,0.36,0.68,0.19,0.008,0.008,IPCC 2019 Tab.11.2
Pulses_other,1.13,0.85,0.19,0.008,0.008,IPCC 2019 Tab.11.2 (beans & pulses)
Groundnuts,1.07,1.54,0.2,0.016,0.014,IPCC 2019 Tab.11.2
Chickpeas,1.13,0.85,0.19,0.008,0.008,IPCC 2019 Tab.11.2 (beans & pulses)
Lentils,1.13,0.85,0.19,0.008,0.008,IPCC 2019 Tab.11.2 (beans & pulses)
Peas,1.13,0.85,0.19,0.008,0.008,IPCC 2019 Tab.11.2 (beans & pulses)
Rapeseed,1.58,0.3,0.15,0.01,0.01,IPCC 2006 Tab.11.2
Sunflower,1.6,0.3,0.06,0.006,0.009,IPCC 2006 Tab.11.2
Sesame,1.5,0.3,0.15,0.01,0.01,Gan 2009
Other_oilseeds,1.58,0.3,0.15,0.01,0.01,IPCC 2006 Tab.11.2 (rapeseed proxy)
Potatoes,0.1,1.06,0.2,0.019,0.014,IPCC 2019 Tab.11.2
Sugar_beet,0.29,0.6,0.16,0.019,0.014,IPCC 2006 Tab.11.2
Cassava,0.1,1.06,0.2,0.019,0.014,IPCC 2019 Tab.11.2 (tuber)
Sweet_potatoes,0.1,1.06,0.2,0.019,0.014,IPCC 2019 Tab.11.2 (tuber)
Other_roots,0.1,1.06,0.2,0.019,0.014,IPCC 2019 Tab.11.2 (tuber)
Sugarcane,0.27,1.62,0.04,0.004,0.005,IPCC 2006 Tab.11.2
Cotton,1.5,0.3,0.17,0.01,0.01,IPCC 2006 Tab.11.2
Other_fiber,1.5,0.3,0.17,0.01,0.01,IPCC 2006 Tab.11.2 (cotton proxy)
Permanent_crops,0.3,0.5,0.15,0.01,0.01,IPCC 2006 Ch.11 analogy
Fodder_crops,0.3,0,0.8,0.015,0.012,IPCC 2019 Tab.11.2 (non-N-fixing forages)
Vegetables,0.1,1.06,0.1,0.019,0.014,IPCC 2019 Tab.11.2 (tuber proxy)
Winter_wheat,1.61,0.4,0.23,0.006,0.009,IPCC 2019 Tab.11.2
Spring_wheat,1.29,0.75,0.23,0.006,0.009,IPCC 2019 Tab.11.2
