ipcc_crop,rs_default,rs_low_n,rs_high_n,rs_irrigated,rs_rainfed,bg_ref_dm_t_ha,source
Wheat,0.23,0.29,0.2,0.2,0.27,2.03,IPCC 2019 Tab.11.1A; Bolinder 2007
Barley,0.22,0.26,0.18,0.18,0.25,1.54,IPCC 2006; Bolinder 2007
Maize,0.22,0.26,0.18,0.18,0.25,2,IPCC 2006; Bolinder 2007
Rice,0.16,0.19,0.13,0.13,0.18,1.5,IPCC 2006; Bolinder 2007
Oats,0.25,0.3,0.21,0.21,0.28,1.5,IPCC 2006; Bolinder 2007
Millet,0.22,0.26,0.18,0.18,0.25,1.5,IPCC 2006
Sorghum,0.19,0.23,0.16,0.16,0.21,1.5,IPCC 2006
Rye,0.22,0.26,0.18,0.18,0.25,2,IPCC 2006
Other_cereals,0.24,0.29,0.2,0.2,0.27,2,IPCC 2006 (wheat proxy)
Soybeans,0.19,0.19,0.13,0.13,0.18,1.2,IPCC 2019 Tab.11.1A; Bolinder 2007
Dry_beans,0.19,0.23,0.16,0.16,0.21,1.5,IPCC 2019 Tab.11.1A
Pulses_other,0.19,0.23,0.16,0.16,0.21,1.5,IPCC 2019 Tab.11.1A (beans & pulses)
Groundnuts,0.2,0.24,0.17,0.17,0.22,1.5,IPCC 2006
Chickpeas,0.19,0.23,0.16,0.16,0.21,1,IPCC 2019 Tab.11.1A (beans & pulses)
Lentils,0.19,0.23,0.16,0.16,0.21,1,IPCC 2019 Tab.11.1A (beans & pulses)
Peas,0.19,0.23,0.16,0.16,0.21,1,IPCC 2019 Tab.11.1A (beans & pulses)
Rapeseed,0.15,0.18,0.12,0.12,0.17,1.5,IPCC 2006; Gan 2009
Sunflower,0.1,0.12,0.08,0.08,0.12,1,IPCC 2006 adjusted upward; oilseed taproot literature
Sesame,0.15,0.18,0.12,0.12,0.17,1,Gan 2009
Other_oilseeds,0.15,0.18,0.12,0.12,0.17,1.2,IPCC 2006 (rapeseed proxy)
Potatoes,0.2,0.24,0.17,0.17,0.22,0.5,IPCC 2006
Sugar_beet,0.16,0.19,0.13,0.13,0.18,0.8,IPCC 2006
Cassava,0.2,0.24,0.17,0.17,0.22,0.5,IPCC 2006 (tuber proxy)
Sweet_potatoes,0.2,0.24,0.17,0.17,0.22,0.5,IPCC 2006 (tuber proxy)
Other_roots,0.2,0.24,0.17,0.17,0.22,0.6,IPCC 2006 (tuber proxy)
Sugarcane,0.04,0.05,0.03,0.03,0.04,2,IPCC 2006
Cotton,0.17,0.2,0.14,0.14,0.19,1.5,IPCC 2006
Other_fiber,0.17,0.2,0.14,0.14,0.19,1.5,IPCC 2006 (cotton proxy)
Permanent_crops,0.15,0.18,0.12,0.12,0.17,2.5,IPCC 2006 Ch.11 analogy
Fodder_crops,0.8,0.96,0.66,0.66,0.9,4,IPCC 2019 Tab.11.1A (perennial grasses)
Vegetables,0.1,0.12,0.08,0.08,0.11,0.5,IPCC 2006 analogy
Winter_wheat,0.23,0.28,0.19,0.19,0.26,2.03,IPCC 2019 Tab.11.1A
Spring_wheat,0.28,0.34,0.23,0.23,0.32,2,IPCC 2019 Tab.11.1A
