region_hanpp,crop_group,year,modern_share
North America and Oceania,Wheat,1900,0
North America and Oceania,Wheat,1920,0.05
North America and Oceania,Wheat,1940,0.15
North America and Oceania,Wheat,1950,0.3
North America and Oceania,Wheat,1960,0.55
North America and Oceania,Wheat,1970,0.85
North America and Oceania,Wheat,1980,0.95
North America and Oceania,Wheat,1990,0.98
North America and Oceania,Wheat,2000,1
North America and Oceania,Wheat,2010,1
North America and Oceania,Wheat,2020,1
North America and Oceania,Rice,1900,0
North America and Oceania,Rice,1920,0
North America and Oceania,Rice,1940,0.05
North America and Oceania,Rice,1950,0.2
North America and Oceania,Rice,1960,0.6
North America and Oceania,Rice,1970,0.9
North America and Oceania,Rice,1980,0.98
North America and Oceania,Rice,1990,1
North America and Oceania,Rice,2000,1
North America and Oceania,Rice,2010,1
North America and Oceania,Rice,2020,1
North America and Oceania,Maize,1900,0
North America and Oceania,Maize,1920,0.02
North America and Oceania,Maize,1940,0.3
North America and Oceania,Maize,1950,0.85
North America and Oceania,Maize,1960,0.95
North America and Oceania,Maize,1970,0.98
North America and Oceania,Maize,1980,1
North America and Oceania,Maize,1990,1
North America and Oceania,Maize,2000,1
North America and Oceania,Maize,2010,1
North America and Oceania,Maize,2020,1
North America and Oceania,Sorghum_millet,1900,0
North America and Oceania,Sorghum_millet,1920,0
North America and Oceania,Sorghum_millet,1940,0.05
North America and Oceania,Sorghum_millet,1950,0.15
North America and Oceania,Sorghum_millet,1960,0.4
North America and Oceania,Sorghum_millet,1970,0.7
North America and Oceania,Sorghum_millet,1980,0.9
North America and Oceania,Sorghum_millet,1990,0.95
North America and Oceania,Sorghum_millet,2000,1
North America and Oceania,Sorghum_millet,2010,1
North America and Oceania,Sorghum_millet,2020,1
North America and Oceania,Legumes,1900,0
North America and Oceania,Legumes,1920,0
North America and Oceania,Legumes,1940,0.05
North America and Oceania,Legumes,1950,0.15
North America and Oceania,Legumes,1960,0.3
North America and Oceania,Legumes,1970,0.55
North America and Oceania,Legumes,1980,0.8
North America and Oceania,Legumes,1990,0.92
North America and Oceania,Legumes,2000,0.97
North America and Oceania,Legumes,2010,1
North America and Oceania,Legumes,2020,1
North America and Oceania,Root_tuber,1900,0
North America and Oceania,Root_tuber,1920,0
North America and Oceania,Root_tuber,1940,0.05
North America and Oceania,Root_tuber,1950,0.2
North America and Oceania,Root_tuber,1960,0.4
North America and Oceania,Root_tuber,1970,0.7
North America and Oceania,Root_tuber,1980,0.9
North America and Oceania,Root_tuber,1990,0.97
North America and Oceania,Root_tuber,2000,1
North America and Oceania,Root_tuber,2010,1
North America and Oceania,Root_tuber,2020,1
North America and Oceania,Oilseeds,1900,0
North America and Oceania,Oilseeds,1920,0
North America and Oceania,Oilseeds,1940,0.05
North America and Oceania,Oilseeds,1950,0.15
North America and Oceania,Oilseeds,1960,0.35
North America and Oceania,Oilseeds,1970,0.65
North America and Oceania,Oilseeds,1980,0.85
North America and Oceania,Oilseeds,1990,0.95
North America and Oceania,Oilseeds,2000,1
North America and Oceania,Oilseeds,2010,1
North America and Oceania,Oilseeds,2020,1
North America and Oceania,Other,1900,0
North America and Oceania,Other,1920,0.05
North America and Oceania,Other,1940,0.15
North America and Oceania,Other,1950,0.3
North America and Oceania,Other,1960,0.55
North America and Oceania,Other,1970,0.8
North America and Oceania,Other,1980,0.92
North America and Oceania,Other,1990,0.97
North America and Oceania,Other,2000,1
North America and Oceania,Other,2010,1
North America and Oceania,Other,2020,1
West Europe,Wheat,1900,0
West Europe,Wheat,1920,0.01
West Europe,Wheat,1940,0.08
West Europe,Wheat,1950,0.2
West Europe,Wheat,1960,0.5
West Europe,Wheat,1970,0.8
West Europe,Wheat,1980,0.95
West Europe,Wheat,1990,1
West Europe,Wheat,2000,1
West Europe,Wheat,2010,1
West Europe,Wheat,2020,1
West Europe,Rice,1900,0
West Europe,Rice,1920,0
West Europe,Rice,1940,0.02
West Europe,Rice,1950,0.1
West Europe,Rice,1960,0.35
West Europe,Rice,1970,0.65
West Europe,Rice,1980,0.85
West Europe,Rice,1990,0.95
West Europe,Rice,2000,1
West Europe,Rice,2010,1
West Europe,Rice,2020,1
West Europe,Maize,1900,0
West Europe,Maize,1920,0
West Europe,Maize,1940,0.05
West Europe,Maize,1950,0.2
West Europe,Maize,1960,0.55
West Europe,Maize,1970,0.85
West Europe,Maize,1980,0.95
West Europe,Maize,1990,1
West Europe,Maize,2000,1
West Europe,Maize,2010,1
West Europe,Maize,2020,1
West Europe,Sorghum_millet,1900,0
West Europe,Sorghum_millet,1920,0
West Europe,Sorghum_millet,1940,0.02
West Europe,Sorghum_millet,1950,0.08
West Europe,Sorghum_millet,1960,0.25
West Europe,Sorghum_millet,1970,0.55
West Europe,Sorghum_millet,1980,0.8
West Europe,Sorghum_millet,1990,0.92
West Europe,Sorghum_millet,2000,0.97
West Europe,Sorghum_millet,2010,1
West Europe,Sorghum_millet,2020,1
West Europe,Legumes,1900,0
West Europe,Legumes,1920,0
West Europe,Legumes,1940,0.02
West Europe,Legumes,1950,0.08
West Europe,Legumes,1960,0.2
West Europe,Legumes,1970,0.45
West Europe,Legumes,1980,0.7
West Europe,Legumes,1990,0.88
West Europe,Legumes,2000,0.96
West Europe,Legumes,2010,1
West Europe,Legumes,2020,1
West Europe,Root_tuber,1900,0
West Europe,Root_tuber,1920,0
West Europe,Root_tuber,1940,0.05
West Europe,Root_tuber,1950,0.15
West Europe,Root_tuber,1960,0.35
West Europe,Root_tuber,1970,0.6
West Europe,Root_tuber,1980,0.85
West Europe,Root_tuber,1990,0.95
West Europe,Root_tuber,2000,1
West Europe,Root_tuber,2010,1
West Europe,Root_tuber,2020,1
West Europe,Oilseeds,1900,0
West Europe,Oilseeds,1920,0
West Europe,Oilseeds,1940,0.02
West Europe,Oilseeds,1950,0.08
West Europe,Oilseeds,1960,0.25
West Europe,Oilseeds,1970,0.55
West Europe,Oilseeds,1980,0.8
West Europe,Oilseeds,1990,0.95
West Europe,Oilseeds,2000,1
West Europe,Oilseeds,2010,1
West Europe,Oilseeds,2020,1
West Europe,Other,1900,0
West Europe,Other,1920,0.03
West Europe,Other,1940,0.1
West Europe,Other,1950,0.2
West Europe,Other,1960,0.45
West Europe,Other,1970,0.7
West Europe,Other,1980,0.88
West Europe,Other,1990,0.96
West Europe,Other,2000,1
West Europe,Other,2010,1
West Europe,Other,2020,1
East Europe,Wheat,1900,0
East Europe,Wheat,1920,0
East Europe,Wheat,1940,0.02
East Europe,Wheat,1950,0.05
East Europe,Wheat,1960,0.15
East Europe,Wheat,1970,0.45
East Europe,Wheat,1980,0.7
East Europe,Wheat,1990,0.9
East Europe,Wheat,2000,0.98
East Europe,Wheat,2010,1
East Europe,Wheat,2020,1
East Europe,Rice,1900,0
East Europe,Rice,1920,0
East Europe,Rice,1940,0.01
East Europe,Rice,1950,0.03
East Europe,Rice,1960,0.1
East Europe,Rice,1970,0.3
East Europe,Rice,1980,0.6
East Europe,Rice,1990,0.82
East Europe,Rice,2000,0.95
East Europe,Rice,2010,1
East Europe,Rice,2020,1
East Europe,Maize,1900,0
East Europe,Maize,1920,0
East Europe,Maize,1940,0.02
East Europe,Maize,1950,0.08
East Europe,Maize,1960,0.25
East Europe,Maize,1970,0.55
East Europe,Maize,1980,0.75
East Europe,Maize,1990,0.9
East Europe,Maize,2000,0.98
East Europe,Maize,2010,1
East Europe,Maize,2020,1
East Europe,Sorghum_millet,1900,0
East Europe,Sorghum_millet,1920,0
East Europe,Sorghum_millet,1940,0.01
East Europe,Sorghum_millet,1950,0.03
East Europe,Sorghum_millet,1960,0.1
East Europe,Sorghum_millet,1970,0.25
East Europe,Sorghum_millet,1980,0.5
East Europe,Sorghum_millet,1990,0.75
East Europe,Sorghum_millet,2000,0.92
East Europe,Sorghum_millet,2010,0.97
East Europe,Sorghum_millet,2020,1
East Europe,Legumes,1900,0
East Europe,Legumes,1920,0
East Europe,Legumes,1940,0.01
East Europe,Legumes,1950,0.03
East Europe,Legumes,1960,0.08
East Europe,Legumes,1970,0.2
East Europe,Legumes,1980,0.45
East Europe,Legumes,1990,0.68
East Europe,Legumes,2000,0.88
East Europe,Legumes,2010,0.96
East Europe,Legumes,2020,1
East Europe,Root_tuber,1900,0
East Europe,Root_tuber,1920,0
East Europe,Root_tuber,1940,0.02
East Europe,Root_tuber,1950,0.05
East Europe,Root_tuber,1960,0.15
East Europe,Root_tuber,1970,0.35
East Europe,Root_tuber,1980,0.6
East Europe,Root_tuber,1990,0.82
East Europe,Root_tuber,2000,0.95
East Europe,Root_tuber,2010,1
East Europe,Root_tuber,2020,1
East Europe,Oilseeds,1900,0
East Europe,Oilseeds,1920,0
East Europe,Oilseeds,1940,0.01
East Europe,Oilseeds,1950,0.03
East Europe,Oilseeds,1960,0.1
East Europe,Oilseeds,1970,0.3
East Europe,Oilseeds,1980,0.55
East Europe,Oilseeds,1990,0.78
East Europe,Oilseeds,2000,0.92
East Europe,Oilseeds,2010,0.98
East Europe,Oilseeds,2020,1
East Europe,Other,1900,0
East Europe,Other,1920,0
East Europe,Other,1940,0.03
East Europe,Other,1950,0.05
East Europe,Other,1960,0.15
East Europe,Other,1970,0.4
East Europe,Other,1980,0.65
East Europe,Other,1990,0.85
East Europe,Other,2000,1
East Europe,Other,2010,1
East Europe,Other,2020,1
South and Central Asia,Wheat,1900,0
South and Central Asia,Wheat,1920,0
South and Central Asia,Wheat,1940,0
South and Central Asia,Wheat,1950,0
South and Central Asia,Wheat,1960,0
South and Central Asia,Wheat,1970,0.42
South and Central Asia,Wheat,1980,0.61
South and Central Asia,Wheat,1990,0.88
South and Central Asia,Wheat,2000,0.9
South and Central Asia,Wheat,2010,0.93
South and Central Asia,Wheat,2020,0.95
South and Central Asia,Rice,1900,0
South and Central Asia,Rice,1920,0
South and Central Asia,Rice,1940,0
South and Central Asia,Rice,1950,0
South and Central Asia,Rice,1960,0
South and Central Asia,Rice,1970,0.12
South and Central Asia,Rice,1980,0.47
South and Central Asia,Rice,1990,0.62
South and Central Asia,Rice,2000,0.73
South and Central Asia,Rice,2010,0.8
South and Central Asia,Rice,2020,0.85
South and Central Asia,Maize,1900,0
South and Central Asia,Maize,1920,0
South and Central Asia,Maize,1940,0
South and Central Asia,Maize,1950,0
South and Central Asia,Maize,1960,0
South and Central Asia,Maize,1970,0.02
South and Central Asia,Maize,1980,0.1
South and Central Asia,Maize,1990,0.26
South and Central Asia,Maize,2000,0.45
South and Central Asia,Maize,2010,0.58
South and Central Asia,Maize,2020,0.68
South and Central Asia,Sorghum_millet,1900,0
South and Central Asia,Sorghum_millet,1920,0
South and Central Asia,Sorghum_millet,1940,0
South and Central Asia,Sorghum_millet,1950,0
South and Central Asia,Sorghum_millet,1960,0
South and Central Asia,Sorghum_millet,1970,0.01
South and Central Asia,Sorghum_millet,1980,0.05
South and Central Asia,Sorghum_millet,1990,0.26
South and Central Asia,Sorghum_millet,2000,0.5
South and Central Asia,Sorghum_millet,2010,0.6
South and Central Asia,Sorghum_millet,2020,0.7
South and Central Asia,Legumes,1900,0
South and Central Asia,Legumes,1920,0
South and Central Asia,Legumes,1940,0
South and Central Asia,Legumes,1950,0
South and Central Asia,Legumes,1960,0
South and Central Asia,Legumes,1970,0
South and Central Asia,Legumes,1980,0.01
