age_class,age_start,age_end,year_from,year_to,sex,reference_weight_kg,avg_req_g_kg_day,safe_req_g_kg_day,avg_to_safe_ratio,safe_req_g_day,avg_req_g_day,source
0.5,0.5,0.5,0,0,m,7.8,1.12,1.31,0.855,10.2,8.72,TRS935_T47_gday_x_T33ab_ratio
0.5,0.5,0.5,0,0,f,7.2,1.12,1.31,0.855,9.4,8.04,TRS935_T47_gday_x_T33ab_ratio
1,1,1,1,1,m,10.2,0.95,1.14,0.8333,11.6,9.67,TRS935_T47_gday_x_T33ab_ratio
1,1,1,1,1,f,9.5,0.95,1.14,0.8333,10.8,9.0,TRS935_T47_gday_x_T33ab_ratio
1.5,1.5,1.5,1,1,m,11.5,0.85,1.03,0.8252,11.8,9.74,TRS935_T47_gday_x_T33ab_ratio
1.5,1.5,1.5,1,1,f,10.8,0.85,1.03,0.8252,11.1,9.16,TRS935_T47_gday_x_T33ab_ratio
2,2,2,2,2,m,12.3,0.79,0.97,0.8144,11.9,9.69,TRS935_T47_gday_x_T33ab_ratio
2,2,2,2,2,f,11.8,0.79,0.97,0.8144,11.4,9.28,TRS935_T47_gday_x_T33ab_ratio
3,3,3,3,3,m,14.6,0.73,0.9,0.8111,13.1,10.63,TRS935_T47_gday_x_T33ab_ratio
3,3,3,3,3,f,14.1,0.73,0.9,0.8111,12.7,10.3,TRS935_T47_gday_x_T33ab_ratio
4-6,4,6,4,6,m,19.7,0.7,0.8667,0.8077,17.1,13.81,TRS935_T47_gday_x_T33ab_ratio
4-6,4,6,4,6,f,18.6,0.7,0.8667,0.8077,16.2,13.08,TRS935_T47_gday_x_T33ab_ratio
7-10,7,10,7,10,m,28.1,0.7475,0.915,0.8169,25.9,21.16,TRS935_T47_gday_x_T33ab_ratio
7-10,7,10,7,10,f,28.5,0.7475,0.915,0.8169,26.2,21.4,TRS935_T47_gday_x_T33ab_ratio
11-14,11,14,11,14,m,45.0,0.715,0.885,0.8079,40.5,32.72,TRS935_T47_gday_x_T33ab_ratio
11-14,11,14,11,14,f,46.1,0.735,0.9,0.8167,41.0,33.48,TRS935_T47_gday_x_T33ab_ratio
15-18,15,18,15,18,m,66.5,0.675,0.835,0.8084,57.9,46.81,TRS935_T47_gday_x_T33ab_ratio
15-18,15,18,15,18,f,56.4,0.705,0.865,0.815,47.4,38.63,TRS935_T47_gday_x_T33ab_ratio
19+,19,120,19,120,m,55.0,0.66,0.83,0.7952,46.0,36.3,TRS935_T46
19+,19,120,19,120,f,55.0,0.66,0.83,0.7952,46.0,36.3,TRS935_T46
