item_prod_code,item_prod_name,coello_crop_code,coello_crop_name
15,Wheat,1_1,Wheat
27,Rice,1_3,Rice
44,Barley,1_4,Other cereals
56,Maize (corn),1_2,Maize
71,Rye,1_4,Other cereals
75,Oats,1_4,Other cereals
79,Millet,1_4,Other cereals
83,Sorghum,1_4,Other cereals
89,Buckwheat,1_4,Other cereals
92,Quinoa,1_4,Other cereals
94,Fonio,1_4,Other cereals
97,Triticale,1_4,Other cereals
101,Canary seed,1_4,Other cereals
103,Mixed grain,1_4,Other cereals
108,Cereals n.e.c.,1_4,Other cereals
116,Potatoes,4,Roots and tubers
122,Sweet potatoes,4,Roots and tubers
125,Cassava fresh,4,Roots and tubers
135,Yautia,4,Roots and tubers
136,Taro,4,Roots and tubers
137,Yams,4,Roots and tubers
149,Edible roots and tubers n.e.c.,4,Roots and tubers
156,Sugar cane,5,Sugar crops
157,Sugar beet,5,Sugar crops
161,Other sugar crops n.e.c.,5,Sugar crops
176,Beans dry,7,Other crops
181,Broad beans and horse beans dry,7,Other crops
187,Peas dry,7,Other crops
191,Chick peas dry,7,Other crops
195,Cow peas dry,7,Other crops
197,Pigeon peas dry,7,Other crops
201,Lentils dry,7,Other crops
203,Bambara beans dry,7,Other crops
205,Vetches,7,Other crops
210,Lupins,7,Other crops
211,Other pulses n.e.c.,7,Other crops
216,Brazil nuts in shell,7,Other crops
217,Cashew nuts in shell,7,Other crops
220,Chestnuts in shell,7,Other crops
221,Almonds in shell,7,Other crops
222,Walnuts in shell,7,Other crops
223,Pistachios in shell,7,Other crops
224,Kola nuts,7,Other crops
225,Hazelnuts in shell,7,Other crops
226,Areca nuts,7,Other crops
234,Other nuts in shell n.e.c.,7,Other crops
236,Soya beans,2_1,Soybean
242,Groundnuts excluding shelled,2_3,Other oilseeds
249,Coconuts in shell,2_3,Other oilseeds
256,Palm kernels,2_2,Palm
257,Palm oil,2_2,Palm
260,Olives,2_3,Other oilseeds
263,Karite nuts (sheanuts),2_3,Other oilseeds
265,Castor oil seeds,2_3,Other oilseeds
267,Sunflower seed,2_3,Other oilseeds
270,Rape or colza seed,2_3,Other oilseeds
275,Tung nuts,2_3,Other oilseeds
277,Jojoba seeds,2_3,Other oilseeds
280,Safflower seed,2_3,Other oilseeds
289,Sesame seed,2_3,Other oilseeds
292,Mustard seed,2_3,Other oilseeds
296,Poppy seed,2_3,Other oilseeds
299,Melonseed,2_3,Other oilseeds
305,Tallowtree seed,2_3,Other oilseeds
311,Kapokseed in shell,2_3,Other oilseeds
329,Cotton seed,6,Fiber crops
333,Linseed,2_3,Other oilseeds
336,Hempseed,2_3,Other oilseeds
339,Other oil seeds n.e.c.,2_3,Other oilseeds
358,Cabbages,3_1,Vegetables
366,Artichokes,3_1,Vegetables
367,Asparagus,3_1,Vegetables
372,Lettuce and chicory,3_1,Vegetables
373,Spinach,3_1,Vegetables
378,Cassava leaves,3_1,Vegetables
388,Tomatoes,3_1,Vegetables
393,Cauliflowers and broccoli,3_1,Vegetables
394,Pumpkins squash and gourds,3_1,Vegetables
397,Cucumbers and gherkins,3_1,Vegetables
399,Eggplants (aubergines),3_1,Vegetables
401,Chillies and peppers green,3_1,Vegetables
402,Onions and shallots green,3_1,Vegetables
403,Onions and shallots dry,3_1,Vegetables
406,Green garlic,3_1,Vegetables
407,Leeks and other alliaceous vegetables,3_1,Vegetables
