"earthstat_name","item_prod_code","item_prod_name","unmapped_reason","in_raster_archive","pattern_group"
"abaca",821,"Other fibre crops, raw, n.e.c.",,TRUE,
"agave",800,"Agave fibres, raw, n.e.c.",,TRUE,
"alfalfa",,,"no_fao_crop_name",TRUE,
"almond",221,"Almonds, in shell",,TRUE,
"aniseetc",711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,TRUE,
"apple",515,"Apples",,TRUE,
"apricot",526,"Apricots",,TRUE,
"areca",226,"Areca nuts",,TRUE,
"artichoke",366,"Artichokes",,TRUE,
"asparagus",367,"Asparagus",,TRUE,
"avocado",572,"Avocados",,TRUE,
"bambara",203,"Bambara beans, dry",,TRUE,
"banana",486,"Bananas",,TRUE,
"barley",44,"Barley",,TRUE,
"bean",176,"Beans, dry",,TRUE,
"beetfor",,,"no_fao_crop_name",TRUE,
"berrynes",558,"Other berries and fruits of the genus vaccinium n.e.c.",,TRUE,
"blueberry",552,"Blueberries",,TRUE,
"brazil",216,"Brazil nuts, in shell",,TRUE,
"broadbean",181,"Broad beans and horse beans, dry",,TRUE,
"buckwheat",89,"Buckwheat",,TRUE,
"cabbage",358,"Cabbages",,TRUE,
"cabbagefor",,,"no_fao_crop_name",TRUE,
"canaryseed",101,"Canary seed",,TRUE,
"carob",461,"Locust beans (carobs)",,TRUE,
"carrot",426,"Carrots and turnips",,TRUE,
"carrotfor",,,"no_fao_crop_name",TRUE,
"cashew",217,"Cashew nuts, in shell",,TRUE,
"cashewapple",,,"unmapped",TRUE,
"cassava",125,"Cassava, fresh",,TRUE,
"castor",265,"Castor oil seeds",,TRUE,
"cauliflower",393,"Cauliflowers and broccoli",,TRUE,
"cerealnes",108,"Cereals n.e.c.",,TRUE,
"cherry",531,"Cherries",,TRUE,
"chestnut",220,"Chestnuts, in shell",,TRUE,
"chickpea",191,"Chick peas, dry",,TRUE,
"chicory",372,"Lettuce and chicory",,TRUE,
"chilleetc",401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,TRUE,
"cinnamon",693,"Cinnamon and cinnamon-tree flowers, raw",,TRUE,
"citrusnes",512,"Other citrus fruit, n.e.c.",,TRUE,
"clove",698,"Cloves (whole stems), raw",,TRUE,
"clover",,,"no_fao_crop_name",TRUE,
"cocoa",661,"Cocoa beans",,TRUE,
"coconut",249,"Coconuts, in shell",,TRUE,
"coffee",656,"Coffee, green",,TRUE,
"coir",,,"unmapped",FALSE,
"cotton",328,"Seed cotton, unginned",,TRUE,
"cowpea",195,"Cow peas, dry",,TRUE,
"cranberry",554,"Cranberries",,TRUE,
"cucumberetc",397,"Cucumbers and gherkins",,TRUE,
"currant",550,"Currants",,TRUE,
"date",577,"Dates",,TRUE,
"eggplant",399,"Eggplants (aubergines)",,TRUE,
"fibrenes",821,"Other fibre crops, raw, n.e.c.",,TRUE,
"fig",569,"Figs",,TRUE,
"flax",773,"Flax, processed but not spun",,TRUE,
"fonio",94,"Fonio",,TRUE,
"fornes",,,"no_fao_crop_name",TRUE,
"fruitnes",619,"Other fruits, n.e.c.",,TRUE,
"garlic",406,"Green garlic",,TRUE,
"ginger",720,"Ginger, raw",,TRUE,
"gooseberry",549,"Gooseberries",,TRUE,
"grape",560,"Grapes",,TRUE,
"grapefruitetc",507,"Pomelos and grapefruits",,TRUE,
"grassnes",,,"no_fao_crop_name",TRUE,
"greenbean",414,"Other beans, green",,TRUE,
"greenbroadbean",181,"Broad beans and horse beans, dry",,TRUE,
"greencorn",446,"Green corn (maize)",,TRUE,
"greenonion",402,"Onions and shallots, green",,TRUE,
"greenpea",417,"Peas, green",,TRUE,
"groundnut",242,"Groundnuts, excluding shelled",,TRUE,
"gums",,,"unmapped",FALSE,
"hazelnut",225,"Hazelnuts, in shell",,TRUE,
"hemp",777,"True hemp, raw or retted",,TRUE,"hemp"
"hempseed",336,"Hempseed",,TRUE,"hemp"
"hop",677,"Hop cones",,TRUE,
"jute",780,"Jute, raw or retted",,TRUE,
"jutelikefiber",780,"Jute, raw or retted",,TRUE,
"kapokfiber",778,"Kapok fibre, raw",,TRUE,
"kapokseed",339,"Other oil seeds, n.e.c.",,TRUE,
"karite",263,"Karite nuts (sheanuts)",,TRUE,
"kiwi",592,"Kiwi fruit",,TRUE,
"kolanut",224,"Kola nuts",,TRUE,
"legumenes",463,"Other vegetables, fresh n.e.c.",,TRUE,
"lemonlime",497,"Lemons and limes",,TRUE,
"lentil",201,"Lentils, dry",,TRUE,
"lettuce",372,"Lettuce and chicory",,TRUE,
"linseed",333,"Linseed",,TRUE,
"lupin",210,"Lupins",,TRUE,
"maize",56,"Maize (corn)",,TRUE,
"maizefor",,,"no_fao_crop_name",TRUE,
"mango",571,"Mangoes, guavas and mangosteens",,TRUE,
"mate",671,"Mate leaves",,TRUE,
"melonetc",568,"Cantaloupes and other melons",,TRUE,
"melonseed",299,"Melonseed",,TRUE,
"millet",79,"Millet",,TRUE,
"mixedgrain",103,"Mixed grain",,TRUE,
"mixedgrass",,,"no_fao_crop_name",TRUE,
"mushroom",449,"Mushrooms and truffles",,TRUE,
"mustard",292,"Mustard seed",,TRUE,
"nutmeg",702,"Nutmeg, mace, cardamoms, raw",,TRUE,
"nutnes",234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",,TRUE,
"oats",75,"Oats",,TRUE,
"oilpalm",254,"Oil palm fruit",,TRUE,
"oilseedfor",,,"no_fao_crop_name",TRUE,
"oilseednes",339,"Other oil seeds, n.e.c.",,TRUE,
"okra",430,"Okra",,TRUE,
"olive",260,"Olives",,TRUE,
"onion",403,"Onions and shallots, dry (excluding dehydrated)",,TRUE,
"orange",490,"Oranges",,TRUE,
"papaya",600,"Papayas",,TRUE,
"pea",187,"Peas, dry",,TRUE,
"peachetc",534,"Peaches and nectarines",,TRUE,
"pear",521,"Pears",,TRUE,
"pepper",687,"Pepper (Piper spp.), raw",,TRUE,
"peppermint",748,"Peppermint, spearmint",,TRUE,
"persimmon",587,"Persimmons",,TRUE,
"pigeonpea",197,"Pigeon peas, dry",,TRUE,
"pimento",723,"Other stimulant, spice and aromatic crops, n.e.c.",,TRUE,
"pineapple",574,"Pineapples",,TRUE,
"pistachio",223,"Pistachios, in shell",,TRUE,
"plantain",489,"Plantains and cooking bananas",,TRUE,
"plum",536,"Plums and sloes",,TRUE,
