Year,area_code,area_code_p,Element,item,Unit,Value,area,area_p,Country_share
1995,33,202,Import,Coffee and products,tonnes,2,Canada,South Africa,1.46436468538125e-5
1989,231,236,Export,Coconut Oil,tonnes,23,United States of America,Venezuela,7.7132029913813e-4
1988,231,210,Export,Wheat and products,tonnes,434,United States of America,Sweden,1.04449794702003e-5
2012,100,150,Export,Rubber,tonnes,100,India,Netherlands,0.00745323097562794
2001,231,237,Export,Wine,tonnes,53,United States of America,Viet Nam,1.8681969432068e-4
2018,10,229,Import,Coffee and products,tonnes,773.14,Australia,United Kingdom,0.00693151122885274
2001,121,112,Import,Pigmeat,tonnes,16,Lebanon,Jordan,0.00295693956754759
2008,68,222,Export,"Oilcrops, Other",tonnes,12,France,Tunisia,6.4253587491968e-4
2020,200,38,Export,Maize and products,tonnes,1150.2,Singapore,Sri Lanka,0.0163525624985783
2011,100,68,Export,Infant food,tonnes,1,India,France,8.20142704830641e-5
1987,150,84,Export,Groundnuts,tonnes,2174,Netherlands,Greece,0.100862948872599
2018,149,216,Import,Cocoa Beans and products,tonnes,2.26,Nepal,Thailand,3.7843395322824e-4
2014,202,207,Export,Apples and products,tonnes,72.66,South Africa,Suriname,1.7602679328385e-4
2014,32,74,Export,Plantains,tonnes,1,Cameroon,Gabon,0.166666666666667
2005,215,226,Import,Tobacco,tonnes,1795,Tanzania,Uganda,0.518037518037518
1988,40,15,Export,Fodder vegetables and roots,tonnes,56,Chile,Belgium-Luxembourg,0.0216132767271324
2017,27,210,Import,Barley and products,tonnes,7.33,Bulgaria,Sweden,3.0573756371791e-4
2011,137,9,Import,Tomatoes and products,tonnes,467,Mauritius,Argentina,0.116226978596317
2020,223,191,Export,Poultry Meat,tonnes,1.52,Turkey,Saint Vincent and the Grenadines,2.72020366307994e-6
2013,97,80,Export,Soyabeans,tonnes,1268,Hungary,Bosnia and Herzegovina,0.0327851897817768
1988,15,68,Export,Jute,tonnes,3006,Belgium-Luxembourg,France,0.542403464453266
2011,60,41,Import,Wine,tonnes,1,El Salvador,"China, mainland",4.6685340802987e-4
1998,96,150,Import,Onions,tonnes,626,"China, Hong Kong SAR",Netherlands,0.0325753239319353
2020,166,95,Export,Rice and products,tonnes,0.06,Panama,Honduras,1.2450715916165e-4
1989,68,134,Export,Rape and Mustard Oil,tonnes,1,France,Malta,2.98061704734114e-6
2006,203,63,Export,Olive Oil,tonnes,133,Spain,Estonia,2.4897321946708e-4
2010,156,70,Export,Soyabeans,tonnes,3,New Zealand,French Polynesia,0.09375
1989,229,105,Export,"Fats, Animals, Raw",tonnes,16,United Kingdom,Israel,6.6539133327788e-4
2015,179,100,Import,Rape and Mustardseed,tonnes,211.37,Qatar,India,0.398442948971705
2014,52,185,Import,Palm Oil,tonnes,1.5,Azerbaijan,Russian Federation,3.12883869397267e-5
2019,225,194,Export,Sheep,Head,423,United Arab Emirates,Saudi Arabia,0.0380566801619433
2000,134,181,Import,"Fruits, Other",tonnes,17,Malta,Zimbabwe,0.00353063343717549
2018,230,185,Import,Cotton lint,tonnes,18,Ukraine,Russian Federation,0.00575631595778702
1987,96,150,Export,Eggs,tonnes,11,"China, Hong Kong SAR",Netherlands,0.00406955234924158
1988,124,100,Import,Pepper,tonnes,329,Libya,India,0.38389731621937
2013,41,59,Export,"Spices, Other",tonnes,2499,"China, mainland",Egypt,0.00578599460529515
2015,203,119,Export,Soyabean Oil,tonnes,1.6,Spain,Latvia,3.88355773500816e-6
2011,134,229,Export,Other,tonnes,646,Malta,United Kingdom,0.0271018627286457
1994,9,143,Export,"Citrus, Other",tonnes,251,Argentina,Morocco,0.0162796731093527
2013,255,68,Import,Soyabean Cake,tonnes,25561,Belgium,France,0.02478344422101
2019,104,207,Export,Milk - Excluding Butter,tonnes,325,Ireland,Suriname,4.2253877469319e-4
2007,195,231,Export,Wheat and products,tonnes,8,Senegal,United States of America,3.2678403659981e-4
2009,105,183,Export,Coffee and products,tonnes,482,Israel,Romania,0.299564947172157
2004,220,91,Export,Rice and products,tonnes,50,Trinidad and Tobago,Guyana,0.00661463156502183
2016,41,103,Export,Eggs,tonnes,0.5,"China, mainland",Iraq,4.84646871749837e-6
2001,96,81,Export,Soyabeans,tonnes,26,"China, Hong Kong SAR",Ghana,6.4115210100611e-4
1999,89,60,Export,Potatoes and products,tonnes,28366,Guatemala,El Salvador,0.6348133560111
1999,229,104,Export,Pimento,tonnes,56,United Kingdom,Ireland,0.137931034482759
2017,223,106,Export,"Pulses, Other and products",tonnes,8300.6,Turkey,Italy,0.0288027120061221
2003,223,7,Export,"Fruits, Other",tonnes,50,Turkey,Angola,1.1965243361084e-4
1997,21,9,Export,Pigmeat,tonnes,27065,Brazil,Argentina,0.406283775669509
2018,999,21,Import,Cotton lint,tonnes,9534,RoW,Brazil,0.0476914611575209
1998,106,186,Export,Peas,tonnes,24,Italy,Serbia and Montenegro,0.0229665071770335
2007,231,84,Export,Cottonseed,tonnes,423,United States of America,Greece,7.3583645295517e-4
1990,231,220,Export,Bovine Meat,tonnes,305,United States of America,Trinidad and Tobago,8.7987283673887e-4
2019,156,101,Import,Coffee and products,tonnes,415.14,New Zealand,Indonesia,0.0201532978851999
2010,198,52,Export,Cocoa Beans and products,tonnes,14,Slovenia,Azerbaijan,0.00277227722772277
2006,105,255,Import,Tobacco,tonnes,3469,Israel,Belgium,0.438337124083902
