Year,area,area_code,item,item_code,Element,Value
1968,Thailand,216,Aquatic Plants,2775,Processing,0
2011,Belarus,57,Bovine Meat,2731,Production,297800
1962,Czechoslovakia,51,Soyabean Cake,2590,Stock_variation,0
1973,Costa Rica,48,"Fats, Animals, Raw",2737,Production,6656.11775863483
1987,Philippines,171,Other crop residues,2106,Processing,0
2012,Madagascar,129,Straw,2105,Other_uses,0
1980,Norway,162,"Fats, Animals, Raw",2737,Feed,0
2001,Hungary,97,"Fish, Body Oil",2781,Seed,0
2021,DR Congo,250,Grapefruit and products,2613,Import,0
1968,South Africa,202,Rice and products,2807,Stock_variation,0
1986,Gabon,74,Tomatoes and products,2601,Stock_variation,0
2006,Turkey,223,"Sweeteners, Other",2543,Seed,0
2019,Mexico,138,Rice and products,2807,Domestic_supply,1412000
1966,Japan,110,"Roots, Other",2534,Import,16
2013,Argentina,9,Freshwater Fish,2761,Processing,0
1961,Bulgaria,27,Honey,2745,Food,1909.5
2018,Guinea-Bissau,175,Potatoes and products,2531,Other_uses,0
1974,Sri Lanka,38,Sugar non-centrifugal,2541,Food,5240.68964336875
1993,Moldova,146,"Beverages, Alcoholic",2658,Food,5978.5
1969,Romania,183,"Marine Fish, Other",2764,Other_uses,0
1998,Germany,79,Brans,2111,Feed,28110.705
1997,Solomon Islands,25,Potatoes and products,2531,Seed,0
2009,Oman,221,Bovine Meat,2731,Processing,0
2009,Luxembourg,256,Groundnuts,2552,Food,434
1980,New Zealand,156,"Aquatic Animals, Others",2769,Domestic_supply,76
1976,Yemen,249,Wool (Clean Eq.),2746,Domestic_supply,4997
1989,Angola,7,Nuts and products,2551,Feed,0
2000,El Salvador,60,Cottonseed,2559,Processing,1107.5
1992,Madagascar,129,"Butter, Ghee",2740,Seed,0
1971,Mexico,138,"Marine Fish, Other",2764,Other_uses,1000
2017,Ghana,81,Molasses,2544,Export,0
1970,Czechoslovakia,51,Cotton lint,2661,Feed,0
2002,Algeria,4,Dates,2619,Processing,0
1977,Kuwait,118,"Sweeteners, Other",2543,Domestic_supply,2869
1987,Switzerland,211,Tobacco,2671,Export,18292
1966,Germany,79,"Fats, Animals, Raw",2737,Other_uses,354789.63528915
1991,Trinidad and Tobago,220,Rice and products,2807,Processing,0
2014,North Korea,116,Rye and products,2515,Other_uses,0
2020,Yemen,249,"Fruits, Other",2625,Other_uses,0
1963,Ivory Coast,107,Barley and products,2513,Other_uses,0
1986,Iraq,103,Sugar beet,2537,Other_uses,0
1976,Philippines,171,Hides and skins,2748,Processing,0
2012,Azerbaijan,52,"Fats, Animals, Raw",2737,Seed,0
2003,Grenada,86,Freshwater Fish,2761,Production,0
2020,Germany,79,"Oranges, Mandarines",2611,Export,636000
