Year,area,item_prod,item_cbs,item_cbs_crop,Name_biomass,Product_residue,Prod_ygpit_Mg,Area_ygpit_ha
2011,Hungary,Quinces,"Fruits, Other","Fruits, Other",Quince,Product,1118,170
1998,Poland,Mushrooms and truffles,"Vegetables, Other","Vegetables, Other",Mushrooms,Product,103213.72,244.641912014574
2003,Benin,Karite nuts (sheanuts),Firewood,"Oilcrops, Other",Nuts nes,Residue,19903.181203118907,NA
1971,Bangladesh,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,5100,11300
2008,Iran,"Pistachios, in shell",Firewood,Nuts and products,Pistachios,Residue,222848.55,NA
2001,Venezuela,Green garlic,Other crop residues,"Vegetables, Other",Garlic,Residue,897.2800000000001,NA
2021,Italy,Soya beans,Soyabeans,Soyabeans,Soyabeans,Product,923470,285460
2020,Japan,Peaches and nectarines,"Fruits, Other","Fruits, Other",Peach,Product,98900,9290
1981,Mauritania,Watermelons,Other crop residues,"Vegetables, Other",Watermelon,Residue,420.7950000000001,NA
2019,Lebanon,"Peas, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,19702.5531976,NA
2014,Austria,Sour cherries,"Fruits, Other","Fruits, Other",Berries nes,Product,748.69,145
2005,Chile,Raspberries,Firewood,"Fruits, Other",Raspberries,Residue,5904.029674233968,NA
2001,Morocco,"Broad beans and horse beans, dry","Pulses, Other and products","Pulses, Other and products",Fava bean,Product,82020,142500
1978,Panama,Carrots and turnips,Other crop residues,"Vegetables, Other",Carrot,Residue,827.59428834754,NA
2021,Norway,"Onions and shallots, green","Vegetables, Other","Vegetables, Other",Onion,Product,29291,1076
1996,Niger,"Chick peas, dry",Straw,"Pulses, Other and products",Chickpea,Residue,92.90160000000002,NA
1976,Australia,Lemons and limes,Firewood,"Lemons, Limes and products",Lemon,Residue,5401.124254623044,NA
1978,Peru,Artichokes,"Vegetables, Other","Vegetables, Other",Artichoke,Product,1161,189
1991,Bulgaria,Cauliflowers and broccoli,"Vegetables, Other","Vegetables, Other",Cauliflower,Product,2392,163
2012,Albania,"Other beans, green",Other crop residues,"Vegetables, Other","Beans, green",Residue,10079.999999999998,NA
2012,Senegal,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Firewood,Nuts and products,Nuts nes,Residue,5548.333333333334,NA
1988,Zambia,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,18404,44555
2002,Kyrgyzstan,"Other stimulant, spice and aromatic crops, n.e.c.",Other crop residues,"Spices, Other","Spices, Other",Residue,551.5965,NA
1964,Greece,Melonseed,Other crop residues,"Oilcrops, Other","Oilcrops, other",Residue,3867.7247748480945,NA
1963,Tunisia,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,5,6
2012,Indonesia,Green corn (maize),Other crop residues,"Vegetables, Other","Vegetables, other",Residue,320373.8567133808,NA
1985,Germany,"Broad beans and horse beans, dry",Straw,"Pulses, Other and products",Fava bean,Residue,83808.06546226931,NA
1963,Turkey,Dates,Firewood,Dates,Dates,Residue,263.69999999999993,NA
1994,Nepal,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,2907,3180
2000,Yemen,Carrots and turnips,Other crop residues,"Vegetables, Other",Carrot,Residue,5353.630504106195,NA
1966,RoW,Figs,Firewood,"Fruits, Other",Figs,Residue,28992.774193548394,NA
1999,North Korea,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,62000,8400
2000,Honduras,"Pumpkins, squash and gourds","Vegetables, Other","Vegetables, Other","Squash, pumpkin",Product,2500,192
1979,Iran,Cucumbers and gherkins,"Vegetables, Other","Vegetables, Other",Cucumber,Product,600000,56000
1977,Guatemala,Rice,Straw,Rice and products,Rice,Residue,25653.561600000005,NA
1983,Bangladesh,Lettuce and chicory,"Vegetables, Other","Vegetables, Other",Lettuce,Product,46240,9036
2011,Malta,Vetches,Straw,"Pulses, Other and products",Vetch,Residue,626.64,NA
1982,Burkina Faso,Karite nuts (sheanuts),"Oilcrops, Other","Oilcrops, Other",Nuts nes,Product,80000,32000
2021,French Polynesia,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,45.615570000000005,NA
2008,Peru,Pineapples,Firewood,Pineapples and products,Pineapple,Residue,554412.5538461538,NA
1969,Italy,Temporary grassland,Temporary grassland,Temporary grassland,Grass,Product,25249741.0357586,528200
1969,Uruguay,Green garlic,Other crop residues,"Vegetables, Other",Garlic,Residue,113.49000000000002,NA
1963,Mali,Other pulses n.e.c.,Straw,"Pulses, Other and products",Pulses nes,Residue,259.3117402877457,NA
2003,Uganda,"Cassava, fresh",Cassava and products,Cassava and products,Cassava,Product,5450000,405000
1973,RoW,"Other fibre crops, raw, n.e.c.","Hard Fibres, Other","Hard Fibres, Other","Fibres, other",Product,4520,408
1979,Uruguay,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,9318.996888245852,NA
2016,Bulgaria,Apples,Firewood,Apples and products,Apple,Residue,12516.3282547266,NA
1985,Thailand,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,66500,7600
2012,Albania,"Other stimulant, spice and aromatic crops, n.e.c.",Other crop residues,"Spices, Other","Spices, Other",Residue,945,NA
2005,Tanzania,"Cassava, fresh",Other crop residues,Cassava and products,Cassava,Residue,3582160.9241,NA
1990,Greece,Eggplants (aubergines),Other crop residues,"Vegetables, Other",Aubergine,Residue,33841.090757599995,NA
1970,Hungary,"Hazelnuts, in shell",Firewood,Nuts and products,Hazelnut,Residue,397.4684999999999,NA
1966,France,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,42387.6453,NA
2012,Sudan,Other pulses n.e.c.,Straw,"Pulses, Other and products",Pulses nes,Residue,69149.79741006553,NA
1967,Poland,Mixed grain,Straw,"Cereals, Other",Cereals nes,Residue,774511.71875,NA
1977,Iraq,"Pumpkins, squash and gourds",Other crop residues,"Vegetables, Other","Squash, pumpkin",Residue,4626.604363636364,NA
2006,Kyrgyzstan,"Walnuts, in shell",Firewood,Nuts and products,Walnut,Residue,6074.999999999999,NA
1991,India,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,241045504,3686000
1997,Peru,Pears,Firewood,"Fruits, Other",Pear,Residue,2470.0108596825394,NA
2015,United States of America,Cantaloupes and other melons,Other crop residues,"Vegetables, Other",Melon,Residue,181478.22,NA
1978,Indonesia,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,104174.862792,NA
1978,Ivory Coast,"Cassava, fresh",Cassava and products,Cassava and products,Cassava,Product,1056936,204046
1974,Thailand,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento,Pimento,"Chili pepper and peppers, dry",Product,59800,31536
2007,Albania,Cantaloupes and other melons,"Vegetables, Other","Vegetables, Other",Melon,Product,40000,1800
2011,United Kingdom,Cherries,"Fruits, Other","Fruits, Other",Cherries,Product,1501,550
1979,"China, mainland","Other beans, green","Vegetables, Other","Vegetables, Other","Beans, green",Product,1180000,130000
1983,Liberia,Sweet potatoes,Other crop residues,Sweet potatoes,Sweet potato,Residue,11724.9156825,NA
1971,Uruguay,Green corn (maize),Other crop residues,"Vegetables, Other","Vegetables, other",Residue,1535.0344835400135,NA
1993,Japan,Bananas,Firewood,Bananas,"Bananas, platains",Residue,814.176,NA
1998,Belgium-Luxembourg,Oats,Straw,Oats,Oats,Residue,31772.961224307695,NA
1971,Central African Republic,Cocoa beans,Cocoa Beans and products,Cocoa Beans and products,Cocoa beans,Product,30,1100
2014,Croatia,Green corn (maize),"Vegetables, Other","Vegetables, Other","Vegetables, other",Product,1015614,28794
2000,Belgium,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Vegetables, Other","Vegetables, Other",Pepper,Product,17770,100
1988,Fiji,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,63,212
2011,Egypt,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,18942,7552
2018,Serbia,Peaches and nectarines,Firewood,"Fruits, Other",Peach,Residue,13082.414973902836,NA
1999,Japan,Barley,Straw,Barley and products,Barley,Residue,297792.13597759383,NA
1983,Uruguay,"Pumpkins, squash and gourds",Other crop residues,"Vegetables, Other","Squash, pumpkin",Residue,2083.418181818182,NA
1968,Nicaragua,Bananas,Firewood,Bananas,"Bananas, platains",Residue,82593,NA
1991,France,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,2610871.9,1069745
2021,Kuwait,"Broad beans and horse beans, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,619.911144,NA
1986,Panama,Avocados,"Fruits, Other","Fruits, Other",Avocado,Product,2015,590
2010,Cameroon,"Chestnuts, in shell",Firewood,Nuts and products,Chestnut,Residue,190.22857142857143,NA
2003,Colombia,"Peas, green","Vegetables, Other","Vegetables, Other","Pea, green, with pod",Product,37138.9413922365,32899.6870985507
2020,Myanmar,Sunflower seed,Sunflower seed,Sunflower seed,Sunflower seed,Product,210394,239610
1998,Belgium-Luxembourg,Carrots and turnips,"Vegetables, Other","Vegetables, Other",Carrot,Product,130800,2900
2000,Germany,Carrots for fodder,Other crop residues,Fodder vegetables and roots,"Carrot, for fodder",Residue,0,NA
2007,Antigua and Barbuda,Taro,"Roots, Other","Roots, Other","Roots, other",Product,42.94,11
1983,Ireland,Tomatoes,Other crop residues,Tomatoes and products,Tomato,Residue,14465.858073333337,NA
2007,Mexico,"Onions and shallots, green","Vegetables, Other","Vegetables, Other",Onion,Product,80000,7000
2019,Cameroon,Apricots,"Fruits, Other","Fruits, Other",Apricot,Product,924.25,179
1969,Turkey,Leeks and other alliaceous vegetables,"Vegetables, Other","Vegetables, Other",Leek,Product,272299,29000
1989,Honduras,"Pepper (Piper spp.), raw",Other crop residues,Pepper,"Spices, Other",Residue,1168.1600000000003,NA
2007,Bosnia and Herzegovina,"Forage and silage, alfalfa",Other crop residues,Fodder legumes,Alfalfa,Residue,0,NA
2004,Saint Vincent and the Grenadines,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,610,215
1982,Burundi,Potatoes,Other crop residues,Potatoes and products,Potato,Residue,19073.25,NA
1998,Guatemala,Sugar cane,Other crop residues,Sugar cane,Sugarcane,Residue,7072030.944000001,NA
1963,Denmark,Carrots for fodder,Other crop residues,Fodder vegetables and roots,"Carrot, for fodder",Residue,0,NA
1997,Serbia and Montenegro,"Forage and silage, legumes",Other crop residues,Fodder legumes,Other legumes for green fodder,Residue,0,NA
1987,Togo,Sweet potatoes,Sweet potatoes,Sweet potatoes,Sweet potato,Product,4127,792
2021,Senegal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Other crop residues,Pimento,"Chili pepper and peppers, dry",Residue,1191.65807607,NA
1986,Sierra Leone,Sesame seed,Sesame seed,Sesame seed,"Oilcrops, other",Product,1800,3300
1983,"China, mainland",Pomelos and grapefruits,Firewood,Grapefruit and products,Grapefruit,Residue,4051.425143256687,NA
1988,Ecuador,Grapes,Firewood,Grapes and products (excl wine),Grapevine,Residue,75.64745531463755,NA
2010,Barbados,"Other fruits, n.e.c.","Fruits, Other","Fruits, Other",Fruits,Product,1034.54,91
2020,Uruguay,Rice,Straw,Rice and products,Rice,Residue,1160640,NA
1971,Cambodia,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,263000,3700
2021,Guinea-Bissau,"Seed cotton, unginned",Seed cotton,Seed cotton,Seed cotton,Product,5232.5,4899
1994,Israel,Maize (corn),Maize and products,Maize and products,Maize,Product,65792,6350
2010,Burundi,"Peas, dry",Straw,Peas,Pea,Residue,19468.13760655523,NA
2001,Lao,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento,Pimento,"Chili pepper and peppers, dry",Product,5000,1560
