Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1983,Belgium-Luxembourg,Horses,DDGS Barley,crops,crops,17.4112389963398,18.9458530972141,21.0509478857934,2.10509478857934,0.0999999999999997
1985,Zambia,Goats,Grassland,grass,grass,53923.1349634668,269615.674817334,269615.674817334,0,0
2021,Tunisia,"Chickens, layers","Fish, Body Oil",animals,animals,31.702342096554,32.349328669953,35.94369852217,3.594369852217,0.1
2017,Israel,Turkeys,"Oilseed Cakes, Other",crops,crops,1397.23320263178,1554.35231589704,1727.05812877449,172.705812877449,0.1
2000,Chad,"Chickens, broilers",Other crop residues,residues,residues,10252.5444003102,11395.9367176475,12662.1519084972,1266.21519084972,0.0999999999999999
1968,Greece,Goats,Fodder vegetables and roots,residues,residues,271.390674265198,2713.90674265198,3015.45193627998,301.545193627997,0.0999999999999997
2008,Peru,"Chickens, broilers",Palmkernel Cake,crops,crops,3532.03935280176,3864.37565952053,4293.75073280059,429.375073280059,0.1
2015,Albania,Sheep,DDGS,crops,crops,32.7072485545146,36.100715843835,40.1119064931501,4.011190649315,0.1
2002,Germany,"Chickens, layers",Rape and Mustardseed,crops,crops,3109.21177013063,3409.22343216078,3788.0260357342,378.80260357342,0.1
2014,"China, mainland",Ducks,Sorghum and products,crops,crops,115611.060575823,133654.405289968,148504.894766631,14850.4894766631,0.0999999999999999
1990,Puerto Rico,Pigs,Eggs,animals,animals,0.0105047417070774,0.0445116174028703,0.0494573526698559,0.0049457352669856,0.1
1974,"China, Taiwan","Chickens, layers",Rape and Mustardseed,crops,crops,35.812482695141,39.2680731306371,43.6311923673745,4.36311923673745,0.1
1973,Iraq,Sheep,"Oilcrops, Other",crops,crops,0.0764435337197524,0.0830983245436207,0.0923314717151341,0.00923314717151341,0.1
1965,Mexico,Sheep,Rye and products,crops,crops,4.9622349704296186e-18,5.664651792727879e-18,6.29405754747542e-18,6.294057547475408e-19,0.1
1997,Honduras,"Cattle, non-dairy","Oilseed Cakes, Other",crops,crops,419.965737112928,467.19095627655,519.1010625295,51.91010625295,0.1
1993,Kazakhstan,Rabbits and hares,Sugar beet,crops,crops,1.5879316835034e-4,6.3517267340136e-4,7.057474148904e-4,7.05747414890405e-5,0.1
2012,Eswatini,Pigs,Sugar cane,crops,crops,885.088046495143,3000.2984626954,3333.66495855044,333.366495855044,0.1
1995,Algeria,"Chickens, layers",Fodder vegetables and roots,residues,residues,14072.5623163432,140725.623163432,156361.803514925,15636.1803514925,0.1
2014,Uganda,Sheep,Groundnut Cake,crops,crops,7.20547724678303,7.90074259515683,8.77860288350759,0.877860288350759,0.1
1991,France,"Cattle, non-dairy","Oilseed Cakes, Other",crops,crops,49039.4314591336,54553.9239371098,60615.4710412331,6061.5471041233,0.0999999999999998
1996,Ecuador,"Cattle, non-dairy",Barley and products,crops,crops,1.95309741928247e-13,2.20688973930222e-13,2.4520997103358e-13,2.4520997103358e-14,0.1
2008,Bulgaria,"Cattle, non-dairy",Pelagic Fish,animals,animals,233.30142326081,933.205693043241,1155.72256359255,222.516870549307,0.192534850109369
2000,Qatar,Goats,Maize and products,crops,crops,2.56983803625493e-14,2.9812506221054904e-14,3.31250069122832e-14,3.3125006912283104e-15,0.0999999999999998
1989,Burkina Faso,Asses,Other crop residues,residues,residues,15147.0533115409,16836.2948998232,27572.226449285,10735.9315494618,0.389374850420909
2003,Argentina,Geese,Wheat and products,crops,crops,11.1713835748798,12.7091963309212,14.1213292565791,1.41213292565791,0.1
2001,Romania,Goats,"Fish, Body Oil",animals,animals,0.0577541568318082,0.0589328130936819,0.0654809034374243,0.00654809034374242,0.1
2010,Jamaica,"Chickens, broilers",Sweet potatoes,crops,crops,594.889230664921,2305.77221187954,2561.9691243106,256.196912431059,0.0999999999999999
2003,Cambodia,"Cattle, dairy",Soyabean Cake,crops,crops,7.42583870022945e-15,8.438453068442551e-15,9.37605896493617e-15,9.37605896493617e-16,0.1
2004,Jamaica,"Cattle, non-dairy",Bananas,crops,crops,14.2581672891026,57.2617160204922,63.624128911658,6.3624128911658,0.1
2015,Guyana,Sheep,Maize and products,crops,crops,271.728639958279,315.230440786866,822.773936047991,507.543495261125,0.61686870843162
2010,Philippines,"Chickens, layers",Oats,crops,crops,225.907816303316,260.462509189065,289.40278798785,28.940278798785,0.1
1982,Suriname,Pigs,Peas,crops,crops,18.8898585891647,20.6183648417297,25.519911953765,4.90154711203527,0.192067555754719
