Year,area,area_code,ProcessedItem,Element,Value,item_code,Item,Product_fraction,value_proc_raw,item,Scaling,cf,value_proc
2012,Sri Lanka,38,Sesame seed,Production,1097.17295102951,2561,Sesameseed Cake,0.470365238617148,516.072016915278,Sesameseed Cake,0.852594183714932,0.401030666666667,440
2009,Myanmar,28,Sugar beet,Production,372811.553019202,2537,Sugar (Raw Equivalent),0.106139325311717,39569.9667058715,Sugar (Raw Equivalent),0.0209663222005475,0.00222535129263419,829.63667142024
1992,Japan,110,Sugar beet,Production,3581000,2537,Molasses,0.0382962122561878,137138.736089409,Molasses,0.545626311288733,0.0208954210296741,74826.502707263
1965,Czechoslovakia,51,Soyabeans,Production,25085,2555,Soyabean Oil,0.175494095787833,4402.2693928378,Soyabean Oil,0.963139604063805,0.169025313932629,4240
2008,Azerbaijan,52,Sugar beet,Production,94466.9329297646,2537,"Sweeteners, Other",0.0151992033840018,1435.82212666235,"Sweeteners, Other",4.96913326318862,0.0755268671094122,7134.79148962008
2000,Panama,166,Molasses,Production,25108,2544,"Sweeteners, Other",0.0541073977577724,1358.52854290215,"Sweeteners, Other",0.170061539873424,0.00920158738123061,231.033455967938
1962,New Zealand,156,Barley and products,Production,39030.662535485,2513,Beer,4.34535245024077,169601.98508309,Beer,0.650771533193908,2.8278316763111,110372.143865253
2010,Myanmar,28,Sugar beet,Production,374089.327859461,2537,"Beverages, Alcoholic",0.0179331578718156,6708.60297466508,"Beverages, Alcoholic",0.0710720554912753,0.00127454639139948,476.794202884331
1966,Lebanon,121,Sunflower seed,Production,23.7554347826087,2557,Sunflowerseed Cake,0.472955574601716,11.2352653075223,Sunflowerseed Cake,1.69110381285603,0.799816975520476,19
2015,United States of America,231,Cottonseed,Production,1142825.15073213,2559,Cottonseed Cake,0.51,582840.826873385,Cottonseed Cake,1.04292272312168,0.531890588792054,607857.94230928
1969,Netherlands,150,Apples and products,Production,5353.95364002447,2617,"Sweeteners, Other",0.00701627113542896,37.5647903849285,"Sweeteners, Other",2.13029503878557,0.0149467275905787,80.024086590033
2008,Madagascar,129,Molasses,Production,8000,2544,"Sweeteners, Other",0.0506640112800059,405.312090240047,"Sweeteners, Other",0.668920151696843,0.0338901781109921,271.121424887937
1997,Grenada,86,Sugar cane,Production,5482.98661506209,2536,Sugar (Raw Equivalent),0.105095901428693,576.23942083141,Sugar (Raw Equivalent),0.182382352941176,0.019167637787039,105.095901428693
1990,Iran,102,Apples and products,Production,1963.66675665575,2617,"Sweeteners, Other",0.0134483397600828,26.4080577190863,"Sweeteners, Other",3.55150948338879,0.0477619061937686,93.7884674272136
2018,New Zealand,156,Barley and products,Production,56102.7568922306,2513,"Alcohol, Non-Food",0.0189057026768866,1060.66204115816,"Alcohol, Non-Food",1.98404635007827,0.0375097903917418,2104.40265142642
1962,Zimbabwe,181,Groundnuts,Production,20363.7988993667,2552,Groundnut Oil,0.295718141449179,6021.94476336556,Groundnut Oil,0.833617742650035,0.246515889535528,5020
2012,Ireland,104,Sugar beet,Production,3000,2537,Sugarbeet pulp,0.84,2520,Sugarbeet pulp,1,0.84,2520
2014,Romania,183,Apples and products,Production,4021.85792349727,2617,"Beverages, Alcoholic",0.0186306759953947,74.9299318721884,"Beverages, Alcoholic",2.26846402702741,0.0422630182947559,169.975854999674
2011,Fiji,66,Coconuts - Incl Copra,Production,46118.0899696516,2560,Copra Cake,0.0768343270677582,3543.45240846851,Copra Cake,0.590666886056641,0.0453834927113703,2093
1992,Iran,102,Apples and products,Production,1382.47662150606,2617,"Sweeteners, Other",0.0137321726188953,18.9844076081083,"Sweeteners, Other",3.55157897759107,0.0487708955899202,67.4246229629775
2020,Thailand,216,Cottonseed,Production,1000,2559,Cottonseed Cake,0.51,510,Cottonseed Cake,1.02520640985615,0.522855269026637,522.855269026638
1967,Greece,84,"Oilcrops, Other",Production,10959,2570,"Oilcrops Oil, Other",0.392927608899357,4306.09366592805,"Oilcrops Oil, Other",1.35772708481945,0.533488456976001,5846.5
1989,Peru,170,Sugar cane,Production,7085000,2536,"Sweeteners, Other",0.0128201522303156,90830.7785517863,"Sweeteners, Other",0.0224776936445836,2.8816745430996e-4,2041.66641378607
1999,Mali,133,Barley and products,Production,1089.5,2513,"Alcohol, Non-Food",0.0230266031575242,25.0874841401226,"Alcohol, Non-Food",0.233962386898171,0.00538735903689133,5.86952767069311
1991,Paraguay,169,Sunflower seed,Production,14636.5714285714,2557,Sunflowerseed Cake,0.475320954945226,6957.06910855259,Sunflowerseed Cake,1.20553639314716,0.573016709611931,8387
2003,Czech Republic,167,"Cereals, Other",Production,134.299663638625,2520,"Alcohol, Non-Food",0.0428436503976567,5.75388783745613,"Alcohol, Non-Food",0.408296231187044,0.0174929009876585,2.34929071870631
1969,Zambia,251,Cottonseed,Production,1139,2559,Cottonseed Cake,0.479677216385511,546.352349463098,Cottonseed Cake,1.05243438701244,0.504828797190518,575
1975,Spain,203,Barley and products,Production,298462.517633241,2513,Beer,4.84433665522812,1445852.91438238,Beer,1.04269424532026,5.05116195280036,1507582.51340603
2009,Morocco,143,Sugar cane,Production,813020,2536,"Beverages, Alcoholic",0.0172362895463778,14013.4481269961,"Beverages, Alcoholic",0.0157633478140516,2.7170162714325e-4,220.898856900009
1987,Mali,133,Groundnuts,Production,73342.7542705109,2552,Groundnut Oil,0.295340804564502,21661.1080552292,Groundnut Oil,0.925529753551097,0.273346702062166,20048
2019,Papua New Guinea,168,Palm kernels,Production,140381.726130453,2562,Palmkernel Cake,0.52,72998.4975878358,Palmkernel Cake,1,0.52,72998.4975878358
1992,Madagascar,129,Palm kernels,Production,1900,2562,Palmkernel Oil,0.45215853820014,859.101222580265,Palmkernel Oil,1.05342650692765,0.476315789473684,905
1972,Sudan,206,Sorghum and products,Production,69701.5124543966,2518,DDGS,0.28,19516.423487231,DDGS,0.892125548074498,0.24979515346086,17411.1
1986,Zimbabwe,181,Soyabeans,Production,80010.1288193025,2555,Soyabean Cake,0.791954399511858,63364.3735239571,Soyabean Cake,0.953927209225019,0.755466850159822,60445
1993,Kenya,114,Molasses,Production,41274.0740740741,2544,"Sweeteners, Other",0.0500260092878072,2064.77721297527,"Sweeteners, Other",2.41584132591892,0.120854900608288,4988.17411992136
2011,Burundi,29,Sugar cane,Production,204000,2536,"Beverages, Fermented",0.0205060976554879,4183.24392171953,"Beverages, Fermented",24.6729843464369,0.505946626460359,103213.111797913
2015,Azerbaijan,52,Apples and products,Production,18285.7142857143,2617,"Beverages, Fermented",0.0154795146638377,283.05398242446,"Beverages, Fermented",0.184966898987886,0.00286319782520755,52.3556173752238
1989,Pakistan,165,Barley and products,Production,2980.2210467706,2513,"Alcohol, Non-Food",0.0175543402275222,52.3158142082333,"Alcohol, Non-Food",0.0502320461383618,8.8179042823739e-4,2.62793039307394
1995,Hungary,97,Apples and products,Production,1089.24799880328,2617,"Beverages, Alcoholic",0.0201293571052107,21.9258619440473,"Beverages, Alcoholic",2.98296241971224,0.0600451157778111,65.404022198892
2002,Germany,79,Potatoes and products,Production,287696.470351741,2531,"Alcohol, Non-Food",0.0170266130184969,4898.49646746657,"Alcohol, Non-Food",0.330057632118819,0.00561976357588855,1616.78614499442
2007,Ivory Coast,107,"Oilcrops, Other",Production,28937,2570,"Oilseed Cakes, Other",1.42452245790447,41221.4063643816,"Oilseed Cakes, Other",1,1.42452245790447,41221.4063643816
1999,Hungary,97,Sunflower seed,Production,423876.967182964,2557,Sunflowerseed Cake,0.475464139062503,201538.297270073,Sunflowerseed Cake,1.11145128759239,0.528455229565026,224000
1993,Bolivia,19,Sugar cane,Production,3368147.5,2536,"Sweeteners, Other",0.0150078027863422,50548.4934353114,"Sweeteners, Other",5,0.0750390139317108,252742.467176557
2021,United Kingdom,229,Sunflowerseed Oil,Production,58792.2535211268,2573,"Oilcrops Oil, Other",1.09530962194118,64395.7209772952,"Oilcrops Oil, Other",1.28889196250515,1.41173576817453,82999.1271873598
1995,Lithuania,126,Maize and products,Production,9999.780874748,2514,"Alcohol, Non-Food",0.0319483746857824,319.47674616217,"Alcohol, Non-Food",1.86897635186033,0.0597107567681003,597.094483546379
1982,French Polynesia,70,Barley and products,Production,2144.5,2513,Beer,4.63952629664194,9949.46414314865,Beer,0.804565942931948,3.73280484961529,8005
1987,Portugal,174,Soyabeans,Production,834856.833887043,2555,Soy hulls,0.05,41742.8416943522,Soy hulls,0.99538024517439,0.0497690122587195,41550
1992,Guinea-Bissau,175,Sorghum and products,Production,1905.69741916345,2518,DDGS,0.28,533.595277365767,DDGS,0.936949998878357,0.26234599968594,499.952094529352
1985,Niger,158,Groundnuts,Production,22909.2783505155,2552,Groundnut Cake,0.380273241527482,8711.78553940588,Groundnut Cake,0.918296250959545,0.34920349203492,8000
1965,Nigeria,159,Palm kernels,Production,39913,2562,Palmkernel Cake,0.480441135523224,19175.8470421384,Palmkernel Cake,1.03844174164728,0.498910129531732,19913
2016,RoW,999,"Oranges, Mandarines",Production,32675.5218216319,2611,"Sweeteners, Other",0.073254586702539,2393.63184633344,"Sweeteners, Other",1.31090250049055,0.0960296208807605,3137.81797261233
2007,Portugal,174,Wheat and products,Production,96390.0892272323,2511,DDGS,0.28,26989.224983625,DDGS,0.99628366813998,0.278959427079194,26888.9240669411
2001,South Africa,202,Rice and products,Production,47.0054887044227,2807,"Alcohol, Non-Food",0.0259726469817434,1.22085696432429,"Alcohol, Non-Food",0.839944740463735,0.0218155882282366,1.02545238604271
