item_cbs_code,zone,fallow_propensity
248,arid,0
248,humid,0
248,semiarid,0
248,subhumid,0
248,tropical_humid,0
254,arid,0
254,humid,0
254,semiarid,0
254,subhumid,0
254,tropical_humid,0
310,arid,0
310,humid,0
310,semiarid,0
310,subhumid,0
310,tropical_humid,0
328,arid,0.1
328,humid,0.03
328,semiarid,0.1
328,subhumid,0.08
328,tropical_humid,0.08
677,arid,0.1
677,humid,0.03
677,semiarid,0.1
677,subhumid,0.08
677,tropical_humid,0.08
772,arid,0.7
772,humid,0.05
772,semiarid,0.6
772,subhumid,0.25
772,tropical_humid,0.15
776,arid,0.7
776,humid,0.05
776,semiarid,0.6
776,subhumid,0.25
776,tropical_humid,0.15
2000,arid,0
2000,humid,0
2000,semiarid,0
2000,subhumid,0
2000,tropical_humid,0
2001,arid,0
2001,humid,0
2001,semiarid,0
2001,subhumid,0
2001,tropical_humid,0
2002,arid,0
2002,humid,0
2002,semiarid,0
2002,subhumid,0
2002,tropical_humid,0
2003,arid,0
2003,humid,0
2003,semiarid,0
2003,subhumid,0
2003,tropical_humid,0
2108,arid,0.1
2108,humid,0.03
2108,semiarid,0.1
2108,subhumid,0.08
2108,tropical_humid,0.08
2511,arid,1
2511,humid,0.05
2511,semiarid,0.8
2511,subhumid,0.3
2511,tropical_humid,0.1
2513,arid,1
2513,humid,0.05
2513,semiarid,0.8
2513,subhumid,0.3
2513,tropical_humid,0.1
2514,arid,0.4
2514,humid,0.03
2514,semiarid,0.3
2514,subhumid,0.1
2514,tropical_humid,0.1
2515,arid,1
2515,humid,0.05
2515,semiarid,0.8
2515,subhumid,0.3
2515,tropical_humid,0.1
2516,arid,1
2516,humid,0.05
2516,semiarid,0.8
2516,subhumid,0.3
2516,tropical_humid,0.1
2517,arid,1
2517,humid,0.05
2517,semiarid,0.8
2517,subhumid,0.3
2517,tropical_humid,0.1
2518,arid,1
2518,humid,0.05
2518,semiarid,0.8
2518,subhumid,0.3
2518,tropical_humid,0.1
2520,arid,1
2520,humid,0.05
2520,semiarid,0.8
2520,subhumid,0.3
2520,tropical_humid,0.1
2531,arid,0.3
2531,humid,0.05
2531,semiarid,0.25
2531,subhumid,0.15
2531,tropical_humid,0.1
2532,arid,0.3
2532,humid,0.05
2532,semiarid,0.25
2532,subhumid,0.15
2532,tropical_humid,0.1
2533,arid,0.3
2533,humid,0.05
2533,semiarid,0.25
2533,subhumid,0.15
2533,tropical_humid,0.1
2534,arid,0.3
2534,humid,0.05
2534,semiarid,0.25
2534,subhumid,0.15
2534,tropical_humid,0.1
2535,arid,0.3
2535,humid,0.05
2535,semiarid,0.25
2535,subhumid,0.15
2535,tropical_humid,0.1
2536,arid,0.1
2536,humid,0.03
2536,semiarid,0.1
2536,subhumid,0.08
2536,tropical_humid,0.08
2537,arid,0.1
2537,humid,0.03
2537,semiarid,0.1
2537,subhumid,0.08
2537,tropical_humid,0.08
2546,arid,1
2546,humid,0.1
2546,semiarid,0.8
2546,subhumid,0.4
2546,tropical_humid,0.3
2547,arid,1
2547,humid,0.1
2547,semiarid,0.8
2547,subhumid,0.4
2547,tropical_humid,0.3
2549,arid,1
2549,humid,0.1
2549,semiarid,0.8
2549,subhumid,0.4
2549,tropical_humid,0.3
2551,arid,0.1
2551,humid,0.03
2551,semiarid,0.1
2551,subhumid,0.08
2551,tropical_humid,0.08
2552,arid,0.7
2552,humid,0.05
2552,semiarid,0.6
2552,subhumid,0.25
2552,tropical_humid,0.15
2555,arid,0.7
2555,humid,0.05
2555,semiarid,0.6
2555,subhumid,0.25
2555,tropical_humid,0.15
2557,arid,0.7
2557,humid,0.05
2557,semiarid,0.6
2557,subhumid,0.25
2557,tropical_humid,0.15
2558,arid,0.7
2558,humid,0.05
2558,semiarid,0.6
2558,subhumid,0.25
2558,tropical_humid,0.15
2559,arid,0.1
2559,humid,0.03
2559,semiarid,0.1
2559,subhumid,0.08
2559,tropical_humid,0.08
2560,arid,0
2560,humid,0
2560,semiarid,0
2560,subhumid,0
2560,tropical_humid,0
2561,arid,0.7
2561,humid,0.05
2561,semiarid,0.6
2561,subhumid,0.25
2561,tropical_humid,0.15
2562,arid,0
2562,humid,0
2562,semiarid,0
2562,subhumid,0
2562,tropical_humid,0
2563,arid,0
2563,humid,0
2563,semiarid,0
2563,subhumid,0
2563,tropical_humid,0
2570,arid,0.7
2570,humid,0.05
2570,semiarid,0.6
2570,subhumid,0.25
2570,tropical_humid,0.15
2577,arid,0
2577,humid,0
2577,semiarid,0
2577,subhumid,0
2577,tropical_humid,0
2601,arid,0.1
2601,humid,0.03
2601,semiarid,0.1
2601,subhumid,0.08
2601,tropical_humid,0.08
2602,arid,0.1
2602,humid,0.03
2602,semiarid,0.1
2602,subhumid,0.08
2602,tropical_humid,0.08
2605,arid,0.1
2605,humid,0.03
2605,semiarid,0.1
2605,subhumid,0.08
2605,tropical_humid,0.08
2611,arid,0.1
2611,humid,0.03
2611,semiarid,0.1
2611,subhumid,0.08
2611,tropical_humid,0.08
2612,arid,0.1
2612,humid,0.03
2612,semiarid,0.1
2612,subhumid,0.08
2612,tropical_humid,0.08
2613,arid,0.1
2613,humid,0.03
2613,semiarid,0.1
2613,subhumid,0.08
2613,tropical_humid,0.08
2614,arid,0.1
2614,humid,0.03
2614,semiarid,0.1
2614,subhumid,0.08
2614,tropical_humid,0.08
2615,arid,0.1
2615,humid,0.03
2615,semiarid,0.1
2615,subhumid,0.08
2615,tropical_humid,0.08
2616,arid,0.1
2616,humid,0.03
2616,semiarid,0.1
2616,subhumid,0.08
2616,tropical_humid,0.08
2617,arid,0.1
2617,humid,0.03
2617,semiarid,0.1
2617,subhumid,0.08
2617,tropical_humid,0.08
2618,arid,0.1
2618,humid,0.03
2618,semiarid,0.1
2618,subhumid,0.08
2618,tropical_humid,0.08
2619,arid,0.1
2619,humid,0.03
2619,semiarid,0.1
2619,subhumid,0.08
2619,tropical_humid,0.08
2620,arid,0.1
2620,humid,0.03
2620,semiarid,0.1
2620,subhumid,0.08
2620,tropical_humid,0.08
2625,arid,0.1
2625,humid,0.03
2625,semiarid,0.1
2625,subhumid,0.08
2625,tropical_humid,0.08
2630,arid,0
2630,humid,0
2630,semiarid,0
2630,subhumid,0
2630,tropical_humid,0
2633,arid,0
2633,humid,0
2633,semiarid,0
2633,subhumid,0
2633,tropical_humid,0
2635,arid,0
2635,humid,0
2635,semiarid,0
2635,subhumid,0
2635,tropical_humid,0
2640,arid,0.1
2640,humid,0.03
2640,semiarid,0.1
2640,subhumid,0.08
2640,tropical_humid,0.08
2641,arid,0.1
2641,humid,0.03
2641,semiarid,0.1
2641,subhumid,0.08
2641,tropical_humid,0.08
2642,arid,0.1
2642,humid,0.03
2642,semiarid,0.1
2642,subhumid,0.08
2642,tropical_humid,0.08
2645,arid,0.1
2645,humid,0.03
2645,semiarid,0.1
2645,subhumid,0.08
2645,tropical_humid,0.08
2661,arid,0.1
2661,humid,0.03
2661,semiarid,0.1
2661,subhumid,0.08
2661,tropical_humid,0.08
2662,arid,0.1
2662,humid,0.03
2662,semiarid,0.1
2662,subhumid,0.08
2662,tropical_humid,0.08
2663,arid,0.1
2663,humid,0.03
2663,semiarid,0.1
2663,subhumid,0.08
2663,tropical_humid,0.08
2664,arid,0.1
2664,humid,0.03
2664,semiarid,0.1
2664,subhumid,0.08
2664,tropical_humid,0.08
2665,arid,0.1
2665,humid,0.03
2665,semiarid,0.1
2665,subhumid,0.08
2665,tropical_humid,0.08
2666,arid,0.1
2666,humid,0.03
2666,semiarid,0.1
2666,subhumid,0.08
2666,tropical_humid,0.08
2667,arid,0.1
2667,humid,0.03
2667,semiarid,0.1
2667,subhumid,0.08
2667,tropical_humid,0.08
2671,arid,0.1
2671,humid,0.03
2671,semiarid,0.1
2671,subhumid,0.08
2671,tropical_humid,0.08
2672,arid,0
2672,humid,0
2672,semiarid,0
2672,subhumid,0
2672,tropical_humid,0
2690,arid,0.1
2690,humid,0.03
2690,semiarid,0.1
2690,subhumid,0.08
2690,tropical_humid,0.08
2807,arid,0.1
2807,humid,0.1
2807,semiarid,0.2
2807,subhumid,0.3
2807,tropical_humid,0.9
2899,arid,0.1
2899,humid,0.03
2899,semiarid,0.1
2899,subhumid,0.08
2899,tropical_humid,0.08
