lon,lat,lgp,thermal
-81.25,82.75,0,10
-80.75,82.75,0,10
-79.25,82.75,0,10
-78.75,82.75,0,10
-78.25,82.75,0,10
-77.75,82.75,0,10
-77.25,82.75,0,10
-76.25,82.75,0,10
-75.75,82.75,0,10
-75.25,82.75,0,10
-74.75,82.75,0,10
-74.25,82.75,0,10
-73.75,82.75,0,10
-73.25,82.75,0,10
-72.25,82.75,0,10
-71.75,82.75,0,10
-71.25,82.75,0,10
-70.75,82.75,0,10
-70.25,82.75,0,10
-69.75,82.75,0,10
-69.25,82.75,0,10
-68.75,82.75,0,10
-68.25,82.75,0,10
-67.75,82.75,0,10
-66.25,82.75,0,10
-65.75,82.75,0,10
-65.25,82.75,0,10
-64.75,82.75,0,10
-64.25,82.75,0,10
-63.75,82.75,0,10
-85.25,82.25,0.6,10
-84.75,82.25,6.6,10
-84.25,82.25,9,10
-83.75,82.25,8.2,10
-82.75,82.25,0,10
-81.75,82.25,1.3,10
-81.25,82.25,3.9,10
-80.75,82.25,4.4,10
-80.25,82.25,0,10
-79.75,82.25,0,10
-79.25,82.25,0,10
-78.75,82.25,0,10
-78.25,82.25,0,10
-77.75,82.25,0,10
-77.25,82.25,0,10
-76.75,82.25,0,10
-76.25,82.25,0,10
-75.75,82.25,0,10
-75.25,82.25,0,10
-74.75,82.25,0,10
-74.25,82.25,0,10
-73.75,82.25,0,10
-73.25,82.25,0,10
-72.75,82.25,0,10
-72.25,82.25,0,10
-71.75,82.25,0,10
-71.25,82.25,0,10
-70.75,82.25,0,10
-70.25,82.25,0,10
-69.75,82.25,0,10
-69.25,82.25,0,10
-68.75,82.25,0,10
-68.25,82.25,0,10
-67.75,82.25,0,10
-67.25,82.25,0,10
-66.75,82.25,0,10
-66.25,82.25,0,10
-65.75,82.25,0,10
-65.25,82.25,0,10
-64.75,82.25,0,10
-64.25,82.25,0,10
-63.75,82.25,0,10
-63.25,82.25,0,10
-62.75,82.25,0,10
-62.25,82.25,0,10
-61.75,82.25,0,10
-61.25,82.25,0,10
-91.25,81.75,0,10
-90.75,81.75,0,10
-90.25,81.75,0,10
-89.75,81.75,0,10
-89.25,81.75,0,10
-88.75,81.75,0,10
-88.25,81.75,0,10
-87.75,81.75,0,10
-87.25,81.75,2.1,10
-86.75,81.75,0.4,10
-86.25,81.75,0,10
-85.75,81.75,0,10
-85.25,81.75,0.3,10
-84.75,81.75,0,10
-84.25,81.75,0,10
-83.75,81.75,0,10
-83.25,81.75,0,10
-82.75,81.75,0,10
-82.25,81.75,0,10
-81.75,81.75,0,10
-81.25,81.75,0,10
-80.75,81.75,0,10
-80.25,81.75,0.6,10
-79.75,81.75,2.4,10
-79.25,81.75,0,10
-78.75,81.75,0,10
-78.25,81.75,0,10
-77.75,81.75,0,10
-77.25,81.75,0,10
-76.75,81.75,0,10
-76.25,81.75,0,10
-75.75,81.75,0,10
-75.25,81.75,0,10
-74.75,81.75,0,10
-74.25,81.75,0,10
-73.75,81.75,0,10
-73.25,81.75,0,10
-72.75,81.75,0,10
-72.25,81.75,0,10
-71.75,81.75,0,10
-71.25,81.75,0,10
-70.75,81.75,0,10
-70.25,81.75,0,10
-69.75,81.75,0,10
-69.25,81.75,0,10
-68.75,81.75,0,10
-68.25,81.75,1.5,10
-67.75,81.75,0,10
-67.25,81.75,0,10
-66.75,81.75,0,10
-66.25,81.75,0.8,10
-65.75,81.75,0,10
-64.75,81.75,0,10
-64.25,81.75,0,10
58.25,81.75,0,10
58.75,81.75,0,10
59.25,81.75,0,10
-94.25,81.25,0,10
-93.75,81.25,0,10
-93.25,81.25,0,10
-92.75,81.25,0,10
-92.25,81.25,0,10
-88.75,81.25,0.9,10
-88.25,81.25,0.3,10
-87.75,81.25,0,10
-87.25,81.25,0,10
-86.75,81.25,0,10
-86.25,81.25,0.3,10
-84.75,81.25,0,10
-84.25,81.25,0,10
-83.75,81.25,0,10
-83.25,81.25,0,10
-82.75,81.25,0,10
-82.25,81.25,0,10
-81.75,81.25,0,10
-81.25,81.25,0,10
-80.75,81.25,0,10
-80.25,81.25,0,10
-79.75,81.25,0,10
-79.25,81.25,1.5,10
-78.75,81.25,1.2,10
-77.75,81.25,0,10
-77.25,81.25,0,10
-76.75,81.25,0,10
-76.25,81.25,0,10
-75.75,81.25,0,10
-75.25,81.25,0,10
-74.75,81.25,0,10
-74.25,81.25,0,10
-73.75,81.25,0,10
-73.25,81.25,0,10
-72.75,81.25,0,10
-72.25,81.25,0,10
-71.75,81.25,0,10
-71.25,81.25,0,10
-70.75,81.25,0,10
-70.25,81.25,0,10
-69.75,81.25,0.4,10
-68.25,81.25,2.3,10
-67.75,81.25,1.4,10
-67.25,81.25,1.9,10
-66.75,81.25,0.2,10
-66.25,81.25,0.3,10
-65.75,81.25,0,10
55.75,81.25,0,10
56.25,81.25,0,10
56.75,81.25,15.5,10
95.25,81.25,33.1,10
95.75,81.25,31.4,10
-94.75,80.75,0,10
-94.25,80.75,0,10
-93.75,80.75,0,10
-93.25,80.75,0,10
-92.75,80.75,0,10
-92.25,80.75,0,10
-91.75,80.75,0,10
-91.25,80.75,0,10
-88.25,80.75,1.8,10
-87.75,80.75,0,10
-87.25,80.75,0,10
-86.25,80.75,7.5,10
-85.75,80.75,6.5,10
-85.25,80.75,1.9,10
-84.75,80.75,0.4,10
-84.25,80.75,0.5,10
-83.25,80.75,0,10
-82.75,80.75,0,10
-81.75,80.75,0,10
-81.25,80.75,0,10
-80.75,80.75,1,10
-80.25,80.75,0.7,10
-78.25,80.75,0,10
-77.75,80.75,0,10
-77.25,80.75,0,10
-76.75,80.75,0,10
-76.25,80.75,0,10
-75.75,80.75,0,10
-75.25,80.75,0,10
-74.75,80.75,0,10
-74.25,80.75,0,10
-73.75,80.75,0,10
-73.25,80.75,0,10
-72.75,80.75,0,10
-72.25,80.75,0,10
-71.75,80.75,0,10
-71.25,80.75,0,10
-70.75,80.75,0,10
-70.25,80.75,0,10
-69.75,80.75,0,10
-69.25,80.75,0,10
-68.75,80.75,0,10
47.25,80.75,33.1,10
48.25,80.75,29.1,10
49.25,80.75,22.1,10
49.75,80.75,32.9,10
50.25,80.75,34.8,10
51.25,80.75,0,10
54.75,80.75,0,10
55.25,80.75,14.1,10
56.25,80.75,11.4,10
57.25,80.75,13.7,10
59.75,80.75,7.3,10
60.25,80.75,10.8,10
60.75,80.75,1.5,10
61.25,80.75,0.2,10
61.75,80.75,2.3,10
62.25,80.75,0,10
63.25,80.75,6.7,10
63.75,80.75,7.6,10
64.25,80.75,11.8,10
93.25,80.75,19.9,10
93.75,80.75,18.6,10
94.25,80.75,9.2,10
94.75,80.75,6.9,10
95.25,80.75,14.4,10
95.75,80.75,14.1,10
96.25,80.75,13.3,10
96.75,80.75,30.1,10
97.25,80.75,35.7,10
97.75,80.75,0,10
-96.25,80.25,0,10
-95.75,80.25,0,10
-95.25,80.25,0,10
-94.75,80.25,0,10
-94.25,80.25,0,10
-93.75,80.25,0,10
-93.25,80.25,0,10
-92.75,80.25,0,10
-92.25,80.25,0,10
-91.75,80.25,0,10
-91.25,80.25,0,10
-90.75,80.25,0,10
-90.25,80.25,0,10
-89.75,80.25,0,10
-89.25,80.25,0,10
-88.25,80.25,18.4,10
-87.75,80.25,11.1,10
-86.25,80.25,20.4,10
-85.75,80.25,21.5,10
-85.25,80.25,21.3,10
-84.75,80.25,22.8,10
-84.25,80.25,25.7,10
-82.75,80.25,4.5,10
-82.25,80.25,0,10
-81.75,80.25,0,10
-81.25,80.25,0,10
-80.75,80.25,0.1,10
-80.25,80.25,0,10
-79.75,80.25,0,10
-79.25,80.25,0,10
-78.75,80.25,0,10
-78.25,80.25,0,10
-77.75,80.25,0,10
-77.25,80.25,0,10
-76.75,80.25,0,10
-76.25,80.25,0,10
-75.75,80.25,0,10
-75.25,80.25,0,10
-74.75,80.25,0,10
-74.25,80.25,0,10
-73.75,80.25,0,10
-73.25,80.25,0,10
-72.75,80.25,0,10
-72.25,80.25,0,10
-71.75,80.25,0.7,10
-71.25,80.25,2.4,10
-70.75,80.25,1.1,10
-70.25,80.25,5,10
19.25,80.25,38.2,10
19.75,80.25,33.6,10
20.25,80.25,19.7,10
20.75,80.25,21.6,10
21.75,80.25,39.1,10
22.75,80.25,31.8,10
24.25,80.25,37.9,10
24.75,80.25,34,10
47.25,80.25,32.4,10
47.75,80.25,41.6,10
48.25,80.25,37.6,10
48.75,80.25,25.6,10
52.25,80.25,0,10
52.75,80.25,0,10
53.25,80.25,12.9,10
53.75,80.25,0,10
54.25,80.25,0,10
55.25,80.25,0,10
56.25,80.25,14.1,10
56.75,80.25,13.9,10
57.25,80.25,0,10
57.75,80.25,7.4,10
92.25,80.25,29.5,10
92.75,80.25,28.2,10
93.25,80.25,26.8,10
93.75,80.25,13.1,10
94.25,80.25,18.1,10
94.75,80.25,15.5,10
95.25,80.25,18.2,10
95.75,80.25,21.7,10
96.25,80.25,16.4,10
96.75,80.25,25.7,10
-98.75,79.75,0,10
-95.75,79.75,0,10
-95.25,79.75,0,10
-94.75,79.75,0,10
-94.25,79.75,0,10
-93.75,79.75,0,10
-93.25,79.75,0,10
-92.75,79.75,0,10
-92.25,79.75,0,10
-91.75,79.75,0,10
-91.25,79.75,0,10
-90.75,79.75,0,10
-90.25,79.75,0,10
-89.75,79.75,0,10
-89.25,79.75,0,10
-88.75,79.75,0.4,10
-88.25,79.75,4.3,10
-87.75,79.75,3.2,10
-87.25,79.75,12.3,10
-86.25,79.75,27.9,10
-85.75,79.75,31.4,10
-85.25,79.75,25.1,10
-84.75,79.75,24.9,10
-84.25,79.75,17.8,10
-83.75,79.75,4.1,10
-83.25,79.75,0.7,10
-82.75,79.75,0.4,10
-82.25,79.75,4.2,10
-81.25,79.75,1.4,10
-80.75,79.75,4.3,10
-80.25,79.75,0.6,10
-79.75,79.75,2.9,10
-79.25,79.75,3.6,10
-78.75,79.75,1.2,10
-78.25,79.75,0,10
-77.75,79.75,0,10
-77.25,79.75,0,10
-76.75,79.75,0,10
-76.25,79.75,0,10
-75.75,79.75,0,10
-75.25,79.75,0.5,10
-74.75,79.75,2.9,10
-74.25,79.75,0.8,10
-73.75,79.75,0.6,10
-72.75,79.75,0,10
-72.25,79.75,0,10
-71.75,79.75,0,10
10.75,79.75,0,10
11.25,79.75,0.4,10
11.75,79.75,1.7,10
12.25,79.75,0.2,10
12.75,79.75,3.9,10
13.25,79.75,2.5,10
13.75,79.75,22.2,10
14.75,79.75,12.7,10
15.75,79.75,2.2,10
16.25,79.75,10.6,10
16.75,79.75,16.4,10
17.25,79.75,15.7,10
17.75,79.75,36.8,10
18.75,79.75,36.3,10
19.25,79.75,25,10
19.75,79.75,16.8,10
22.25,79.75,17.7,10
22.75,79.75,29.2,10
23.25,79.75,19.9,10
23.75,79.75,5.9,10
24.25,79.75,2.4,10
24.75,79.75,0,10
25.25,79.75,4.1,10
25.75,79.75,20.5,10
26.25,79.75,23.3,10
92.75,79.75,38,10
94.25,79.75,29.2,10
94.75,79.75,35.6,10
95.25,79.75,29.9,10
95.75,79.75,34.3,10
96.25,79.75,35.9,10
96.75,79.75,31.6,10
97.25,79.75,32.3,10
97.75,79.75,24.9,10
98.25,79.75,25.2,10
98.75,79.75,27.7,10
99.25,79.75,29.7,10
99.75,79.75,43.9,10
-105.25,79.25,0,10
-104.75,79.25,0,10
-104.25,79.25,0,10
-103.75,79.25,0,10
-103.25,79.25,0,10
-92.25,79.25,0,10
-91.75,79.25,0,10
-91.25,79.25,0,10
-90.75,79.25,0,10
-90.25,79.25,0,10
-89.75,79.25,0,10
-89.25,79.25,0,10
-88.75,79.25,0,10
-88.25,79.25,0,10
