source,source_table,class_key,source_class_code,source_class_name,species_group,constrains,mapping_kind,mapping_reason
Eurostat,apro_mt_ls_r,A2000,A2000,Live bovine animals,,cattle_dairy+cattle_non_dairy,aggregate,"Total bovine herd. It constrains the sum of the two WHEP cattle groups, and cattle_non_dairy is this class minus the published dairy series, the unit-year being refused where that difference is negative (T10 livestock rule 1)."
Eurostat,apro_mt_ls_r,A2010,A2010,"Bovine animals, less than 1 year old",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2010B,A2010B,"Bovine animals, less than 1 year old, for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2010C,A2010C,"Bovine animals, less than 1 year old, not for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2020,A2020,"Bovine animals, 1 to less than 2 years old",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2030,A2030,"Bovine animals, 2 years old or over",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2110C,A2110C,"Male calves, less than 1 year old, not for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2120,A2120,"Male bovine animals, 1 to less than 2 years old",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2130,A2130,"Male bovine animals, 2 years old or over",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2210C,A2210C,"Female calves, less than 1 year old, not for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2220,A2220,"Heifers, 1 to less than 2 years old",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2220B,A2220B,"Heifers, 1 year old, for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2220C,A2220C,"Heifers, 1 year old, not for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2230,A2230,"Heifers, 2 years old or over",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2230B,A2230B,"Heifers, 2 years old or over, for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2230C,A2230C,"Heifers, 2 years old or over, not for slaughter",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2230_2330,A2230_2330,"Female bovine animals, 2 years old or over",,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2300,A2300,Cows,,,member,"Age, sex or production-stage breakdown of A2000, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2300F,A2300F,Dairy cows,cattle_dairy,,exact,A published dairy series binds dairy cattle (T10 livestock rule 1).
Eurostat,apro_mt_ls_r,A2300G,A2300G,Non dairy cows,,,member,"Suckler cows only, a strict subset of the non-dairy herd; T10 derives cattle_non_dairy as the total minus the dairy series, so this class is not used (T10 livestock rule 1)."
Eurostat,apro_mt_ls_r,A2400,A2400,Buffaloes,buffalo,,exact,
Eurostat,apro_mt_ls_r,A2410,A2410,Breeding female buffaloes,,,member,"Age, sex or production-stage breakdown of A2400, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A2420,A2420,Other buffaloes,,,member,"Age, sex or production-stage breakdown of A2400, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3100,A3100,"Live swine, domestic species",pigs,,exact,
Eurostat,apro_mt_ls_r,A3110,A3110,"Piglets, live weight of under 20 kg",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120,A3120,"Breeding sows, live weight 50 kg or over",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120K,A3120K,Covered sows,,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120KA,A3120KA,Sows covered for the first time,,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120L,A3120L,"Sows, not covered",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120LA,A3120LA,Gilts not yet covered,,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3120_3133,A3120_3133,Breeding pigs,,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3131,A3131,"Pigs, from 20 kg to less than 50 kg",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3132,A3132,"Fattening pigs, live weight 50 kg or over",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3132X,A3132X,"Fattening pigs, from 50 kg to less than 80 kg",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3132Y,A3132Y,"Fattening pigs, from 80 kg to less than 110 kg",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3132Z,A3132Z,"Fattening pigs, live weight 110 kg or over",,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A3133,A3133,Breeding boars,,,member,"Age, sex or production-stage breakdown of A3100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4100,A4100,Live sheep,sheep_goats,,sum_member,"WHEP carries one sheep_goats group, so sheep and goats are summed into it (T10 livestock rule 2)."
Eurostat,apro_mt_ls_r,A4110K,A4110K,Ewes and ewe-lambs put to the ram,,,member,"Age, sex or production-stage breakdown of A4100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4110KC,A4110KC,Milk ewes and ewe-lambs put to the ram,,,member,"Age, sex or production-stage breakdown of A4100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4110KD,A4110KD,Non milk ewes and ewe-lambs put to the ram,,,member,"Age, sex or production-stage breakdown of A4100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4120,A4120,Other sheep,,,member,"Age, sex or production-stage breakdown of A4100, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4200,A4200,Live goats,sheep_goats,,sum_member,"WHEP carries one sheep_goats group, so sheep and goats are summed into it (T10 livestock rule 2)."
Eurostat,apro_mt_ls_r,A4210,A4210,"Goats, breeding females",,,member,"Age, sex or production-stage breakdown of A4200, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4210KA,A4210KA,Goats mated for the first time,,,member,"Age, sex or production-stage breakdown of A4200, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4210KB,A4210KB,Goats having already kidded,,,member,"Age, sex or production-stage breakdown of A4200, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,apro_mt_ls_r,A4220,A4220,Other goats,,,member,"Age, sex or production-stage breakdown of A4200, which binds; recorded so the class is accounted for, never summed alongside it."
Eurostat,ef_lsk_poultry,A5000,A5000,Live poultry,,chickens_layers+chickens_broilers+poultry,aggregate,"A combined poultry class constrains the sum of the WHEP poultry groups (T10 livestock rule 4). It bounds that sum from above: it also carries ostriches and small poultry, which no WHEP poultry group holds."
Eurostat,ef_lsk_poultry,A5000X5100,A5000X5100,Live poultry excluding chicken (species),,poultry,aggregate,"A combined poultry class constrains the sum of the WHEP poultry groups (T10 livestock rule 4); here the non-chicken groups only. It bounds the group from above, also carrying ostriches, quails, pheasants and pigeons."
Eurostat,ef_lsk_poultry,A5110O,A5110O,Laying hens,chickens_layers,,exact,
Eurostat,ef_lsk_poultry,A5140,A5140,Broilers,chickens_broilers,,exact,
Eurostat,ef_lsk_poultry,A5210,A5210,Ducks,poultry,,sum_member,"One of the species summed into WHEP's residual poultry group (ducks, geese and guinea fowls, turkeys)."
