ProcessedItem,item_cbs,Product_fraction,Value_fraction,Required
Apples and products,"Alcohol, Non-Food",0.19934,0.05,
Barley and products,"Alcohol, Non-Food",0.2044,0.05,
Cassava and products,"Alcohol, Non-Food",0.09,,
"Cereals, Other","Alcohol, Non-Food",0.275,0.9,
"Fruits, Other","Alcohol, Non-Food",0.19934,,
Grapes and products (excl wine),"Alcohol, Non-Food",0.19934,,
Maize and products,"Alcohol, Non-Food",0.35,,
Millet and products,"Alcohol, Non-Food",0.2044,,
Molasses,"Alcohol, Non-Food",0.2,1.0,
Oats,"Alcohol, Non-Food",0.2044,,
Potatoes and products,"Alcohol, Non-Food",0.09,,
Rice and products,"Alcohol, Non-Food",0.19899,,
Rye and products,"Alcohol, Non-Food",0.27,,
Sorghum and products,"Alcohol, Non-Food",0.294,,
Sugar beet,"Alcohol, Non-Food",0.065,,
Sugar cane,"Alcohol, Non-Food",0.075,,
Wheat and products,"Alcohol, Non-Food",0.28,,
Wine,"Alcohol, Non-Food",0.2,,
Barley and products,Beer,6.55,0.9,
Hops,Beer,0.28,,
Wheat and products,Beer,6.55,0.9,
Maize and products,Beer,6.55,,
Rye and products,Beer,6.55,,
Millet and products,Beer,6.55,,
Sorghum and products,Beer,6.55,,
"Cereals, Other",Beer,6.55,,
Rice and products,Beer,6.55,,
Wheat and products,"Beverages, Alcoholic",0.2,,
Barley and products,"Beverages, Alcoholic",0.2,,
Maize and products,"Beverages, Alcoholic",0.2,,
Rye and products,"Beverages, Alcoholic",0.2,,
Oats,"Beverages, Alcoholic",0.2,,
Sorghum and products,"Beverages, Alcoholic",0.2,,
"Cereals, Other","Beverages, Alcoholic",0.2,,
Potatoes and products,"Beverages, Alcoholic",0.2,,
Sweet potatoes,"Beverages, Alcoholic",0.2,,
Sugar non-centrifugal,"Beverages, Alcoholic",0.2,,
"Sweeteners, Other","Beverages, Alcoholic",0.2,,
Dates,"Beverages, Alcoholic",0.2,,
Grapes and products (excl wine),"Beverages, Alcoholic",0.2,,
Rice and products,"Beverages, Alcoholic",0.2,,
Apples and products,"Beverages, Alcoholic",0.19934,,
Bananas,"Beverages, Alcoholic",0.19934,,
"Fruits, Other","Beverages, Alcoholic",0.19934,,
"Lemons, Limes and products","Beverages, Alcoholic",0.19934,,
"Oranges, Mandarines","Beverages, Alcoholic",0.19934,,
Plantains,"Beverages, Alcoholic",0.19934,,
Sugar beet,"Beverages, Alcoholic",0.19934,,
Sugar cane,"Beverages, Alcoholic",0.19934,,
Wine,"Beverages, Alcoholic",0.19934,1.0,
Wheat and products,"Beverages, Fermented",6.55,,
Maize and products,"Beverages, Fermented",6.55,,
Rye and products,"Beverages, Fermented",6.55,,
Millet and products,"Beverages, Fermented",6.55,,
Sorghum and products,"Beverages, Fermented",6.55,,
"Cereals, Other","Beverages, Fermented",6.55,,
