item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Choline chloride,4007.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Choline chloride,,CLORURO COLINA PROMEDIO,Feed
Lysine,4010.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Lysine,,L-LISINA 50,Feed
MgO,4012.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,MgO,,OXIDO MAGNESIO (magnesita calcinada),Feed
Minerals,4013.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Minerals,,CARBONATO CALCICO,Feed
Pesticides,4015.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Pesticides,,AC. FORMICO,Feed
SSP,4021.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,SSP,,FOSFATO MONOCALCICO MONOHIDR.,Feed
Potassium carbonate,4018.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Potassium carbonate,,CARBONATO SODIO,Feed
Tryptophan,4024.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Tryptophan,,L-TRIPTOFANO,Feed
Urea,4025.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Urea,,UREA,Feed
Vitamins,4027.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Vitamins,,AC. CITRICO,Feed
Acid,4001.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Acid,,ACIDO PROMEDIO,Feed
Phytase,4016.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Phytase,,PROTEINA DE PATATA,Feed
Starch,4022.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Starch,,ALMIDON 96,Feed
Calcium soap protected fat,4006.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Calcium soap protected fat,,GRASA MEZCLA 5/9,Feed
Methionine,4011.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Methionine,,HIDROXI-ANAL MET,Feed
Threonine,4023.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Threonine,,L-TREONINA,Feed
Pigment,4017.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Pigment,,AC. COLZA,Feed
Ammonium chloride,4002.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Ammonium chloride,,CLORURO AMONICO,Feed
Valine,4026.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Valine,,L-VALINA,Feed
Yeast,4028.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Yeast,,LEVADURA CERVEZA,Feed
Salt,4019.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Salt,,CLORURO SODICO MARINO 98,Feed
Anionic salts,4003.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Anionic salts,,MET HIDROXI SAL CALCICA,Feed
Sodium butyrate,4020.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Sodium butyrate,,BUTIRATO SODICO,Feed
Calcium carbonate,4005.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Calcium carbonate,,CARBONATO CALCICO,Feed
Enzimes,4008.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Enzimes,,PROTEINA DE PATATA,Feed
Bicarbonate,4004.0,#N/A,#N/A,#N/A,tonnes,Additives,additives,additives,Additives,Additives,Bicarbonate,,BICARBONATO SODICO,Feed
