item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
Wheat,15,Wheat and products,2511.0,Primary crops,,,"Wheat, other cereals",Wheat,,Wheat,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Rice,27,Rice and products,2807.0,Primary crops,,,"Rice, Paddy",Rice,,Rice,Rice,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Barley,44,Barley and products,2513.0,Primary crops,,,"Wheat, other cereals",Barley,,Barley,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
"Beer of barley, malted",51,Beer,2656.0,Crop products,,,,Beer,,,,,,,,,,,
Maize (corn),56,Maize and products,2514.0,Primary crops,,,Maize,Maize,,Maize,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c4,ann
Oil of maize,60,Maize Germ Oil,2582.0,Crop products,,,,Maize germ oil,,,,,,,,,,,
Rye,71,Rye and products,2515.0,Primary crops,,,"Wheat, other cereals",Rye,,Rye,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Oats,75,Oats,2516.0,Primary crops,,,"Wheat, other cereals",Oats,,Oats,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Millet,79,Millet and products,2517.0,Primary crops,,,Millet,Millet,,Millet,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Sorghum,83,Sorghum and products,2518.0,Primary crops,,,Sorghum,Sorghum,,Sorghum,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Buckwheat,89,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Cereals nes,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Quinoa,92,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Cereals nes,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Fonio,94,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals","Roots, other",,Roots_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,Vegetables,c3,ann
Triticale,97,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Triticale,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Canary seed,101,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Canary grass,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Mixed grain,103,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Cereals nes,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Cereals n.e.c.,108,"Cereals, Other",2520.0,Primary crops,,,"Wheat, other cereals",Cereals nes,,Cereals_nes,Cereals,Cereals,Cereals,Grains,1.0,Cereals,COP,c3,ann
Potatoes,116,Potatoes and products,2531.0,Primary crops,,,Roots and Tubers,Potato,,Potatoes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Sweet potatoes,122,Sweet potatoes,2533.0,Primary crops,,,Roots and Tubers,Sweet potato,,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
"Cassava, fresh",125,Cassava and products,2532.0,Primary crops,,,Cassava,Cassava,,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Yautia,135,"Roots, Other",2534.0,Primary crops,,,Roots and Tubers,"Roots, other",,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Taro,136,"Roots, Other",2534.0,Primary crops,,,Roots and Tubers,"Roots, other",,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Yams,137,Yams,2535.0,Primary crops,,,Roots and Tubers,"Roots, other",,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",149,"Roots, Other",2534.0,Primary crops,,,Roots and Tubers,"Roots, other",,Roots_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Sugar cane,156,Sugar cane,2536.0,Primary crops,,,Sugar Cane,Sugarcane,,Sugar_cane,Sugar Crops Primary,Sugar Crops Primary,Sugar and Stimulants,"Beverages, sugar and stimulants",1.0,Sugar crops,Other_crops,c4,per
Sugar beet,157,Sugar beet,2537.0,Primary crops,,,Sugar Beets,Sugar beet,,Sugar_beet,Sugar Crops Primary,Sugar Crops Primary,Sugar and Stimulants,"Beverages, sugar and stimulants",1.0,Sugar crops,Other_crops,c3,ann
Other sugar crops n.e.c.,161,Sugar beet,2537.0,Primary crops,,,Sugar Beets,Sugar beet,,Sugar_beet,Sugar Crops Primary,Sugar Crops Primary,Sugar and Stimulants,"Beverages, sugar and stimulants",1.0,Sugar crops,Other_crops,c3,ann
Raw cane or beet sugar (centrifugal only),162,Sugar (Raw Equivalent),2542.0,Crop products,,,,White sugar,,,,,,,,,,,
Molasses,165,Molasses,2544.0,Crop products,,,,Sugarcane molasses,,,,,,,,,,,
"Beans, dry",176,Beans,2546.0,Primary crops,,,"Beans, Dry",Beans,,Beans_dry,Pulses,Pulses,Cereals,Grains,1.0,Pulses,COP,c3,nfx
