Name,Cat_1,Cat_2,Cat_3,Cat_4,Herb_Woody,Order,Crop_irrig,Cat_Org,Cat_Ymax,Cat_Ymax_leg,Farm_class
Barley,Cereals,Grains,Cereals,Barley,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Cereals_nes,Cereals,Grains,Cereals,Cereals,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Maize,Cereals,Grains,Maize,Maize,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Millet,Cereals,Grains,Cereals,Cereals,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Oats,Cereals,Grains,Cereals,Cereals,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Rice,Cereals,Grains,Rice,Rice,Herbaceous,1,Rice,Cereals,Arable,Responsive,COP
Rye,Cereals,Grains,Cereals,Cereals,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Sorghum,Cereals,Grains,Cereals,Cereals,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Wheat,Cereals,Grains,Cereals,Wheat,Herbaceous,1,Cereals,Cereals,Arable,Responsive,COP
Beans_dry,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Chickpeas,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Fava_beans,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Lentils,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Lupins,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Peas,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Pulses_nes,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Vetches,Pulses,Grains,Pulses,Pulses,Herbaceous,2,Pulses,Pulses,Arable,Fixed,COP
Potatoes,Roots_tubers,Other,Roots_tubers,Other,Herbaceous,3,Roots_tubers,Roots_tubers,Arable,Responsive,Other_crops
Roots_nes,Roots_tubers,Other,Roots_tubers,Other,Herbaceous,3,Roots_tubers,Roots_tubers,Arable,Responsive,Other_crops
Artichokes,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Asparagus,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Aubergines,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Beans_green,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Cabbages,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Carrots_turnips,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Caulifowers_broccoli,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Cucumbers,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Garlic,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Leeks,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Legumes_green_nes,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Zucchini,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Lettuce_chicory,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Melons,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Onions,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Peas_green,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Peppers_green,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Pumpkins,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Spinach,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Tomatoes,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Vegetables_nes,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Watermelons,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Celery,Vegetables,Fruits_vegs,Vegetables,Vegetables,Herbaceous,4,Vegetables,Vegetables,Vegetables,Responsive,Vegetables
Grapes,Grapes,Other,Grapes,Grapes,Woody,5,Grapes,Grapes,Vineyard,Responsive,Grapevine
Olives,Olives,Other,Olives,Olives,Woody,6,Olives,Olives,Olives,Responsive,Olive
Apples,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Apricots,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Avocados,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Subtropical,Fruits,Responsive,Fruits
Bananas,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Subtropical,Fruits,Responsive,Fruits
Berries,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Berries,Fruits,Responsive,Fruits
Cherry,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Figs,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Fruits_nes,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Subtropical,Fruits,Responsive,Fruits
Kiwifruit,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Peaches_nectarines,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Pears,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Persimmons,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
