polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test,0,0,0,0,0
AFG,Afghanistan,2,2,AFG,Afghanistan,FALSE,Afghanistan,Afghanistan,0,2,Afghanistan,4,4,13,TRUE,2,NA,South Asia,1,Afghanistan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ALB,Albania,3,3,ALB,Albania,FALSE,Albania,Albania,Albania,3,Albania,8,8,10,TRUE,3,NA,Eastern Europe,1,Albania,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
DZA,Algeria,4,4,DZA,Algeria,FALSE,Algeria,Algeria,Algeria,4,Algeria,12,12,5,TRUE,4,NA,Northern Africa,1,Algeria,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
AGO,Angola,7,7,AGO,Angola,FALSE,Angola,Angola,Angola,7,Angola,24,24,8,TRUE,7,NA,Southern Africa,1,Angola,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,Middle Africa,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ATG,Antigua and Barbuda,8,8,ATG,Antigua and Barbuda,FALSE,Antigua and Barbuda,Antigua and Barbuda,0,8,Antigua and Barbuda,28,28,3,TRUE,8,NA,Central America,1,Antigua and Barbuda,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ARG,Argentina,9,9,ARG,Argentina,FALSE,Argentina,Argentina,Argentina,9,Argentina,32,32,4,TRUE,9,NA,South America,1,Argentina,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
ARM,Armenia,1,1,ARM,Armenia,FALSE,Armenia,Armenia,Armenia,1,Armenia,51,51,11,TRUE,1,NA,Former USSR,1,Armenia,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,FSU,FSU,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
AUS,Australia,10,10,AUS,Australia,FALSE,Australia,Australia,Australia,10,Australia,36,36,16,TRUE,10,NA,Oceania,1,Australia,Australia and Oceania,North America and Oceania,Oceania,Australia and New Zealand,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Advanced,Annex_I,Pacific,AUS,mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
AUT,Austria,11,11,AUT,Austria,TRUE,Austria,Austria,Austria,11,Austria,40,40,9,TRUE,11,NA,OECD Europe,1,Austria,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
AZE,Azerbaijan,52,52,AZE,Azerbaijan,FALSE,Azerbaijan,Azerbaijan,Azerbaijan,52,Azerbaijan,31,31,11,TRUE,52,NA,Former USSR,1,Azerbaijan,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,FSU,FSU,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
