polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test
,,30.0,30.0,ATA,#N/A,FALSE,Antarctica,Antarctica,,999.0,Global average,NA,10,19,FALSE,999.0,NA,#N/A,1.0,Antarctica,Northern Africa and Western Asia,North Africa and West Asia,MENA,,,,,,,,,,,
,,259.0,351.0,,China,FALSE,China,,,351.0,China,156,156,14,FALSE,,NA,East Asia,1.0,China,Eastern Asia,East Asia,S&E Asia,,,,,,,,,,,
,,149.0,152.0,NTZ,#N/A,FALSE,Neutral Zone,,,999.0,Global average,NA,536,12,FALSE,999.0,NA,Middle East,1.0,Neutral Zone,Northern Africa and Western Asia,North Africa and West Asia,MENA,,,,,,,,,,,Other
,,245.0,254.0,OXY,#N/A,FALSE,Others (adjustment),,,999.0,Global average,NA,NA,NA,FALSE,999.0,NA,#N/A,1.0,Others (adjustment),Northern Africa and Western Asia,North Africa and West Asia,MENA,,,,,,,,,,,
,,260.0,999.0,ROW,#N/A,FALSE,RoW,,,999.0,Global average,NA,NA,NA,TRUE,999.0,NA,#N/A,1.0,RoW,Northern Africa and Western Asia,North Africa and West Asia,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,Other
,,244.0,252.0,UXY,#N/A,FALSE,Unspecified,,,999.0,Global average,NA,896,NA,FALSE,999.0,NA,,1.0,Unspecified,Northern Africa and Western Asia,North Africa and West Asia,MENA,,,,,,,,,,,Other
AFG,Afghanistan,2.0,2.0,AFG,Afghanistan,FALSE,Afghanistan,Afghanistan,,2.0,Afghanistan,4,4,13,TRUE,2.0,NA,South Asia,1.0,Afghanistan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other
RAFR,Africa Other,45.0,45.0,COM,Comoros,FALSE,Comoros,Comoros,,45.0,Comoros,174,174,7,FALSE,999.0,NA,Eastern Africa,1.0,Comoros,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
RAFR,Africa Other,250.0,270.0,MYT,#N/A,FALSE,Mayotte,,,999.0,Global average,175,175,7,FALSE,999.0,NA,Eastern Africa,1.0,Mayotte,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
RAFR,Africa Other,179.0,182.0,REU,Réunion,FALSE,Reunion,Reunion,,182.0,Reunion,NA,638,7,FALSE,999.0,NA,Eastern Africa,1.0,Reunion,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
RAFR,Africa Other,184.0,187.0,SHN,#N/A,FALSE,"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,,999.0,Global average,654,654,6,FALSE,999.0,NA,Western Africa,1.0,"Saint Helena, Ascension and Tristan da Cunha",Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other
RAFR,Africa Other,193.0,196.0,SYC,Seychelles,FALSE,Seychelles,Seychelles,,196.0,Seychelles,690,690,7,FALSE,999.0,NA,Eastern Africa,1.0,Seychelles,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
RAFR,Africa Other,201.0,205.0,ESH,#N/A,FALSE,Western Sahara,Western Sahara,,205.0,Western Sahara,NA,732,5,FALSE,999.0,NA,Northern Africa,1.0,Western Sahara,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,,,Northern Africa,MENA,no_mech,Other
RAFR,Africa Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,3.0,3.0,ALB,Albania,FALSE,Albania,Albania,Albania,3.0,Albania,8,8,10,TRUE,3.0,NA,Eastern Europe,1.0,Albania,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe
DZA,Algeria,4.0,4.0,DZA,Algeria,FALSE,Algeria,Algeria,Algeria,4.0,Algeria,12,12,5,TRUE,4.0,NA,Northern Africa,1.0,Algeria,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other
AGO,Angola,7.0,7.0,AGO,Angola,FALSE,Angola,Angola,Angola,7.0,Angola,24,24,8,TRUE,7.0,NA,Southern Africa,1.0,Angola,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,Middle Africa,Other
ATG,Antigua and Barbuda,8.0,8.0,ATG,Antigua and Barbuda,FALSE,Antigua and Barbuda,Antigua and Barbuda,,8.0,Antigua and Barbuda,28,28,3,TRUE,8.0,NA,Central America,1.0,Antigua and Barbuda,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
ARG,Argentina,9.0,9.0,ARG,Argentina,FALSE,Argentina,Argentina,Argentina,9.0,Argentina,32,32,4,TRUE,9.0,NA,South America,1.0,Argentina,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,mech,Other
ARM,Armenia,1.0,1.0,ARM,Armenia,FALSE,Armenia,Armenia,Armenia,1.0,Armenia,51,51,11,TRUE,1.0,NA,Former USSR,1.0,Armenia,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,FSU,FSU,no_mech,Other
RASI,Asia Other,18.0,18.0,BTN,Bhutan,FALSE,Bhutan,Bhutan,,18.0,Bhutan,64,64,13,FALSE,999.0,NA,South Asia,1.0,Bhutan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other
RASI,Asia Other,24.0,24.0,IOT,#N/A,FALSE,British Indian Ocean Territory,,,999.0,Global average,86,86,13,FALSE,999.0,NA,South Asia,1.0,British Indian Ocean Territory,Southern Asia,South and Central Asia,Southern Asia,Sub-Saharan Africa,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other
RASI,Asia Other,161.0,164.0,PCI,#N/A,FALSE,Pacific Islands Trust Territory,,,999.0,Global average,NA,582,15,FALSE,999.0,NA,South East Asia,1.0,Pacific Islands Trust Territory,Southeastern Asia,South and Central Asia,S&E Asia,Australia and New Zealand,Asia,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,mech,Other
RASI,Asia Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,10.0,10.0,AUS,Australia,FALSE,Australia,Australia,Australia,10.0,Australia,36,36,16,TRUE,10.0,NA,Oceania,1.0,Australia,Australia and Oceania,North America and Oceania,Oceania,Australia and New Zealand,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Advanced,Annex_I,Pacific,AUS,mech,Other
AUT,Austria,11.0,11.0,AUT,Austria,TRUE,Austria,Austria,Austria,11.0,Austria,40,40,9,TRUE,11.0,NA,OECD Europe,1.0,Austria,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe
