item_prod_code,item_prod_name,item_type
809,"Abaca, manila hemp, raw",crop_product
800,"Agave fibres, raw, n.e.c.",crop_product
221,"Almonds, in shell",crop_product
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",crop_product
515,Apples,crop_product
526,Apricots,crop_product
226,Areca nuts,crop_product
366,Artichokes,crop_product
367,Asparagus,crop_product
572,Avocados,crop_product
839,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",crop_product
203,"Bambara beans, dry",crop_product
486,Bananas,crop_product
44,Barley,crop_product
176,"Beans, dry",crop_product
1806,"Beef and Buffalo Meat, primary",other
51,"Beer of barley, malted",other
1183,Beeswax,other
647,Beets for fodder,crop_product
552,Blueberries,crop_product
216,"Brazil nuts, in shell",crop_product
181,"Broad beans and horse beans, dry",crop_product
420,"Broad beans and horse beans, green",crop_product
89,Buckwheat,crop_product
949,"Buffalo fat, unrendered",other
1811,Butter and Ghee,other
983,Butter and ghee of sheep milk,other
952,Butter of buffalo milk,other
886,Butter of cow milk,other
1022,Butter of goat milk,other
899,"Buttermilk, dry",other
644,Cabbage for fodder,crop_product
358,Cabbages,crop_product
101,Canary seed,crop_product
568,Cantaloupes and other melons,crop_product
426,Carrots and turnips,crop_product
648,Carrots for fodder,crop_product
217,"Cashew nuts, in shell",crop_product
591,Cashewapple,crop_product
378,Cassava leaves,crop_product
125,"Cassava, fresh",crop_product
265,Castor oil seeds,crop_product
869,"Cattle fat, unrendered",other
393,Cauliflowers and broccoli,crop_product
108,Cereals n.e.c.,crop_product
1717,"Cereals, primary",other
1745,Cheese (All Kinds),other
955,"Cheese from milk of buffalo, fresh or processed",other
1021,"Cheese from milk of goats, fresh or processed",other
984,"Cheese from milk of sheep, fresh or processed",other
904,Cheese from skimmed cow milk,other
901,Cheese from whole cow milk,other
531,Cherries,crop_product
220,"Chestnuts, in shell",crop_product
191,"Chick peas, dry",crop_product
459,Chicory roots,crop_product
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",crop_product
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",crop_product
693,"Cinnamon and cinnamon-tree flowers, raw",crop_product
1807,"Citrus Fruit, Total",other
698,"Cloves (whole stems), raw",crop_product
661,Cocoa beans,crop_product
252,Coconut oil,other
248,Coconuts,other
249,"Coconuts, in shell",crop_product
656,"Coffee, green",crop_product
813,"Coir, raw",crop_product
767,"Cotton lint, ginned",crop_product
329,Cotton seed,crop_product
331,Cottonseed oil,other
195,"Cow peas, dry",crop_product
554,Cranberries,crop_product
885,"Cream, fresh",other
397,Cucumbers and gherkins,crop_product
550,Currants,crop_product
577,Dates,crop_product
948,"Edible offal of buffalo, fresh, chilled or frozen",other
868,"Edible offal of cattle, fresh, chilled or frozen",other
1018,"Edible offal of goat, fresh, chilled or frozen",other
1036,"Edible offal of pigs, fresh, chilled or frozen",other
978,"Edible offal of sheep, fresh, chilled or frozen",other
1128,"Edible offals of camels and other camelids, fresh, chilled or frozen",other
1098,"Edible offals of horses and other equines,  fresh, chilled or frozen",other
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",crop_product
399,Eggplants (aubergines),crop_product
1783,Eggs Primary,other
1091,"Eggs from other birds in shell, fresh, n.e.c.",other
1816,Evaporated & Condensed Milk,other
1129,Fat of camels,other
1037,Fat of pigs,other
17530,"Fibre Crops, Fibre Equivalent",other
569,Figs,crop_product
773,"Flax, processed but not spun",crop_product
2108,Flowers,other
94,Fonio,crop_product
641,"Forage and silage, alfalfa",crop_product
640,"Forage and silage, clover",crop_product
639,"Forage and silage, grasses nes",crop_product
642,"Forage and silage, green oilseeds",crop_product
643,"Forage and silage, legumes",crop_product
636,"Forage and silage, maize",crop_product
638,"Forage and silage, rye grass",crop_product
637,"Forage and silage, sorghum",crop_product
651,Forage products,crop_product
1738,Fruit Primary,other
1163,"Game meat, fresh, chilled or frozen",other
953,Ghee from buffalo milk,other
887,Ghee from cow milk,other
720,"Ginger, raw",crop_product
1019,"Goat fat, unrendered",other
549,Gooseberries,crop_product
560,Grapes,crop_product
446,Green corn (maize),crop_product
406,Green garlic,crop_product
244,Groundnut oil,other
242,"Groundnuts, excluding shelled",crop_product
225,"Hazelnuts, in shell",crop_product
776,Hemp,other
336,Hempseed,crop_product
1062,"Hen eggs in shell, fresh",other
677,Hop cones,crop_product
1097,"Horse meat, fresh or chilled",other
277,Jojoba seeds,crop_product
780,"Jute, raw or retted",crop_product
778,"Kapok fibre, raw",crop_product
310,Kapok fruit,other
311,Kapokseed in shell,crop_product
263,Karite nuts (sheanuts),crop_product
782,"Kenaf, and other textile bast fibres, raw or retted",crop_product
592,Kiwi fruit,crop_product
224,Kola nuts,crop_product
407,Leeks and other alliaceous vegetables,crop_product
497,Lemons and limes,crop_product
201,"Lentils, dry",crop_product
372,Lettuce and chicory,crop_product
333,Linseed,crop_product
772,Linum,other
461,Locust beans (carobs),crop_product
210,Lupins,crop_product
