V1,code,iso3c,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,iso2c,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test
2,2,AFG,FALSE,Afghanistan,Afghanistan,,2,Afghanistan,4,4,13,TRUE,2,,South Asia,1,Afghanistan,Southern Asia,South and Central Asia,Southern Asia,Southern Asia,Asia,Asia and the Pacific,Southern Asia,Southern Asia,Emerging,Annex_II,Southern Asia,SE-Asia,no_mech,Other
3,3,ALB,FALSE,Albania,Albania,Albania,3,Albania,8,8,10,TRUE,3,,Eastern Europe,1,Albania,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe
4,4,DZA,FALSE,Algeria,Algeria,Algeria,4,Algeria,12,12,5,TRUE,4,,Northern Africa,1,Algeria,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other
5,5,ASM,FALSE,American Samoa,American Samoa,,5,American Samoa,16,16,16,FALSE,999,,Oceania,1,American Samoa,Australia and Oceania,North America and Oceania,Oceania,Polynesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other
6,6,AND,FALSE,Andorra,,,999,Global average,20,20,9,FALSE,999,,OECD Europe,1,Andorra,Western Europe,West Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe
7,7,AGO,FALSE,Angola,Angola,Angola,7,Angola,24,24,8,TRUE,7,,Southern Africa,1,Angola,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,Middle Africa,Other
248,258,AIA,FALSE,Anguilla,,,999,Global average,660,660,3,FALSE,999,,Central America,1,Anguilla,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
30,30,ATA,FALSE,Antarctica,Antarctica,,999,Global average,NA,10,19,FALSE,999,,#N/A,1,Antarctica,Northern Africa and Western Asia,North Africa and West Asia,MENA,,,,,,,,,,,
8,8,ATG,FALSE,Antigua and Barbuda,Antigua and Barbuda,,8,Antigua and Barbuda,28,28,3,TRUE,8,,Central America,1,Antigua and Barbuda,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
9,9,ARG,FALSE,Argentina,Argentina,Argentina,9,Argentina,32,32,4,TRUE,9,,South America,1,Argentina,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,mech,Other
1,1,ARM,FALSE,Armenia,Armenia,Armenia,1,Armenia,51,51,11,TRUE,1,,Former USSR,1,Armenia,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,FSU,FSU,no_mech,Other
22,22,ABW,FALSE,Aruba,Aruba,,999,Global average,533,533,3,FALSE,999,,Central America,1,Aruba,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
10,10,AUS,FALSE,Australia,Australia,Australia,10,Australia,36,36,16,TRUE,10,,Oceania,1,Australia,Australia and Oceania,North America and Oceania,Oceania,Australia and New Zealand,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Advanced,Annex_I,Pacific,AUS,mech,Other
