cn_category,cn_ratio,cn_low,cn_high,source,reliability
Dairy Cattle,18,13,20,Rynk 1992 NRAES-54 App.A (Cornell CWMI),verified
Other Cattle,19,11,30,Rynk 1992 NRAES-54 App.A (Cornell CWMI),verified
Swine,14,9,19,Rynk 1992 NRAES-54 App.A (Cornell CWMI),verified
Poultry,6,3,10,Rynk 1992 NRAES-54 App.A litter-free (with litter 12-16),verified
Sheep,15,13,20,Zhu et al 2020 doi:10.1007/s11104-020-04528-x,verified
Goats,16,13,20,Kaur & Kommalapati 2021 doi:10.1007/s42452-021-04706-1,verified
Horses,30,22,50,Rynk 1992 NRAES-54 App.A (Cornell CWMI),verified
Mules and Asses,NA,NA,NA,CALIBRATE no measured equid-other value; track horse band,placeholder
Camels,NA,NA,NA,CALIBRATE no measured value; camel C:N < goat (Abdel-Rahman 2020),placeholder
Buffalo,NA,NA,NA,CALIBRATE no measured value; track cattle band,placeholder
