"mirca_class","mirca_name","item_prod_code","mirca_group"
1,"Wheat",15,""
2,"Maize",56,""
3,"Rice",27,""
4,"Barley",44,""
5,"Rye",71,""
6,"Millet",79,""
7,"Sorghum",83,""
8,"Soya beans",236,""
9,"Sunflower",267,""
10,"Potatoes",116,""
11,"Cassava",125,""
12,"Sugar cane",156,""
13,"Sugar beet",157,""
14,"Oil palm",254,""
15,"Rapeseed",270,""
16,"Groundnuts",242,""
17,"Pulses",,"pulses"
18,"Citrus",,"citrus"
19,"Date palm",577,""
20,"Grapes",560,""
21,"Cotton",328,""
22,"Cocoa",661,""
23,"Coffee",656,""
24,"Others perennial",,"others_perennial"
25,"Fodder grasses",,"fodder"
26,"Others annual",,"others_annual"
