proc_code,crop_process,crop_original,unit,iso3c,rate_value
p001,Rice production,rice,kgN/ha,ARM,18.415897
p001,Rice production,rice,kgN/ha,AFG,2.2096486
p001,Rice production,rice,kgN/ha,ALB,50.372395
p001,Rice production,rice,kgN/ha,DZA,14.572422
p001,Rice production,rice,kgN/ha,AGO,0.89305872
p001,Rice production,rice,kgN/ha,ARG,35.999966
p001,Rice production,rice,kgN/ha,AUS,39.840488
p001,Rice production,rice,kgN/ha,BGD,71.999992
p001,Rice production,rice,kgN/ha,BOL,0.15444094
p001,Rice production,rice,kgN/ha,BWA,6.0382066
p001,Rice production,rice,kgN/ha,BRA,27.133091
p001,Rice production,rice,kgN/ha,BZE,47.523468
p001,Rice production,rice,kgN/ha,BRN,0.72689128
p001,Rice production,rice,kgN/ha,BGR,112.9657
p001,Rice production,rice,kgN/ha,MMR,6.3719678
p001,Rice production,rice,kgN/ha,BDI,2.090694
p001,Rice production,rice,kgN/ha,CMR,10.055395
p001,Rice production,rice,kgN/ha,CAF,0.27999979
p001,Rice production,rice,kgN/ha,LKA,111.08187
p001,Rice production,rice,kgN/ha,TCD,1.7105217
p001,Rice production,rice,kgN/ha,CHL,140.27872
p001,Rice production,rice,kgN/ha,CHN,173.99944
p001,Rice production,rice,kgN/ha,COL,108.00001
p001,Rice production,rice,kgN/ha,COG,10.731483
p001,Rice production,rice,kgN/ha,COS,178.96674
p001,Rice production,rice,kgN/ha,CUB,150.99998
p001,Rice production,rice,kgN/ha,BEN,27.061983
p001,Rice production,rice,kgN/ha,DOM,120.29542
p001,Rice production,rice,kgN/ha,ECU,45.901047
p001,Rice production,rice,kgN/ha,EGY,179.32249
p001,Rice production,rice,kgN/ha,ELS,89.700005
p001,Rice production,rice,kgN/ha,GEO,36.480858
p001,Rice production,rice,kgN/ha,GAB,1.380461
p001,Rice production,rice,kgN/ha,GMB,8.5739908
p001,Rice production,rice,kgN/ha,GHA,3.2871869
p001,Rice production,rice,kgN/ha,GRC,84.999992
p001,Rice production,rice,kgN/ha,GUA,60.679585
p001,Rice production,rice,kgN/ha,GIN,0.81812942
p001,Rice production,rice,kgN/ha,GUY,54.428001
p001,Rice production,rice,kgN/ha,HAI,12.263021
p001,Rice production,rice,kgN/ha,HON,129.9247
p001,Rice production,rice,kgN/ha,HUN,84.033638
p001,Rice production,rice,kgN/ha,IND,76.754845
p001,Rice production,rice,kgN/ha,IDN,94.499992
p001,Rice production,rice,kgN/ha,IRN,84.778618
p001,Rice production,rice,kgN/ha,IRQ,188.70776
p001,Rice production,rice,kgN/ha,ITA,128.8606
p001,Rice production,rice,kgN/ha,CIV,10.581523
p001,Rice production,rice,kgN/ha,KAZ,2.4307718
p001,Rice production,rice,kgN/ha,JAM,48.302803
p001,Rice production,rice,kgN/ha,JPN,78.000031
p001,Rice production,rice,kgN/ha,KGZ,10.893794
p001,Rice production,rice,kgN/ha,KEN,14.437531
p001,Rice production,rice,kgN/ha,KHM,0.95166177
p001,Rice production,rice,kgN/ha,PRK,108.64822
p001,Rice production,rice,kgN/ha,KOR,169.22585
p001,Rice production,rice,kgN/ha,LAO,3.23769
p001,Rice production,rice,kgN/ha,LSO,17.513504
p001,Rice production,rice,kgN/ha,MDG,0.021937877
p001,Rice production,rice,kgN/ha,MWI,60
p001,Rice production,rice,kgN/ha,MYS,81.726913
p001,Rice production,rice,kgN/ha,MLI,2.8764899
p001,Rice production,rice,kgN/ha,MRT,7.3305726
p001,Rice production,rice,kgN/ha,MEX,137.12204
p001,Rice production,rice,kgN/ha,MNG,2.7032051
p001,Rice production,rice,kgN/ha,MAR,12.000005
p001,Rice production,rice,kgN/ha,MOZ,1.9132321
p001,Rice production,rice,kgN/ha,MDA,10.962317
p001,Rice production,rice,kgN/ha,NAM,0.57971406
p001,Rice production,rice,kgN/ha,NPL,17.638483
p001,Rice production,rice,kgN/ha,MKD,52.611465
p001,Rice production,rice,kgN/ha,NIC,15.577515
p001,Rice production,rice,kgN/ha,NER,0.68149269
p001,Rice production,rice,kgN/ha,NGA,4.7999983
p001,Rice production,rice,kgN/ha,PAK,53.880405
p001,Rice production,rice,kgN/ha,PAN,53.300549
p001,Rice production,rice,kgN/ha,PNG,8.2972832
p001,Rice production,rice,kgN/ha,PRY,24.999992
p001,Rice production,rice,kgN/ha,PER,60.379063
p001,Rice production,rice,kgN/ha,PHL,43.350006
p001,Rice production,rice,kgN/ha,POL,65.302681
p001,Rice production,rice,kgN/ha,PRT,40.027927
p001,Rice production,rice,kgN/ha,GNB,2.3369901
p001,Rice production,rice,kgN/ha,ZWE,18.185928
p001,Rice production,rice,kgN/ha,ROM,31.828323
p001,Rice production,rice,kgN/ha,RWA,0.20466575
p001,Rice production,rice,kgN/ha,RUS,16.013063
p001,Rice production,rice,kgN/ha,SRM,58.882641
p001,Rice production,rice,kgN/ha,SEN,21.461208
p001,Rice production,rice,kgN/ha,SLE,0.77234155
p001,Rice production,rice,kgN/ha,SOM,0.10025931
p001,Rice production,rice,kgN/ha,ZAF,67.798599
p001,Rice production,rice,kgN/ha,ESP,81.169098
p001,Rice production,rice,kgN/ha,SUR,92.500626
p001,Rice production,rice,kgN/ha,TJK,13.289015
p001,Rice production,rice,kgN/ha,SWZ,9.5746069
p001,Rice production,rice,kgN/ha,CHE,111.00001
p001,Rice production,rice,kgN/ha,SYR,125.77896
p001,Rice production,rice,kgN/ha,TKM,44.785507
p001,Rice production,rice,kgN/ha,TZA,0.5627197
p001,Rice production,rice,kgN/ha,THA,55.800018
p001,Rice production,rice,kgN/ha,TGO,3.508848
p001,Rice production,rice,kgN/ha,TRI,120.80695
p001,Rice production,rice,kgN/ha,TUR,74.767021
p001,Rice production,rice,kgN/ha,UGA,1.245398
p001,Rice production,rice,kgN/ha,UKR,17.664198
p001,Rice production,rice,kgN/ha,USA,172.56996
p001,Rice production,rice,kgN/ha,BFA,10.192635
p001,Rice production,rice,kgN/ha,URY,74.91568
p001,Rice production,rice,kgN/ha,UZB,125.91158
p001,Rice production,rice,kgN/ha,VEN,149.83386
p001,Rice production,rice,kgN/ha,VNM,103.50002
p001,Rice production,rice,kgN/ha,ETH,5.1852641
p001,Rice production,rice,kgN/ha,ZAR,0.25055176
p001,Rice production,rice,kgN/ha,ZMB,3.7566097
p001,Rice production,rice,kgN/ha,SDN,8.8496389
p002,Wheat production,wheat,kgN/ha,ARM,21.171928
p002,Wheat production,wheat,kgN/ha,AFG,1.6142497
p002,Wheat production,wheat,kgN/ha,ALB,49.999989
p002,Wheat production,wheat,kgN/ha,AGO,1.0267084
p002,Wheat production,wheat,kgN/ha,ARG,34.999992
p002,Wheat production,wheat,kgN/ha,AUS,37.573799
p002,Wheat production,wheat,kgN/ha,AUT,142.5695
p002,Wheat production,wheat,kgN/ha,BGD,44.999996
p002,Wheat production,wheat,kgN/ha,BOL,0.11583068
p002,Wheat production,wheat,kgN/ha,BWA,5.1885338
p002,Wheat production,wheat,kgN/ha,BRA,11.939131
p002,Wheat production,wheat,kgN/ha,BGR,83.352013
p002,Wheat production,wheat,kgN/ha,MMR,10.060095
p002,Wheat production,wheat,kgN/ha,BDI,1.5273464
p002,Wheat production,wheat,kgN/ha,CMR,11.560233
p002,Wheat production,wheat,kgN/ha,CAN,48.700825
p002,Wheat production,wheat,kgN/ha,CAF,0.20455256
p002,Wheat production,wheat,kgN/ha,TCD,1.2496132
p002,Wheat production,wheat,kgN/ha,CHL,146.1237
p002,Wheat production,wheat,kgN/ha,CHN,160.07564
p002,Wheat production,wheat,kgN/ha,COL,80
p002,Wheat production,wheat,kgN/ha,COG,12.337504
p002,Wheat production,wheat,kgN/ha,CZE,130.06824
p002,Wheat production,wheat,kgN/ha,AZE,10.499998
p002,Wheat production,wheat,kgN/ha,BEN,19.77
p002,Wheat production,wheat,kgN/ha,DNK,134.53427
p002,Wheat production,wheat,kgN/ha,BLR,46.999985
p002,Wheat production,wheat,kgN/ha,ECU,3.06007
p002,Wheat production,wheat,kgN/ha,EGY,254.668
p002,Wheat production,wheat,kgN/ha,ELS,153.24347
p002,Wheat production,wheat,kgN/ha,EST,72
p002,Wheat production,wheat,kgN/ha,FIN,109.12118
p002,Wheat production,wheat,kgN/ha,FRA,93.961098
p002,Wheat production,wheat,kgN/ha,GEO,41.940399
p002,Wheat production,wheat,kgN/ha,DEU,167.68979
p002,Wheat production,wheat,kgN/ha,BIH,25.794765
p002,Wheat production,wheat,kgN/ha,GRC,70.000031
p002,Wheat production,wheat,kgN/ha,GUA,80.906105
p002,Wheat production,wheat,kgN/ha,HON,32.481174
p002,Wheat production,wheat,kgN/ha,HUN,83.653511
p002,Wheat production,wheat,kgN/ha,HRV,104.79998
p002,Wheat production,wheat,kgN/ha,IND,108.20896
p002,Wheat production,wheat,kgN/ha,IRN,55.413525
p002,Wheat production,wheat,kgN/ha,IRQ,216.94885
p002,Wheat production,wheat,kgN/ha,IRL,138.28941
p002,Wheat production,wheat,kgN/ha,ISR,90.000015
p002,Wheat production,wheat,kgN/ha,ITA,91.599968
p002,Wheat production,wheat,kgN/ha,KAZ,2.0887177
p002,Wheat production,wheat,kgN/ha,JPN,117.00005
p002,Wheat production,wheat,kgN/ha,JOR,27.600006
p002,Wheat production,wheat,kgN/ha,KGZ,7.9584088
p002,Wheat production,wheat,kgN/ha,KEN,8.6489267
p002,Wheat production,wheat,kgN/ha,PRK,44.471878
p002,Wheat production,wheat,kgN/ha,KOR,276.91492
p002,Wheat production,wheat,kgN/ha,KWT,150
p002,Wheat production,wheat,kgN/ha,LVA,0.88818264
p002,Wheat production,wheat,kgN/ha,LAO,6.5057769
p002,Wheat production,wheat,kgN/ha,LBN,92.607109
p002,Wheat production,wheat,kgN/ha,LSO,20.134489
p002,Wheat production,wheat,kgN/ha,LBY,36.817226
p002,Wheat production,wheat,kgN/ha,LTU,24.000006
p002,Wheat production,wheat,kgN/ha,MDG,2.0172765
p002,Wheat production,wheat,kgN/ha,MWI,32.561852
p002,Wheat production,wheat,kgN/ha,MLI,2.1014049
p002,Wheat production,wheat,kgN/ha,MRT,0.97217768
p002,Wheat production,wheat,kgN/ha,MEX,132.04346
p002,Wheat production,wheat,kgN/ha,MNG,3.1077514
p002,Wheat production,wheat,kgN/ha,MAR,12.000001
p002,Wheat production,wheat,kgN/ha,MOZ,1.3977036
p002,Wheat production,wheat,kgN/ha,MDA,7.499999
p002,Wheat production,wheat,kgN/ha,NAM,0.49813905
p002,Wheat production,wheat,kgN/ha,NPL,12.885714
p002,Wheat production,wheat,kgN/ha,NLD,189.86839
p002,Wheat production,wheat,kgN/ha,MKD,45.208187
p002,Wheat production,wheat,kgN/ha,NZL,187.4424
p002,Wheat production,wheat,kgN/ha,NIC,67.590477
p002,Wheat production,wheat,kgN/ha,NER,0.49786103
p002,Wheat production,wheat,kgN/ha,NGA,4.2953763
p002,Wheat production,wheat,kgN/ha,NOR,188.85139
p002,Wheat production,wheat,kgN/ha,PAK,105.68942
p002,Wheat production,wheat,kgN/ha,PRY,16
p002,Wheat production,wheat,kgN/ha,PER,51.882755
p002,Wheat production,wheat,kgN/ha,POL,90.735214
p002,Wheat production,wheat,kgN/ha,PRT,53.370556
p002,Wheat production,wheat,kgN/ha,ERI,2.6636939
p002,Wheat production,wheat,kgN/ha,ZWE,73.210403
p002,Wheat production,wheat,kgN/ha,ROM,27.349567
p002,Wheat production,wheat,kgN/ha,RWA,0.14951754
p002,Wheat production,wheat,kgN/ha,RUS,13.759808
p002,Wheat production,wheat,kgN/ha,SRM,50.596909
p002,Wheat production,wheat,kgN/ha,SAU,96.000008
p002,Wheat production,wheat,kgN/ha,SEN,24.672991
p002,Wheat production,wheat,kgN/ha,SVN,120.18065
p002,Wheat production,wheat,kgN/ha,SVK,56.668186
p002,Wheat production,wheat,kgN/ha,SOM,0.073243909
p002,Wheat production,wheat,kgN/ha,ZAF,36.010132
p002,Wheat production,wheat,kgN/ha,ESP,95.76046
p002,Wheat production,wheat,kgN/ha,TJK,9.7082262
p002,Wheat production,wheat,kgN/ha,SWZ,11.007494
p002,Wheat production,wheat,kgN/ha,SWE,201.55452
p002,Wheat production,wheat,kgN/ha,CHE,100.60283
p002,Wheat production,wheat,kgN/ha,SYR,39.991665
p002,Wheat production,wheat,kgN/ha,TKM,51.487904
