year,country,item,unit,value,source_file,sheet
1853,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1854,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1855,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1856,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1857,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1858,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1859,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1860,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1861,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1862,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1863,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1864,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1865,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1866,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1867,Canada,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1868,Canada,Wheat,1000 MT,76,Exports_1.xlsx,page_2556_table_1
1869,Canada,Wheat,1000 MT,97,Exports_1.xlsx,page_2556_table_1
1870,Canada,Wheat,1000 MT,48,Exports_1.xlsx,page_2556_table_1
1871,Canada,Wheat,1000 MT,81,Exports_1.xlsx,page_2556_table_1
1872,Canada,Wheat,1000 MT,119,Exports_1.xlsx,page_2556_table_1
1873,Canada,Wheat,1000 MT,179,Exports_1.xlsx,page_2556_table_1
1874,Canada,Wheat,1000 MT,119,Exports_1.xlsx,page_2556_table_1
1875,Canada,Wheat,1000 MT,165,Exports_1.xlsx,page_2556_table_1
1876,Canada,Wheat,1000 MT,65,Exports_1.xlsx,page_2556_table_1
1877,Canada,Wheat,1000 MT,120,Exports_1.xlsx,page_2556_table_1
1878,Canada,Wheat,1000 MT,180,Exports_1.xlsx,page_2556_table_1
1879,Canada,Wheat,1000 MT,139,Exports_1.xlsx,page_2556_table_1
1880,Canada,Wheat,1000 MT,69,Exports_1.xlsx,page_2556_table_1
1881,Canada,Wheat,1000 MT,105,Exports_1.xlsx,page_2556_table_1
1882,Canada,Wheat,1000 MT,160,Exports_1.xlsx,page_2556_table_1
1883,Canada,Wheat,1000 MT,20,Exports_1.xlsx,page_2556_table_1
1884,Canada,Wheat,1000 MT,64,Exports_1.xlsx,page_2556_table_1
1885,Canada,Wheat,1000 MT,93,Exports_1.xlsx,page_2556_table_1
1886,Canada,Wheat,1000 MT,153,Exports_1.xlsx,page_2556_table_1
