polity_name,polity_name_FT,start_year,end_year,comments_ft,polity_code,polity_name_full,polity_code_full,polity_name_FAO,polity_name_source,polity_code_source
Algeria,Algeria,1831,1938,1800-1830 Ottoman Empire,NA,Algeria,NA,NA,FT,FT
Angola,Angola,1816,1938,NA,NA,Angola,NA,NA,FT,FT
Basutoland,Basutoland,1884,1938,present-day Lesotho,NA,Basutoland,NA,NA,FT,FT
Bechuanaland Protectorate,Bechuanaland Protectorate,1885,1938,present-day Botswana,NA,Bechuanaland Protectorate,NA,NA,FT,FT
Belgian Congo,Belgian Congo,1885,1938,NA,NA,Belgian Congo,NA,NA,FT,FT
British Bechuanaland,British Bechuanaland,1885,1895,1896-1938 annexed to  South Africa,NA,British Bechuanaland,NA,NA,FT,FT
British Cameroon,British Cameroon,1914,1938,"population in 1921; Before 1914 part of German Kameroon, then divided between Nigeria and Cameroon; estimate jointly with Nigeria",NA,British Cameroon,NA,NA,FT,FT
British East Africa,British East Africa,1895,1938,Present day Kenya and Uganda,NA,British East Africa,NA,NA,FT,FT
British Protectorate (British Somaliland),British Protectorate (British Somaliland),1884,1938,NA,NA,British Protectorate (British Somaliland),NA,NA,FT,FT
Canary Islands,Canary Islands,1800,1938,NA,NA,Canary Islands,NA,NA,FT,FT
Cameroon,Cameroon (Kamerun),1884,1938,"German colony until 1914, French mandate thereafter",NA,Cameroon (Kamerun),NA,NA,FT,FT
CapoVerde,CapoVerde,1800,1938,NA,NA,CapoVerde,NA,NA,FT,FT
Ceuta Y Melilla,Ceuta Y Melilla,1800,1938,NA,NA,Ceuta Y Melilla,NA,NA,FT,FT
Egypt,Egypt,1800,1938,NA,NA,Egypt,NA,NA,FT,FT
Eritrea,Eritrea,1882,1938,NA,NA,Eritrea,NA,NA,FT,FT
Ethiopia,Ethiopia,1800,1938,Since 1936 Italian colony,NA,Ethiopia,NA,NA,FT,FT
French Equatorial Africa,French Equatorial Africa,1910,1938,"Includes present-day Central African republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910)",NA,French Equatorial Africa,NA,NA,FT,FT
French Somaliland,French Somaliland,1887,1938,NA,NA,French Somaliland,NA,NA,FT,FT
French West Africa,French West Africa,1895,1938,"Includes present-day Mauritania, Dahomey (or Benin), French Guinea, Ivory Coast (protectorate since mid 19th century, colony 1889), Mali, Niger  Senegal (colony since mid 19th century), French Sudan, Upper Volta (now Burkina Faso), Niger and Togo (independent polity as German West Africa  until 1914)",NA,French West Africa,NA,NA,FT,FT
Gambia,Gambia,1800,1938,NA,NA,Gambia,NA,NA,FT,FT
NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,FT
German East Africa (Tanganyika),German East Africa (Tanganyika),1884,1938,After 1919   British mandate; present-day  Tanzania,NA,German East Africa (Tanganyika),NA,NA,FT,FT
German South West Africa,German South West Africa,1884,1938,After 1919 South African mandate; present day Namibia,NA,German South West Africa,NA,NA,FT,FT
German West Africa,German West Africa,1884,1914,After 1919 part of  French West Africa; present-day Togo,NA,German West Africa,NA,NA,FT,FT
Gold Coast,Gold Coast,1843,1938,1821-1843 and  1866-1874 part of Sierra Leone; present-day Ghana,NA,Gold Coast,NA,NA,FT,FT
Guinea-Bissau,Guinea Bisau (Portuguese Guinea),1879,1938,Present-day Guinea Bissau,NA,Guinea Bisau (Portuguese Guinea),NA,NA,FT,FT
Italian Libia Cyrenaica (Lybia),Italian Libia Cyrenaica (Lybia),1911,1938,1800-1910 Ottoman Empire,NA,Italian Libia Cyrenaica (Lybia),NA,NA,FT,FT
Italian Somaliland,Italian Somaliland,1908,1938,NA,NA,Italian Somaliland,NA,NA,FT,FT
Liberia,Liberia,1847,1938,NA,NA,Liberia,NA,NA,FT,FT
Madagascar,Madagascar,1882,1938,NA,NA,Madagascar,NA,NA,FT,FT
Mauritius,Mauritius,1800,1938,NA,NA,Mauritius,NA,NA,FT,FT
Mayotte and Noissi-be,Mayotte and Noissi-be,1843,1914,1914-1938 annexed to Madagascar; estimated jointly with Magadascar,NA,Mayotte and Noissi-be,NA,NA,FT,FT
Morocco,Morocco (French),1911,1938,NA,NA,Morocco (French),NA,NA,FT,FT
Mozambique,Mozambique,1816,1938,NA,NA,Mozambique,NA,NA,FT,FT
Nigeria,Nigeria,1861,1938,"Includes Lagos (separate colony 1861-1906), Southern Nigeria (protectorate 1899-1914) and Northern Nigeria (protectorate 1900-1914)",NA,Nigeria,NA,NA,FT,FT
