polity_name,polity_code,start_year,end_year,geometry_strategy,proxy_source,notes
American Samoa,ASM-1900-2025,1900,2025,GADM_NATURAL_EARTH,,
Andorra,AND-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Anguilla,AIA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Antarctica,ATA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Antigua and Barbuda,ATG-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Aruba,ABW-1986-2025,1986,2025,GADM_NATURAL_EARTH,,
Bermuda,BMU-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
"Bonaire, Sint Eustatius and Saba",BES-2010-2025,2010,2025,GADM_NATURAL_EARTH,,
Bouvet Island,BVT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
British Indian Ocean Territory,IOT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
British Virgin Islands,VGB-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Canary Islands,CAN-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Caroline Island,CAR-1885-2025,1885,2025,GADM_NATURAL_EARTH,,
Cayman Islands,CYM-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Ceuta Y Melilla,CEU-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Channel Islands,CHA-1800-2023,1800,2023,GADM_NATURAL_EARTH,,
"China, mainland",CHN-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Christmas Island,CXR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Cocos (Keeling) Islands,CCK-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Cook Islands,COK-1893-2025,1893,2025,GADM_NATURAL_EARTH,,
Curaçao,CUW-2010-2025,2010,2025,GADM_NATURAL_EARTH,,
Danish Virgin Islands,DAN-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Dominica,DMA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Dutch Guayana,DGU-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Dutch West Indies (Netherland Antilles),DUT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Ethiopia (old),ETH-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
"Europe, Northern America, Australia and New Zealand",EUR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
French Guiana,GUF-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
French Polynesia,PYF-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
French Southern Territories,ATF-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Germany/Zollverein,GER-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Gibraltar,GIB-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Greenland,GRL-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Guadeloupe,GLP-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Guam,GUM-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Guernsey,GGY-2005-2025,2005,2025,GADM_NATURAL_EARTH,,
Heard Island and McDonald Islands,HMD-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Holy See,VAT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Hong Kong,HKG-1841-2025,1841,2025,GADM_NATURAL_EARTH,,
Isle of Man,IMN-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Jersey,JEY-2005-2025,2005,2025,GADM_NATURAL_EARTH,,
Kiribati,KIR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",LEE-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Liechtenstein,LIE-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Luxembourg (old),LUO-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Macao,MAC-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Mariana Island,MRI-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Marshall Islands,MHL-1874-2025,1874,2025,GADM_NATURAL_EARTH,,
Martinique,MTQ-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Mayotte,MYT-2002-2025,2002,2025,GADM_NATURAL_EARTH,,
Mayotte and Noissi-be,MYT-1843-1914,1843,1914,GADM_NATURAL_EARTH,,
Monaco,MCO-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Montserrat,MSR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Nauru,NRU-1888-2025,1888,2025,GADM_NATURAL_EARTH,,
Netherlands (old),NET-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
New Caledonia,NCL-1853-2025,1853,2025,GADM_NATURAL_EARTH,,
Nigeria (old),NGA-1861-2025,1861,2025,GADM_NATURAL_EARTH,,
Niue,NIU-1900-2025,1900,2025,GADM_NATURAL_EARTH,,
Northern Mariana Islands,MNP-1991-2025,1991,2025,GADM_NATURAL_EARTH,,
Palau,PLW-1991-2025,1991,2025,GADM_NATURAL_EARTH,,
Palestine,PSE-1999-2025,1999,2025,GADM_NATURAL_EARTH,,
Palestine/Jordan,PAL-1918-2025,1918,2025,GADM_NATURAL_EARTH,,
Pitcairn,PCN-1839-2025,1839,2025,GADM_NATURAL_EARTH,,
Portuguese India,POR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Puerto Rico,PRI-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Réunion,REU-1816-2025,1816,2025,GADM_NATURAL_EARTH,,
Saint Barthélemy,BLM-2007-2025,2007,2025,GADM_NATURAL_EARTH,,
"Saint Helena, Ascension and Tristan da Cunha",SHN-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Saint Kitts and Nevis,KNA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Saint Kitts-Nevis-Anguilla,SAI-1800-1982,1800,1982,GADM_NATURAL_EARTH,,
Saint Lucia,LCA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Saint Martin (French part),MAF-2007-2025,2007,2025,GADM_NATURAL_EARTH,,
Saint Pierre and Miquelon,SPM-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Saint Vincent and the Grenadines,VCT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Samoa,WSM-1900-2025,1900,2025,GADM_NATURAL_EARTH,,
San Marino,SMR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Sao Tome and Principe,STP-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Seychelles,SYC-1903-2025,1903,2025,GADM_NATURAL_EARTH,,
Sharjah,SHA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Sikkim,SIK-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Sint Maarten (Dutch part),SXM-2010-2025,2010,2025,GADM_NATURAL_EARTH,,
South Georgia and the South Sandwich Islands,SGS-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
St. Helena,ST.-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Svalbard and Jan Mayen,SJM-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Tibet (old),TIB-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Tokelau,TKL-1877-2025,1877,2025,GADM_NATURAL_EARTH,,
Tonga,TON-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Turks and Caicos Islands,TCA-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Tuvalu,TUV-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
US settlement Oceania,USS-1859-2025,1859,2025,GADM_NATURAL_EARTH,,
United States Minor Outlying Islands,UMI-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
United States Virgin Islands,VIR-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Vanuatu,VUT-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Wallis and Futuna,WLF-1842-2025,1842,2025,GADM_NATURAL_EARTH,,
Western Sahara,ESH-1800-2025,1800,2025,GADM_NATURAL_EARTH,,
Åland Islands,ALA-2003-2025,2003,2025,GADM_NATURAL_EARTH,,
Basutoland,BAS-1884-2025,1884,2025,COMBINE_MODERN,modern Lesotho,
Bechuanaland Protectorate,BEC-1885-2025,1885,2025,COMBINE_MODERN,modern Botswana,
Belgian Congo,BEL-1885-2025,1885,2025,COMBINE_MODERN,modern DRC borders,
British Cameroon,BCA-1914-2025,1914,2025,COMBINE_MODERN,parts of modern Nigeria/Cameroon,
British East Africa,BEA-1895-2025,1895,2025,COMBINE_MODERN,modern Kenya + Uganda,
British Malaya,BMA-1922-2025,1922,2025,COMBINE_MODERN,modern peninsular Malaysia,
British New Guinea,BNG-1884-2025,1884,2025,COMBINE_MODERN,modern PNG eastern half,
