polity_name,polygon_source,source_code,details,effort
Abu Dhabi,GADM,ARE,L1 Abu Dhabi emirate,LOW
Aden,GADM_combine,YEM,L1 Aden+southern governorates,MEDIUM
Ajman,GADM,ARE,L1 Ajman emirate,LOW
American Samoa,GADM,ASM,L0,LOW
Andorra,GADM,AND,L0,LOW
Anguilla,GADM,AIA,L0,LOW
Antarctica,NatEarth,ATA,L0,LOW
Antigua and Barbuda,GADM,ATG,L0,LOW
Aruba,GADM,ABW,L0,LOW
Badakhshan,manual,-,NE Afghanistan historical region,HIGH
Basutoland,GADM_combine,LSO,L0 = modern Lesotho,MEDIUM
Bechuanaland Protectorate,GADM_combine,BWA,L0 = modern Botswana,MEDIUM
Belgian Congo,GADM_combine,COD,L0 = modern DRC,MEDIUM
Bermuda,GADM,BMU,L0,LOW
"Bonaire, Sint Eustatius and Saba",GADM,BES,L0,LOW
Bonin island,GADM,JPN,L2 Ogasawara subprefecture,LOW
Bouvet Island,NatEarth,BVT,minor island,LOW
British Bechuanaland,GADM,ZAF,L1 North West province subset,LOW
British Cameroon,GADM_combine,NGA+CMR,border regions,MEDIUM
British Columbia,GADM,CAN,L1 British Columbia,LOW
British East Africa,GADM_combine,KEN+UGA,L0 combined,MEDIUM
British Indian Ocean Territory,GADM,IOT,L0,LOW
British Malaya,GADM_combine,MYS,L1 Peninsular states only,MEDIUM
British New Guinea,GADM_combine,PNG,L1 southern provinces,MEDIUM
British Protectorate (British Somaliland),GADM_combine,SOM,L1 NW regions,MEDIUM
British Virgin Islands,GADM,VGB,L0,LOW
British settlement Oceania,NatEarth,scattered,multiple Pacific islands,LOW
Brunei (greater),GADM_combine,BRN+MYS,L0 Brunei + L1 parts of Sabah/Sarawak,MEDIUM
Bukhara,Aourednik,1880,Emirate of Bukhara from 1880 snapshot,HIGH
Cameroon (Kamerun),GADM_combine,CMR,L0 roughly = modern Cameroon,MEDIUM
Canary Islands,GADM,ESP,L1 Canarias,LOW
Canton and Enderbury Islands,NatEarth,KIR,subset of Kiribati,LOW
Caroline Island,GADM,FSM+PLW,L0 combined,LOW
Cayman Islands,GADM,CYM,L0,LOW
Ceuta Y Melilla,GADM,ESP,L2 Ceuta+Melilla,LOW
Channel Islands,GADM,GGY+JEY,L0 combined,LOW
"China, mainland",GADM,CHN,L0 minus Taiwan,LOW
Christmas Island,GADM,CXR,L0,LOW
Cocos (Keeling) Islands,GADM,CCK,L0,LOW
Cook Islands,GADM,COK,L0,LOW
Crete,GADM,GRC,L1 Crete region,LOW
Curaçao,GADM,CUW,L0,LOW
Danish India,manual,-,"Tranquebar+Serampore, tiny enclaves",HIGH
Danish Virgin Islands,GADM,VIR,L0 (now USVI),LOW
Dodecanese Is.,GADM_combine,GRC,L2 South Aegean/Dodecanese,MEDIUM
Dominica,GADM,DMA,L0,LOW
Dronning Maud Land,NatEarth,ATA,Antarctic claim,LOW
Duchy Modena,Aourednik,1850,Small polygon from 1850 snapshot,HIGH
Duchy Parma,Aourednik,1850,Small polygon from 1850 snapshot,HIGH
Dutch East Indies (Indonesia),GADM_combine,IDN,L0 = modern Indonesia,MEDIUM
Dutch Guayana,GADM_combine,SUR,L0 = modern Suriname,MEDIUM
Dutch West Indies (Netherland Antilles),GADM_combine,ABW+CUW+SXM+BES,L0 combined,MEDIUM
Dutch new Guinea,GADM_combine,IDN,L1 Papua provinces,MEDIUM
East Berlin,GADM,DEU,L2 Berlin eastern districts,LOW
Egypt (to 1922),GADM,EGY,L0 modern Egypt,LOW
Ethiopia (old),GADM,ETH+ERI,L0 combined,LOW
Federated Malay States,GADM,MYS,L1 Perak+Selangor+Negeri Sembilan+Pahang,LOW
French Guiana,GADM,GUF,L0,LOW
French Polynesia,GADM,PYF,L0,LOW
French Southern Territories,GADM,ATF,L0,LOW
Fujairah,GADM,ARE,L1 Fujairah emirate,LOW
Gambier Island,GADM,PYF,L2 Gambier subset,LOW
Gaza Strip,NatEarth,PSX,Gaza subset,LOW
German East Africa (Tanganyika),GADM_combine,TZA,L0 mainland Tanzania,MEDIUM
