polity_code,area_code,start_year,end_year,rule,note
BEL-1831-2025,15,1961,2000,aggregate_member,"FAOSTAT reports Belgium-Luxembourg (15, BLX-1850-1999) through 1999 and Belgium (255) and Luxembourg (256) from 2000; the support carries only the two members, so 15's cells are their union."
LUX-1839-2025,15,1961,2000,aggregate_member,"See BEL-1831-2025."
DRV-1954-1975,237,1961,1975,aggregate_member,"Viet Nam (237) is F237-1954-1975, the combined reporting of North and South Vietnam; the support carries only the two members, so 237's cells are their union."
RVN-1954-1975,237,1961,1975,aggregate_member,"See DRV-1954-1975."
MKY-1918-1962,249,1961,1962,aggregate_member,"Yemen (249) is F249-1918-1990; in 1961 the support carries its two predecessors, the Mutawakkilite Kingdom and Aden, so 249's cells are their union."
ADE-1839-1963,249,1961,1962,aggregate_member,"See MKY-1918-1962."
YEM-1990-2025,249,1962,1990,constant_territory,"From 1962 the support carries no complete Yemeni predecessor (MKY-1918-1962 has ended, ADE-1839-1963 ends in 1963, and North and South Yemen have no geometry), so 249 is placed on the cells of modern Yemen."
EST-1940-1991,228,1961,1991,contained_fold,"FAOSTAT reports the Estonian SSR inside the USSR (228) and Estonia (63) only from 1992."
LVA-1940-1991,228,1961,1991,contained_fold,"FAOSTAT reports the Latvian SSR inside the USSR (228) and Latvia (119) only from 1992."
LTU-1940-1991,228,1961,1991,contained_fold,"FAOSTAT reports the Lithuanian SSR inside the USSR (228) and Lithuania (126) only from 1992."
AZE-SSR-1920-1991,228,1961,1991,contained_fold,"FAOSTAT reports the Azerbaijan SSR inside the USSR (228); the polity maps to no reporting area."
ARM-1991-2025,228,1991,1992,contained_fold,"FAOSTAT reports the USSR (228) in 1991 and its successors only from 1992, while the support switches to the successors in 1991."
AZE-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
BLR-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
EST-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
GEO-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
KAZ-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
KGZ-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
LTU-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
LVA-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
MDA-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
RUS-1991-2014,228,1991,1992,contained_fold,"See ARM-1991-2025."
TJK-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
TKM-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
UKR-1991-2014,228,1991,1992,contained_fold,"See ARM-1991-2025."
UZB-1991-2025,228,1991,1992,contained_fold,"See ARM-1991-2025."
MKD-1991-2025,248,1991,1992,contained_fold,"FAOSTAT reports the Yugoslav SFR (248) in 1991 and North Macedonia (154) only from 1992, while the support carries North Macedonia from 1991."
