"Name","Reporter","Trade","Imp/Exp","Timeline_Start","Timeline_End","Timeline_Freq","Quality","Info_Format","Scanned","SACO_link"
"CUST4_Bad","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Imp",1809,1875,1,"Bad","year",0,
"CUST4_Good","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Imp",1876,1899,1,"Good","year",0,
"CUST8_1899","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp",1899,1899,1,"Good","year",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?dir=undefined&path=%2FSources%2FUK%2FCUST&openfile=321007295"
"CUST8_1820","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp",1820,1820,1,"Unknown","year",0,
"CUST8_1850","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp",1850,1850,1,"Unknown","year",0,
"CUST8_1880","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp",1880,1880,1,"Unknown","year",0,
"Statistical Abstract no. 2","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1840,1854,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FUK%2FStatistical%20Abstract%2FStatistical%20Abstract%201840"
"Statistical Abstract no. 16","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1854,1869,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FUK%2FStatistical%20Abstract%2FStatistical%20Abstract%201869"
"Statistical Abstract no. 30","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1868,1882,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FUK%2FStatistical%20Abstract%2FStatistical%20Abstract%20No.%2030"
"Statistical Abstract no. 44","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1882,1896,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FUK%2FStatistical%20Abstract%2FStatistical%20Abstract%20No.%2044"
"Statistical Abstract no. 58","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1896,1910,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FUK%2FStatistical%20Abstract%2FStatistical%20Abstract%20No.%2058"
"Statistical Abstract no. 69","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1910,1924,1,"Good","partial_series",1,
"Statistical Abstract no. 83","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1924,1938,1,"Good","partial_series",1,
"Statistical Abstract no. 88","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1939,1950,1,"Good","partial_series",1,
"Statistical Abstract no. 97","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1951,1959,1,"Good","partial_series",1,
"Data Extracted by Juan","United Kingdom of Great Britain and Northern Ireland (the)","Total","Exp/Imp",1900,1964,1,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?dir=undefined&path=%2FSources%2FManually%20extracted%20data&openfile=299869683"
"TNA 1913","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1911,1913,1,"Good","partial_series",0,
"TNA 1943","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1941,1943,1,"Good","partial_series",0,
"TNA1903","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1942,1944,1,"Good","partial_series",0,
"TNA 1946","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1945,1946,1,"Good","partial_series",0,
"TNA 1948","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1947,1948,1,"Good","partial_series",0,
"TNA 1927","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Exp/Imp",1925,1927,1,"Good","partial_series",0,
"Statistisches Jahrbuch für das Deutsche Reich. Berlin . Schmidt.","Germany","Bilateral;Total","Exp/Imp",1859,1915,1,"Good","year",0,
"Statistisches Jahrbuch für das Deutsche Reich. Berlin . Schmidt.","Germany","Bilateral;Total","Exp/Imp",1921,1942,1,"Good","year",0,
"Statistisches Jahrbuch für die Bundesrepublik Deutschland","Germany","Bilateral;Total","Exp/Imp",1950,1952,1,"Good","year",0,
"Clifford et al Dataset","United Kingdom of Great Britain and Northern Ireland (the)","Bilateral","Imp",1856,1906,5,"Good","partial_series",1,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?dir=undefined&path=%2FSources%2FUK&openfile=315059323"
"Le Commerce Exterieur de l'Egypte","Egypt","Bilateral","Exp/Imp",1879,1879,1,"Good","year",0,"https://saco.csic.es/s/4ofWeFPDb5nN5gB?path=%2FSources%2FEgypt%2FLe%20Commerce%20Ext%C3%A9rieur%20de%20l%27%C3%89gypte%201879"
"Review of the trade of India in. 1894/95-1898/99","India","Bilateral;Total","Exp/Imp",1885,1895,1,"Good","year",0,
